Date: 07-06 at 12:24:52, iter: 39, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1175.34(11) mean: 1212.22, max: 1255.90
Date: 07-06 at 12:25:55, iter: 40, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1175.34(11) mean: 1250.06, max: 1309.01
Date: 07-06 at 12:27:12, iter: 41, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1175.34(11) mean: 1202.72, max: 1229.56
Date: 07-06 at 12:28:18, iter: 42, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1175.34(11) mean: 1202.16, max: 1270.66
Date: 07-06 at 12:29:29, iter: 43, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1175.34(11) mean: 1195.84, max: 1229.56
Date: 07-06 at 12:30:40, iter: 44, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1175.34(11) mean: 1199.88, max: 1229.56
Date: 07-06 at 12:31:51, iter: 45, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1175.34(11) mean: 1199.65, max: 1229.56
Date: 07-06 at 12:32:58, iter: 46, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1175.34(11) mean: 1221.15, max: 1274.17
Date: 07-06 at 12:34:09, iter: 47, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1175.34(11) mean: 1197.04, max: 1222.75
Date: 07-06 at 12:35:23, iter: 48, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1175.34(11) mean: 1199.71, max: 1258.66
Date: 07-06 at 12:36:27, iter: 49, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1175.34(11) mean: 1208.57, max: 1269.24
Date: 07-06 at 12:37:37, iter: 50, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1171.25(11) mean: 1184.26, max: 1201.88
Date: 07-06 at 12:38:48, iter: 51, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1179.39, max: 1199.26
Date: 07-06 at 12:39:53, iter: 52, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1178.88, max: 1199.26
Date: 07-06 at 12:40:58, iter: 53, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1178.88, max: 1199.26
Date: 07-06 at 12:42:08, iter: 54, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1178.88, max: 1199.26
Date: 07-06 at 12:43:16, iter: 55, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1194.08, max: 1230.93
Date: 07-06 at 12:44:18, iter: 56, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1217.48, max: 1266.41
Date: 07-06 at 12:45:29, iter: 57, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1186.05, max: 1213.56
