Date: 07-16 at 02:43:59, iter: 44, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 592.21(3) mean: 592.21, max: 592.21
Date: 07-16 at 02:46:52, iter: 46, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 592.21(3) mean: 595.76, max: 633.72
Date: 07-16 at 02:47:21, iter: 47, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 592.21(3) mean: 592.21, max: 592.21
Date: 07-16 at 02:47:49, iter: 48, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 592.21(3) mean: 592.21, max: 592.21
Date: 07-16 at 02:48:19, iter: 49, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 592.21(3) mean: 592.21, max: 592.21
Date: 07-16 at 02:50:49, iter: 51, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 592.21(3) mean: 620.48, max: 753.32
Date: 07-16 at 02:51:20, iter: 52, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 592.21(3) mean: 594.88, max: 614.55
Date: 07-16 at 02:51:47, iter: 53, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 592.21(3) mean: 592.21, max: 592.21
Date: 07-16 at 02:52:17, iter: 54, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 592.21(3) mean: 592.21, max: 592.21
Date: 07-16 at 02:54:33, iter: 56, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 592.21(3) mean: 602.08, max: 633.72
Date: 07-16 at 02:55:01, iter: 57, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 592.21(3) mean: 592.21, max: 592.21
Date: 07-16 at 02:55:33, iter: 58, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 592.21(3) mean: 592.21, max: 592.21
Date: 07-16 at 02:56:04, iter: 59, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 592.21(3) mean: 592.21, max: 592.21
Date: 07-16 at 02:58:10, iter: 61, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 592.21(3) mean: 629.24, max: 753.32
Date: 07-16 at 02:58:38, iter: 62, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 592.21(3) mean: 615.29, max: 680.79
Date: 07-16 at 02:59:08, iter: 63, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 592.21(3) mean: 594.13, max: 620.94
Date: 07-16 at 02:59:37, iter: 64, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 592.21(3) mean: 592.21, max: 592.21
Date: 07-16 at 03:01:31, iter: 66, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 590.19(3) mean: 610.62, max: 662.78
Date: 07-16 at 03:02:00, iter: 67, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 591.30, max: 600.82
Date: 07-16 at 03:02:28, iter: 68, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 590.48, max: 592.21
Date: 07-16 at 03:02:55, iter: 69, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 590.48, max: 592.21
Date: 07-16 at 03:03:23, iter: 70, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 590.48, max: 592.21
Date: 07-16 at 03:03:54, iter: 71, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 588.49, max: 588.49
Date: 07-16 at 03:06:11, iter: 73, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 607.21, max: 711.24
Date: 07-16 at 03:06:39, iter: 74, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 593.76, max: 628.00
Date: 07-16 at 03:07:08, iter: 75, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 592.52, max: 618.69
Date: 07-16 at 03:07:36, iter: 76, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 590.51, max: 618.69
Date: 07-16 at 03:10:02, iter: 78, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 608.26, max: 694.19
Date: 07-16 at 03:10:31, iter: 79, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 591.32, max: 610.84
Date: 07-16 at 03:11:00, iter: 80, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 588.49, max: 588.49
Date: 07-16 at 03:11:28, iter: 81, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 588.49, max: 588.49
Date: 07-16 at 03:13:33, iter: 83, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 612.61, max: 662.78
Date: 07-16 at 03:14:02, iter: 84, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 595.80, max: 622.95
Date: 07-16 at 03:14:28, iter: 85, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 590.06, max: 609.99
Date: 07-16 at 03:14:58, iter: 86, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 588.49, max: 588.49
Date: 07-16 at 03:17:15, iter: 88, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 604.86, max: 662.78
Date: 07-16 at 03:17:44, iter: 89, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 592.71, max: 622.95
Date: 07-16 at 03:18:14, iter: 90, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 588.49, max: 588.49
Date: 07-16 at 03:18:41, iter: 91, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 588.49, max: 588.49
Date: 07-16 at 03:20:57, iter: 93, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 604.86, max: 662.78
Date: 07-16 at 03:21:28, iter: 94, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 592.46, max: 622.95
Date: 07-16 at 03:21:58, iter: 95, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 588.49, max: 588.49
Date: 07-16 at 03:22:29, iter: 96, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 588.49, max: 588.49
Date: 07-16 at 03:24:34, iter: 98, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 639.73, max: 845.73
Date: 07-16 at 03:25:02, iter: 99, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 595.55, max: 630.89
Date: 07-16 at 03:25:29, iter: 100, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 588.49, max: 588.49
Date: 07-16 at 03:26:00, iter: 101, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 588.49, max: 588.49
Date: 07-16 at 03:28:55, iter: 103, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 594.86, max: 640.72
Date: 07-16 at 03:29:23, iter: 104, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 591.38, max: 631.83
Date: 07-16 at 03:29:53, iter: 105, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 588.49, max: 588.49
Date: 07-16 at 03:30:25, iter: 106, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 588.49, max: 588.49
Date: 07-16 at 03:32:20, iter: 108, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 623.57, max: 711.24
Date: 07-16 at 03:32:48, iter: 109, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 598.50, max: 628.00
Date: 07-16 at 03:33:17, iter: 110, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 589.67, max: 606.16
Date: 07-16 at 03:33:47, iter: 111, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 588.49, max: 588.49
Date: 07-16 at 03:35:53, iter: 113, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 622.79, max: 711.24
Date: 07-16 at 03:36:21, iter: 114, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 598.66, max: 628.28
Date: 07-16 at 03:36:51, iter: 115, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 592.86, max: 618.69
Date: 07-16 at 03:37:19, iter: 116, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 590.51, max: 618.69
Date: 07-16 at 03:39:24, iter: 118, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 612.61, max: 662.78
Date: 07-16 at 03:39:51, iter: 119, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 588.49, max: 588.49
Date: 07-16 at 03:40:19, iter: 120, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 588.49, max: 588.49
Date: 07-16 at 03:40:45, iter: 121, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 588.49, max: 588.49
Date: 07-16 at 03:42:42, iter: 123, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 679.73, max: 845.73
Date: 07-16 at 03:43:11, iter: 124, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 603.40, max: 630.89
Date: 07-16 at 03:43:40, iter: 125, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 588.49, max: 588.49
Date: 07-16 at 03:44:08, iter: 126, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 588.49, max: 588.49
Date: 07-16 at 03:45:53, iter: 128, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 616.92, max: 662.78
Date: 07-16 at 03:46:20, iter: 129, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 589.60, max: 600.82
Date: 07-16 at 03:46:51, iter: 130, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 588.49, max: 588.49
Date: 07-16 at 03:47:22, iter: 131, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 588.49, max: 588.49
Date: 07-16 at 03:49:18, iter: 133, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 657.06, max: 834.95
Date: 07-16 at 03:49:47, iter: 134, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 599.47, max: 635.57
Date: 07-16 at 03:50:16, iter: 135, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 588.49, max: 588.49
Date: 07-16 at 03:50:47, iter: 136, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 588.49, max: 588.49
Date: 07-16 at 03:52:41, iter: 138, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 601.37, max: 711.24
Date: 07-16 at 03:53:11, iter: 139, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 588.49, max: 588.49
Date: 07-16 at 03:53:41, iter: 140, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 588.49, max: 588.49
Date: 07-16 at 03:54:12, iter: 141, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 588.49, max: 588.49
Date: 07-16 at 03:56:21, iter: 143, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 663.68, max: 845.73
Date: 07-16 at 03:56:49, iter: 144, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 624.22, max: 822.15
Date: 07-16 at 03:57:19, iter: 145, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 609.47, max: 742.02
Date: 07-16 at 03:57:50, iter: 146, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 588.49, max: 588.49
Date: 07-16 at 04:00:19, iter: 148, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 605.50, max: 662.78
Date: 07-16 at 04:00:45, iter: 149, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 590.00, max: 601.65
Date: 07-16 at 04:01:17, iter: 150, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 589.62, max: 601.65
