Date: 07-05 at 19:25:21, iter: 1, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1597.03(19) mean: 2469.23, max: 2946.32
Date: 07-05 at 19:26:54, iter: 2, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1556.09(19) mean: 2334.14, max: 2919.46
Date: 07-05 at 19:28:20, iter: 3, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1539.93(19) mean: 2257.45, max: 2874.71
Date: 07-05 at 19:29:47, iter: 4, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1539.93(19) mean: 1977.98, max: 2758.98
Date: 07-05 at 19:31:19, iter: 5, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1539.93(19) mean: 2000.11, max: 2765.25
Date: 07-05 at 19:32:51, iter: 6, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1539.93(19) mean: 1824.62, max: 2731.60
Date: 07-05 at 19:34:23, iter: 7, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1539.93(19) mean: 1661.61, max: 1847.69
Date: 07-05 at 19:35:48, iter: 8, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1539.93(19) mean: 1680.49, max: 1875.00
Date: 07-05 at 19:37:22, iter: 10, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1539.93(19) mean: 1725.07, max: 1906.92
Date: 07-05 at 19:38:48, iter: 11, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1539.93(19) mean: 1749.61, max: 1932.92
Date: 07-05 at 19:40:25, iter: 12, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1539.93(19) mean: 1712.95, max: 1915.18
Date: 07-05 at 19:41:54, iter: 13, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1539.93(19) mean: 1663.96, max: 1929.19
Date: 07-05 at 19:43:21, iter: 15, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1539.93(19) mean: 1713.16, max: 1977.18
Date: 07-05 at 19:44:47, iter: 16, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1539.93(19) mean: 1739.36, max: 2020.14
Date: 07-05 at 19:46:08, iter: 17, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1539.93(19) mean: 1677.77, max: 1916.75
Date: 07-05 at 19:47:42, iter: 18, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1539.93(19) mean: 1653.94, max: 1928.07
Date: 07-05 at 19:49:19, iter: 20, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1539.93(19) mean: 1653.70, max: 1794.52
Date: 07-05 at 19:50:46, iter: 21, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1539.93(19) mean: 1608.43, max: 1704.93
Date: 07-05 at 19:52:12, iter: 22, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1538.97(20) mean: 1596.00, max: 1670.82
Date: 07-05 at 19:53:30, iter: 23, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1533.40(20) mean: 1594.80, max: 1681.07
Date: 07-05 at 19:55:00, iter: 24, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1533.40(20) mean: 1590.60, max: 1699.59
Date: 07-05 at 19:56:28, iter: 25, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1533.40(20) mean: 1591.32, max: 1722.54
Date: 07-05 at 19:57:56, iter: 26, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1533.40(20) mean: 1624.33, max: 1716.05
Date: 07-05 at 19:59:32, iter: 27, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1533.40(20) mean: 1600.02, max: 1665.20
Date: 07-05 at 20:01:04, iter: 29, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1533.40(20) mean: 1632.40, max: 1762.95
Date: 07-05 at 20:02:33, iter: 30, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1533.40(20) mean: 1616.61, max: 1807.89
Date: 07-05 at 20:03:56, iter: 31, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1533.40(20) mean: 1614.26, max: 1786.04
Date: 07-05 at 20:05:31, iter: 32, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1533.40(20) mean: 1582.88, max: 1683.97
Date: 07-05 at 20:06:57, iter: 34, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1533.40(20) mean: 1664.94, max: 1812.00
Date: 07-05 at 20:08:14, iter: 35, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1533.40(20) mean: 1689.65, max: 1849.60
Date: 07-05 at 20:09:42, iter: 36, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1533.40(20) mean: 1650.93, max: 1859.90
Date: 07-05 at 20:11:24, iter: 37, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1533.40(20) mean: 1590.54, max: 1679.96
Date: 07-05 at 20:12:57, iter: 39, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1529.67(20) mean: 1652.81, max: 1782.15
Date: 07-05 at 20:14:30, iter: 40, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1529.67(20) mean: 1659.10, max: 1811.54
Date: 07-05 at 20:16:02, iter: 41, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1529.67(20) mean: 1607.89, max: 1759.67
Date: 07-05 at 20:17:32, iter: 42, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1529.67(20) mean: 1561.42, max: 1684.21
Date: 07-05 at 20:18:59, iter: 44, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1529.67(20) mean: 1653.63, max: 1769.31
Date: 07-05 at 20:20:19, iter: 45, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1529.67(20) mean: 1635.06, max: 1788.55
Date: 07-05 at 20:21:45, iter: 46, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1529.36(20) mean: 1572.68, max: 1641.75
Date: 07-05 at 20:23:16, iter: 47, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1525.39(20) mean: 1598.77, max: 1668.63
Date: 07-05 at 20:24:48, iter: 48, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1525.39(20) mean: 1554.43, max: 1647.64
Date: 07-05 at 20:26:15, iter: 49, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1525.39(20) mean: 1569.72, max: 1690.91
Date: 07-05 at 20:27:41, iter: 50, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1525.39(20) mean: 1591.81, max: 1630.45
Date: 07-05 at 20:29:10, iter: 51, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1525.39(20) mean: 1585.94, max: 1650.38
Date: 07-05 at 20:30:34, iter: 53, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1525.39(20) mean: 1695.56, max: 1871.15
Date: 07-05 at 20:32:03, iter: 54, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1521.81(20) mean: 1670.37, max: 1840.77
Date: 07-05 at 20:33:31, iter: 55, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1521.81(20) mean: 1586.23, max: 1818.88
Date: 07-05 at 20:34:59, iter: 56, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1521.81(20) mean: 1571.91, max: 1628.85
Date: 07-05 at 20:36:32, iter: 57, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1516.11(19) mean: 1549.99, max: 1596.65
Date: 07-05 at 20:37:58, iter: 58, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1516.11(19) mean: 1556.65, max: 1594.73
Date: 07-05 at 20:39:26, iter: 59, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1516.11(19) mean: 1564.16, max: 1631.37
Date: 07-05 at 20:40:51, iter: 60, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1516.11(19) mean: 1573.70, max: 1669.17
Date: 07-05 at 20:42:25, iter: 61, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1516.11(19) mean: 1550.73, max: 1581.96
Date: 07-05 at 20:43:56, iter: 63, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1516.11(19) mean: 1588.76, max: 1698.03
Date: 07-05 at 20:45:21, iter: 64, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1516.11(19) mean: 1615.87, max: 1707.64
Date: 07-05 at 20:46:56, iter: 65, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1516.11(19) mean: 1552.35, max: 1597.27
Date: 07-05 at 20:48:27, iter: 66, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1516.11(19) mean: 1550.34, max: 1604.45
Date: 07-05 at 20:49:54, iter: 68, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1516.11(19) mean: 1594.51, max: 1728.77
Date: 07-05 at 20:51:21, iter: 69, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1516.11(19) mean: 1578.94, max: 1764.42
Date: 07-05 at 20:52:48, iter: 70, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1516.11(19) mean: 1556.73, max: 1686.71
Date: 07-05 at 20:54:08, iter: 71, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1516.11(19) mean: 1560.94, max: 1627.95
Date: 07-05 at 20:55:37, iter: 73, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1516.11(19) mean: 1593.07, max: 1709.17
Date: 07-05 at 20:56:55, iter: 74, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1516.11(19) mean: 1580.11, max: 1744.56
Date: 07-05 at 20:58:14, iter: 75, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1516.11(19) mean: 1582.76, max: 1757.55
Date: 07-05 at 20:59:27, iter: 76, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1510.13(19) mean: 1588.00, max: 1815.52
Date: 07-05 at 21:00:49, iter: 77, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1500.32(19) mean: 1532.79, max: 1580.16
Date: 07-05 at 21:02:06, iter: 78, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1500.32(19) mean: 1533.51, max: 1608.23
Date: 07-05 at 21:03:20, iter: 79, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1500.32(19) mean: 1555.80, max: 1643.22
Date: 07-05 at 21:04:44, iter: 80, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1500.32(19) mean: 1551.64, max: 1662.27
Date: 07-05 at 21:06:04, iter: 81, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1500.32(19) mean: 1522.25, max: 1544.70
Date: 07-05 at 21:07:22, iter: 83, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1500.32(19) mean: 1604.75, max: 1716.64
Date: 07-05 at 21:08:50, iter: 84, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1500.32(19) mean: 1546.00, max: 1651.56
Date: 07-05 at 21:10:03, iter: 85, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1500.32(19) mean: 1582.57, max: 1694.09
Date: 07-05 at 21:11:22, iter: 86, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1500.32(19) mean: 1532.03, max: 1606.29
Date: 07-05 at 21:12:53, iter: 88, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1500.32(19) mean: 1560.81, max: 1789.99
Date: 07-05 at 21:14:06, iter: 89, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1500.32(19) mean: 1547.29, max: 1686.27
Date: 07-05 at 21:15:23, iter: 90, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1500.32(19) mean: 1534.33, max: 1716.36
Date: 07-05 at 21:16:46, iter: 91, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1500.32(19) mean: 1522.30, max: 1584.80
Date: 07-05 at 21:18:07, iter: 93, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1500.32(19) mean: 1562.14, max: 1686.92
Date: 07-05 at 21:19:26, iter: 94, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1500.32(19) mean: 1527.40, max: 1589.01
Date: 07-05 at 21:20:43, iter: 95, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1500.32(19) mean: 1543.12, max: 1575.52
Date: 07-05 at 21:22:03, iter: 96, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1500.32(19) mean: 1536.64, max: 1608.37
Date: 07-05 at 21:23:23, iter: 98, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1500.32(19) mean: 1578.60, max: 1742.05
Date: 07-05 at 21:24:38, iter: 99, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1500.32(19) mean: 1546.93, max: 1611.10
Date: 07-05 at 21:26:04, iter: 100, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1500.32(19) mean: 1558.30, max: 1644.33
Date: 07-05 at 21:27:24, iter: 101, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1500.32(19) mean: 1542.99, max: 1646.52
Date: 07-05 at 21:28:44, iter: 103, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1500.32(19) mean: 1597.55, max: 1767.60
Date: 07-05 at 21:30:10, iter: 104, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1500.32(19) mean: 1553.64, max: 1773.20
Date: 07-05 at 21:31:39, iter: 105, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1500.32(19) mean: 1521.67, max: 1559.39
Date: 07-05 at 21:33:02, iter: 106, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1500.32(19) mean: 1529.03, max: 1584.51
Date: 07-05 at 21:34:23, iter: 108, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1500.27(19) mean: 1566.09, max: 1676.88
Date: 07-05 at 21:35:43, iter: 109, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1500.27(19) mean: 1532.81, max: 1624.14
Date: 07-05 at 21:36:58, iter: 110, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1500.27(19) mean: 1534.78, max: 1639.81
Date: 07-05 at 21:38:23, iter: 111, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1500.27(19) mean: 1524.90, max: 1582.35
Date: 07-05 at 21:39:47, iter: 113, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1500.27(19) mean: 1568.08, max: 1661.04
Date: 07-05 at 21:41:08, iter: 114, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1500.27(19) mean: 1533.84, max: 1619.56
Date: 07-05 at 21:42:32, iter: 115, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1496.20(19) mean: 1521.95, max: 1606.41
