Date: 07-06 at 03:42:55, iter: 46, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1509.71(19) mean: 1737.01, max: 1853.82
Date: 07-06 at 03:44:17, iter: 47, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1509.71(19) mean: 1587.17, max: 1834.78
Date: 07-06 at 03:45:37, iter: 48, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1509.71(19) mean: 1548.94, max: 1595.54
Date: 07-06 at 03:46:50, iter: 49, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1509.71(19) mean: 1575.77, max: 1637.39
Date: 07-06 at 03:48:08, iter: 51, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1509.71(19) mean: 1642.08, max: 1786.72
Date: 07-06 at 03:49:27, iter: 52, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1507.66(19) mean: 1552.27, max: 1678.51
Date: 07-06 at 03:50:46, iter: 53, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1507.66(19) mean: 1556.46, max: 1652.26
Date: 07-06 at 03:52:02, iter: 54, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1507.66(19) mean: 1536.90, max: 1597.28
Date: 07-06 at 03:53:10, iter: 55, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1507.66(19) mean: 1572.67, max: 1640.47
Date: 07-06 at 03:54:21, iter: 56, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1507.66(19) mean: 1617.38, max: 1687.38
Date: 07-06 at 03:55:31, iter: 57, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1507.66(19) mean: 1619.44, max: 1733.52
Date: 07-06 at 03:56:55, iter: 59, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1507.66(19) mean: 1561.01, max: 1652.62
Date: 07-06 at 03:58:12, iter: 60, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1507.66(19) mean: 1557.55, max: 1649.68
Date: 07-06 at 03:59:19, iter: 61, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1507.66(19) mean: 1591.19, max: 1682.10
Date: 07-06 at 04:00:29, iter: 62, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1507.66(19) mean: 1580.93, max: 1717.16
Date: 07-06 at 04:01:51, iter: 64, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1504.01(19) mean: 1599.86, max: 1765.21
Date: 07-06 at 04:03:00, iter: 65, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1501.30(19) mean: 1577.70, max: 1737.50
Date: 07-06 at 04:04:16, iter: 66, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1501.30(19) mean: 1564.15, max: 1797.87
Date: 07-06 at 04:05:33, iter: 67, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1501.30(19) mean: 1531.39, max: 1601.63
Date: 07-06 at 04:06:40, iter: 68, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1501.30(19) mean: 1564.12, max: 1627.84
Date: 07-06 at 04:07:52, iter: 69, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1501.30(19) mean: 1541.40, max: 1598.71
Date: 07-06 at 04:09:10, iter: 71, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1501.30(19) mean: 1567.07, max: 1726.94
Date: 07-06 at 04:10:22, iter: 72, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1501.30(19) mean: 1556.29, max: 1711.69
Date: 07-06 at 04:11:38, iter: 73, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1501.30(19) mean: 1553.58, max: 1738.24
Date: 07-06 at 04:12:58, iter: 74, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1500.31(19) mean: 1520.32, max: 1594.29
Date: 07-06 at 04:14:13, iter: 75, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1498.90(19) mean: 1513.20, max: 1542.40
Date: 07-06 at 04:15:21, iter: 76, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1498.90(19) mean: 1535.01, max: 1594.27
Date: 07-06 at 04:16:43, iter: 77, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1498.90(19) mean: 1530.81, max: 1644.91
Date: 07-06 at 04:18:05, iter: 78, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1498.90(19) mean: 1525.55, max: 1597.14
Date: 07-06 at 04:19:23, iter: 79, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1498.90(19) mean: 1519.47, max: 1606.08
Date: 07-06 at 04:20:42, iter: 81, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1498.90(19) mean: 1570.34, max: 1715.80
Date: 07-06 at 04:22:01, iter: 82, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1498.70(19) mean: 1533.93, max: 1742.71
Date: 07-06 at 04:23:14, iter: 83, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1498.70(19) mean: 1569.09, max: 1777.94
Date: 07-06 at 04:24:25, iter: 84, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1498.70(19) mean: 1549.82, max: 1619.09
Date: 07-06 at 04:25:41, iter: 85, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1498.70(19) mean: 1544.62, max: 1625.09
Date: 07-06 at 04:26:53, iter: 86, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1498.66(19) mean: 1547.31, max: 1648.93
Date: 07-06 at 04:28:11, iter: 87, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1498.34(19) mean: 1522.33, max: 1585.94
Date: 07-06 at 04:29:30, iter: 88, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1494.50(19) mean: 1514.23, max: 1589.30
Date: 07-06 at 04:30:44, iter: 89, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1494.50(19) mean: 1537.30, max: 1622.92
Date: 07-06 at 04:31:50, iter: 90, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1494.50(19) mean: 1568.99, max: 1600.70
Date: 07-06 at 04:33:10, iter: 91, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1494.50(19) mean: 1518.27, max: 1543.08
Date: 07-06 at 04:34:32, iter: 92, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1493.65(19) mean: 1507.12, max: 1542.71
Date: 07-06 at 04:35:42, iter: 93, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1493.65(19) mean: 1518.46, max: 1576.48
Date: 07-06 at 04:37:03, iter: 94, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1493.65(19) mean: 1506.41, max: 1537.28
Date: 07-06 at 04:38:22, iter: 95, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1493.65(19) mean: 1524.95, max: 1561.86
Date: 07-06 at 04:39:41, iter: 96, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1493.65(19) mean: 1504.44, max: 1521.39
Date: 07-06 at 04:41:00, iter: 98, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1493.65(19) mean: 1541.90, max: 1668.42
Date: 07-06 at 04:42:19, iter: 99, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1493.65(19) mean: 1517.41, max: 1619.73
Date: 07-06 at 04:43:36, iter: 100, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1493.65(19) mean: 1513.77, max: 1550.42
Date: 07-06 at 04:44:49, iter: 101, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1493.65(19) mean: 1506.78, max: 1557.85
Date: 07-06 at 04:46:08, iter: 103, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1493.65(19) mean: 1510.14, max: 1572.83
Date: 07-06 at 04:47:31, iter: 104, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1493.65(19) mean: 1507.48, max: 1595.02
Date: 07-06 at 04:48:44, iter: 105, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1493.65(19) mean: 1502.59, max: 1537.21
Date: 07-06 at 04:49:52, iter: 106, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1493.65(19) mean: 1500.22, max: 1522.24
Date: 07-06 at 04:51:12, iter: 108, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1493.65(19) mean: 1528.69, max: 1612.84
Date: 07-06 at 04:52:32, iter: 109, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1493.65(19) mean: 1511.85, max: 1652.47
Date: 07-06 at 04:53:43, iter: 110, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1493.58(19) mean: 1504.65, max: 1555.81
Date: 07-06 at 04:54:54, iter: 111, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1493.58(19) mean: 1496.72, max: 1503.19
Date: 07-06 at 04:56:12, iter: 112, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1493.58(19) mean: 1504.90, max: 1555.99
Date: 07-06 at 04:57:31, iter: 113, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1493.58(19) mean: 1498.48, max: 1520.25
Date: 07-06 at 04:58:42, iter: 114, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1496.44, max: 1504.06
Date: 07-06 at 04:59:56, iter: 115, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1498.40, max: 1533.30
Date: 07-06 at 05:01:07, iter: 116, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1496.46, max: 1504.24
Date: 07-06 at 05:02:27, iter: 117, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1502.92, max: 1542.24
Date: 07-06 at 05:03:45, iter: 118, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1501.55, max: 1539.31
Date: 07-06 at 05:05:05, iter: 120, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1514.61, max: 1581.09
Date: 07-06 at 05:06:20, iter: 121, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1502.41, max: 1528.84
Date: 07-06 at 05:07:34, iter: 122, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1508.31, max: 1550.25
Date: 07-06 at 05:08:48, iter: 123, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1501.29, max: 1527.92
Date: 07-06 at 05:10:07, iter: 125, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1507.01, max: 1594.78
Date: 07-06 at 05:11:23, iter: 126, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1498.65, max: 1527.92
Date: 07-06 at 05:12:38, iter: 127, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1498.01, max: 1527.92
Date: 07-06 at 05:13:53, iter: 128, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1497.32, max: 1527.92
Date: 07-06 at 05:15:10, iter: 130, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1507.26, max: 1594.18
Date: 07-06 at 05:16:25, iter: 131, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1500.12, max: 1539.75
Date: 07-06 at 05:17:44, iter: 132, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1496.81, max: 1527.92
Date: 07-06 at 05:19:05, iter: 133, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1497.87, max: 1527.92
Date: 07-06 at 05:20:18, iter: 135, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1505.55, max: 1562.65
Date: 07-06 at 05:21:29, iter: 136, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1505.68, max: 1562.25
Date: 07-06 at 05:22:47, iter: 137, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1497.71, max: 1535.08
Date: 07-06 at 05:24:04, iter: 138, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1496.51, max: 1527.92
Date: 07-06 at 05:25:16, iter: 140, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1545.57, max: 1668.40
Date: 07-06 at 05:26:33, iter: 141, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1513.17, max: 1628.20
Date: 07-06 at 05:27:57, iter: 142, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1516.05, max: 1655.61
Date: 07-06 at 05:29:21, iter: 143, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1501.52, max: 1554.07
Date: 07-06 at 05:30:48, iter: 145, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1519.79, max: 1736.53
Date: 07-06 at 05:32:03, iter: 146, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1518.35, max: 1755.53
Date: 07-06 at 05:33:22, iter: 147, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1498.84, max: 1527.92
Date: 07-06 at 05:34:34, iter: 148, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1499.62, max: 1535.10
Date: 07-06 at 05:35:48, iter: 150, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1523.67, max: 1654.91
Date: 07-06 at 05:37:05, iter: 151, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1504.58, max: 1551.83
Date: 07-06 at 05:38:19, iter: 152, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1507.29, max: 1574.85
Date: 07-06 at 05:39:30, iter: 153, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1517.92, max: 1623.10
Date: 07-06 at 05:40:51, iter: 155, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1514.92, max: 1595.38
Date: 07-06 at 05:42:04, iter: 156, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1504.66, max: 1546.76
Date: 07-06 at 05:43:16, iter: 157, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1504.68, max: 1546.76
Date: 07-06 at 05:44:31, iter: 158, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1504.45, max: 1549.95
Date: 07-06 at 05:45:54, iter: 160, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1513.04, max: 1638.22
Date: 07-06 at 05:47:06, iter: 161, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1505.76, max: 1546.87
Date: 07-06 at 05:48:23, iter: 162, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1499.29, max: 1527.14
Date: 07-06 at 05:49:34, iter: 163, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1498.42, max: 1543.46
Date: 07-06 at 05:50:53, iter: 165, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1513.17, max: 1651.11
Date: 07-06 at 05:52:11, iter: 166, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1509.24, max: 1644.14
Date: 07-06 at 05:53:18, iter: 167, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1509.27, max: 1643.74
