Date: 08-05 at 18:42:28, iter: 52, new3, Khoo: 753.15, current_best: 931.37 best obj: 936.59(3) mean: 994.59, max: 1282.52
Date: 08-05 at 18:43:11, iter: 53, new3, Khoo: 753.15, current_best: 931.37 best obj: 931.37(3) mean: 1015.52, max: 1271.48
Date: 08-05 at 18:43:56, iter: 54, new3, Khoo: 753.15, current_best: 928.79 best obj: 928.79(3) mean: 966.21, max: 1226.12
Date: 08-05 at 18:44:42, iter: 55, new3, Khoo: 753.15, current_best: 928.79 best obj: 928.79(3) mean: 995.48, max: 1289.45
Date: 08-05 at 18:45:27, iter: 56, new3, Khoo: 753.15, current_best: 897.94 best obj: 897.94(4) mean: 953.04, max: 1244.01
Date: 08-05 at 18:46:09, iter: 57, new3, Khoo: 753.15, current_best: 889.76 best obj: 889.76(4) mean: 979.19, max: 1185.57
Date: 08-05 at 18:46:54, iter: 58, new3, Khoo: 753.15, current_best: 889.53 best obj: 889.53(4) mean: 942.32, max: 1184.57
Date: 08-05 at 18:47:37, iter: 59, new3, Khoo: 753.15, current_best: 889.53 best obj: 889.53(4) mean: 928.83, max: 1184.34
Date: 08-05 at 18:48:28, iter: 60, new3, Khoo: 753.15, current_best: 889.53 best obj: 889.53(4) mean: 909.30, max: 993.55
Date: 08-05 at 18:49:39, iter: 61, new3, Khoo: 753.15, current_best: 889.53 best obj: 889.53(4) mean: 891.00, max: 919.40
Date: 08-05 at 18:50:27, iter: 63, new3, Khoo: 753.15, current_best: 889.53 best obj: 889.53(4) mean: 1183.57, max: 1416.24
Date: 08-05 at 18:51:42, iter: 64, new3, Khoo: 753.15, current_best: 889.53 best obj: 889.53(4) mean: 1109.74, max: 1398.89
Date: 08-05 at 18:52:27, iter: 65, new3, Khoo: 753.15, current_best: 884.02 best obj: 884.02(4) mean: 1011.85, max: 1349.10
Date: 08-05 at 18:53:18, iter: 66, new3, Khoo: 753.15, current_best: 880.42 best obj: 880.42(4) mean: 995.79, max: 1204.23
Date: 08-05 at 18:54:09, iter: 67, new3, Khoo: 753.15, current_best: 879.16 best obj: 879.16(4) mean: 923.41, max: 1029.50
Date: 08-05 at 18:55:02, iter: 68, new3, Khoo: 753.15, current_best: 873.38 best obj: 873.38(5) mean: 905.08, max: 984.24
Date: 08-05 at 18:55:49, iter: 69, new3, Khoo: 753.15, current_best: 843.28 best obj: 843.28(4) mean: 944.19, max: 1064.70
Date: 08-05 at 18:56:41, iter: 70, new3, Khoo: 753.15, current_best: 843.28 best obj: 843.28(4) mean: 952.72, max: 1033.89
Date: 08-05 at 18:57:36, iter: 71, new3, Khoo: 753.15, current_best: 843.28 best obj: 843.28(4) mean: 898.14, max: 930.36
Date: 08-05 at 18:58:28, iter: 72, new3, Khoo: 753.15, current_best: 843.28 best obj: 843.28(4) mean: 904.79, max: 963.27
Date: 08-05 at 18:59:19, iter: 74, new3, Khoo: 753.15, current_best: 843.28 best obj: 843.28(4) mean: 1169.83, max: 1462.65
Date: 08-05 at 19:00:18, iter: 75, new3, Khoo: 753.15, current_best: 843.28 best obj: 843.28(4) mean: 1057.22, max: 1456.29
Date: 08-05 at 19:01:11, iter: 76, new3, Khoo: 753.15, current_best: 843.28 best obj: 843.28(4) mean: 991.36, max: 1425.93
Date: 08-05 at 19:02:10, iter: 77, new3, Khoo: 753.15, current_best: 828.24 best obj: 828.24(4) mean: 883.96, max: 1004.00
Date: 08-05 at 19:02:59, iter: 78, new3, Khoo: 753.15, current_best: 825.04 best obj: 825.04(4) mean: 917.83, max: 1081.12
Date: 08-05 at 19:03:59, iter: 79, new3, Khoo: 753.15, current_best: 820.16 best obj: 820.16(4) mean: 859.42, max: 981.50
