Date: 07-07 at 14:50:51, iter: 1, new1, Khoo: 1613.59, current_best: 1905.23 best obj: 1905.23(23) mean: 2573.18, max: 2799.96
Date: 07-07 at 14:52:07, iter: 2, new1, Khoo: 1613.59, current_best: 1733.36 best obj: 1733.36(21) mean: 2514.65, max: 2729.74
Date: 07-07 at 14:53:23, iter: 3, new1, Khoo: 1613.59, current_best: 1711.77 best obj: 1711.77(21) mean: 2517.10, max: 2724.21
Date: 07-07 at 14:54:40, iter: 4, new1, Khoo: 1613.59, current_best: 1708.97 best obj: 1708.97(21) mean: 2289.20, max: 2698.85
Date: 07-07 at 14:55:57, iter: 5, new1, Khoo: 1613.59, current_best: 1708.97 best obj: 1708.97(21) mean: 2175.32, max: 2699.13
Date: 07-07 at 14:57:36, iter: 6, new1, Khoo: 1613.59, current_best: 1708.97 best obj: 1708.97(21) mean: 2072.83, max: 2700.20
Date: 07-07 at 14:58:51, iter: 7, new1, Khoo: 1613.59, current_best: 1708.97 best obj: 1708.97(21) mean: 1983.32, max: 2701.76
Date: 07-07 at 15:00:05, iter: 8, new1, Khoo: 1613.59, current_best: 1708.97 best obj: 1708.97(21) mean: 2008.97, max: 2713.34
Date: 07-07 at 15:01:31, iter: 10, new1, Khoo: 1613.59, current_best: 1708.97 best obj: 1708.97(21) mean: 1914.59, max: 2070.65
Date: 07-07 at 15:02:41, iter: 11, new1, Khoo: 1613.59, current_best: 1708.97 best obj: 1708.97(21) mean: 1956.73, max: 2111.53
Date: 07-07 at 15:03:56, iter: 12, new1, Khoo: 1613.59, current_best: 1708.97 best obj: 1708.97(21) mean: 1973.96, max: 2148.28
Date: 07-07 at 15:05:13, iter: 13, new1, Khoo: 1613.59, current_best: 1708.97 best obj: 1708.97(21) mean: 1944.25, max: 2171.12
Date: 07-07 at 15:06:28, iter: 15, new1, Khoo: 1613.59, current_best: 1708.97 best obj: 1708.97(21) mean: 1965.89, max: 2159.88
Date: 07-07 at 15:48:10, iter: 1, new2, Khoo: 1613.59, current_best: 1818.85 best obj: 1818.85(22) mean: 2310.48, max: 2759.44
Date: 07-07 at 15:49:28, iter: 2, new2, Khoo: 1613.59, current_best: 1756.49 best obj: 1756.49(22) mean: 2331.62, max: 2801.26
Date: 07-07 at 15:50:46, iter: 3, new2, Khoo: 1613.59, current_best: 1752.41 best obj: 1752.41(23) mean: 2335.80, max: 2783.86
Date: 07-07 at 15:52:07, iter: 4, new2, Khoo: 1613.59, current_best: 1738.44 best obj: 1738.44(23) mean: 2219.13, max: 2783.47
Date: 07-07 at 15:53:33, iter: 5, new2, Khoo: 1613.59, current_best: 1720.21 best obj: 1720.21(22) mean: 1822.24, max: 1938.48
Date: 07-07 at 15:54:49, iter: 6, new2, Khoo: 1613.59, current_best: 1720.21 best obj: 1720.21(22) mean: 1815.34, max: 1932.17
