Date: 07-01 at 03:14:00, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1395.23(12) mean: 2430.77, max: 3471.97
Date: 07-01 at 03:15:16, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1269.33(11) mean: 2304.26, max: 3254.42
Date: 07-01 at 03:16:26, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1258.37(11) mean: 2197.88, max: 3061.14
Date: 07-01 at 03:17:40, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1258.37(11) mean: 1895.01, max: 2724.78
Date: 07-01 at 03:18:51, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1258.37(11) mean: 1643.08, max: 2510.50
Date: 07-01 at 03:20:05, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1242.27(13) mean: 1351.46, max: 1447.01
Date: 07-01 at 03:21:18, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1240.17(13) mean: 1369.63, max: 1485.32
Date: 07-01 at 03:22:31, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1240.17(13) mean: 1352.83, max: 1488.61
Date: 07-01 at 03:23:45, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1240.17(13) mean: 1341.19, max: 1505.54
Date: 07-01 at 03:25:00, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1239.92(12) mean: 1296.34, max: 1361.74
Date: 07-01 at 03:26:17, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1239.92(12) mean: 1325.40, max: 1413.36
Date: 07-01 at 03:27:30, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1239.92(12) mean: 1292.07, max: 1347.76
Date: 07-01 at 03:28:41, iter: 13, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1234.35(12) mean: 1289.19, max: 1374.15
Date: 07-01 at 03:29:54, iter: 14, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1234.35(12) mean: 1334.12, max: 1415.98
Date: 07-01 at 03:31:10, iter: 15, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1234.35(12) mean: 1287.64, max: 1369.11
Date: 07-01 at 03:32:29, iter: 16, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1234.35(12) mean: 1268.38, max: 1325.74
Date: 07-01 at 03:33:43, iter: 17, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1234.35(12) mean: 1304.26, max: 1350.93
Date: 07-01 at 03:35:00, iter: 19, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1234.35(12) mean: 1455.88, max: 1849.36
Date: 07-01 at 03:36:12, iter: 20, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1234.35(12) mean: 1411.27, max: 1891.32
Date: 07-01 at 03:37:26, iter: 21, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1234.35(12) mean: 1355.88, max: 1620.27
Date: 07-01 at 03:38:42, iter: 22, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1234.35(12) mean: 1378.80, max: 1555.11
Date: 07-01 at 03:39:56, iter: 24, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1223.51(12) mean: 1427.85, max: 1585.05
Date: 07-01 at 03:41:12, iter: 25, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1223.51(12) mean: 1299.01, max: 1375.55
Date: 07-01 at 03:42:25, iter: 26, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1223.51(12) mean: 1319.47, max: 1407.39
Date: 07-01 at 03:43:40, iter: 27, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1223.51(12) mean: 1331.38, max: 1438.08
Date: 07-01 at 03:44:53, iter: 29, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1223.51(12) mean: 1434.56, max: 1650.14
Date: 07-01 at 03:46:06, iter: 30, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1218.59(12) mean: 1327.65, max: 1618.59
Date: 07-01 at 03:47:17, iter: 31, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1212.76(11) mean: 1312.92, max: 1594.47
Date: 07-01 at 03:48:32, iter: 32, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1211.43(11) mean: 1313.58, max: 1595.52
Date: 07-01 at 03:49:44, iter: 33, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1211.43(11) mean: 1266.28, max: 1386.84
Date: 07-01 at 03:50:59, iter: 34, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1211.43(11) mean: 1279.80, max: 1370.87
Date: 07-01 at 03:52:17, iter: 35, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1211.43(11) mean: 1303.02, max: 1393.98
Date: 07-01 at 03:53:32, iter: 36, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1211.43(11) mean: 1287.39, max: 1399.46
Date: 07-01 at 03:54:51, iter: 38, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1211.43(11) mean: 1414.71, max: 1623.21
Date: 07-01 at 03:56:02, iter: 39, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1211.43(11) mean: 1357.66, max: 1675.50
Date: 07-01 at 03:57:17, iter: 40, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1211.43(11) mean: 1329.37, max: 1496.07
Date: 07-01 at 03:58:31, iter: 41, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1211.43(11) mean: 1312.11, max: 1424.91
Date: 07-01 at 03:59:46, iter: 43, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1211.43(11) mean: 1440.55, max: 1605.82
Date: 07-01 at 04:01:00, iter: 44, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1211.43(11) mean: 1289.50, max: 1397.21
Date: 07-01 at 04:02:13, iter: 45, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1211.43(11) mean: 1296.88, max: 1403.48
Date: 07-01 at 04:03:26, iter: 46, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1211.43(11) mean: 1315.65, max: 1455.11
Date: 07-01 at 04:04:44, iter: 48, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1211.43(11) mean: 1412.78, max: 1677.86
Date: 07-01 at 04:06:00, iter: 49, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1211.43(11) mean: 1277.66, max: 1329.71
Date: 07-01 at 04:07:13, iter: 50, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1211.43(11) mean: 1294.49, max: 1385.40
Date: 07-01 at 04:08:29, iter: 51, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1211.43(11) mean: 1299.60, max: 1431.20
Date: 07-01 at 04:09:43, iter: 53, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1211.43(11) mean: 1439.12, max: 1596.03
Date: 07-01 at 04:10:56, iter: 54, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1211.43(11) mean: 1384.09, max: 1644.41
Date: 07-01 at 04:12:06, iter: 55, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1205.12(11) mean: 1254.57, max: 1357.14
Date: 07-01 at 04:13:11, iter: 56, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1205.12(11) mean: 1239.05, max: 1340.52
Date: 07-01 at 04:14:27, iter: 57, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1205.12(11) mean: 1260.29, max: 1387.19
Date: 07-01 at 04:15:36, iter: 58, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1205.12(11) mean: 1242.72, max: 1289.52
Date: 07-01 at 04:16:53, iter: 59, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1205.12(11) mean: 1236.92, max: 1322.38
Date: 07-01 at 04:18:04, iter: 61, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1205.12(11) mean: 1399.68, max: 1538.05
Date: 07-01 at 04:19:15, iter: 62, fix: false, local: true, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1205.12(11) mean: 1258.09, max: 1367.66
