Date: 07-19 at 11:39:47, iter: 44, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1229.77(10) mean: 1362.72, max: 1790.18
Date: 07-19 at 11:40:34, iter: 45, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1229.77(10) mean: 1308.28, max: 1507.17
Date: 07-19 at 11:41:22, iter: 46, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1229.77(10) mean: 1322.03, max: 1535.71
Date: 07-19 at 11:42:07, iter: 48, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1229.77(10) mean: 1429.38, max: 1647.87
Date: 07-19 at 11:42:53, iter: 49, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1229.77(10) mean: 1368.94, max: 1617.80
Date: 07-19 at 11:43:42, iter: 50, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1229.77(10) mean: 1367.88, max: 1632.93
Date: 07-19 at 11:44:29, iter: 51, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1229.77(10) mean: 1343.28, max: 1559.22
Date: 07-19 at 11:45:18, iter: 53, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1229.77(10) mean: 1491.94, max: 1740.37
Date: 07-19 at 11:46:04, iter: 54, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1229.77(10) mean: 1384.89, max: 1661.87
Date: 07-19 at 11:46:52, iter: 55, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1229.77(10) mean: 1338.49, max: 1571.15
Date: 07-19 at 11:47:38, iter: 56, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1221.68(9) mean: 1278.07, max: 1365.04
Date: 07-19 at 11:48:26, iter: 57, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1218.40(9) mean: 1274.72, max: 1375.72
Date: 07-19 at 11:49:14, iter: 58, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1218.40(9) mean: 1295.16, max: 1410.25
Date: 07-19 at 11:50:04, iter: 59, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1218.40(9) mean: 1311.85, max: 1438.72
Date: 07-19 at 11:50:54, iter: 60, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1218.40(9) mean: 1258.29, max: 1311.41
Date: 07-19 at 11:51:43, iter: 61, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1218.40(9) mean: 1287.69, max: 1348.22
Date: 07-19 at 11:52:31, iter: 63, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1218.40(9) mean: 1422.09, max: 1702.03
Date: 07-19 at 11:53:16, iter: 64, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1218.40(9) mean: 1346.85, max: 1678.53
Date: 07-19 at 11:54:05, iter: 65, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1215.77(9) mean: 1302.46, max: 1546.87
Date: 07-19 at 11:54:50, iter: 66, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1215.77(9) mean: 1332.87, max: 1437.35
Date: 07-19 at 11:55:38, iter: 67, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1215.77(9) mean: 1280.73, max: 1442.19
Date: 07-19 at 11:56:23, iter: 68, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1215.77(9) mean: 1246.62, max: 1332.45
Date: 07-19 at 11:57:11, iter: 69, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1212.11(9) mean: 1249.61, max: 1302.84
Date: 07-19 at 11:57:54, iter: 70, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1212.11(9) mean: 1237.44, max: 1285.59
Date: 07-19 at 11:58:42, iter: 71, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1208.14(9) mean: 1257.30, max: 1325.82
Date: 07-19 at 11:59:26, iter: 72, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1208.14(9) mean: 1239.66, max: 1354.12
Date: 07-19 at 12:00:10, iter: 73, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1207.96(9) mean: 1234.17, max: 1315.61
Date: 07-19 at 12:00:57, iter: 74, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1207.96(9) mean: 1260.64, max: 1345.85
Date: 07-19 at 12:01:44, iter: 75, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1207.96(9) mean: 1247.34, max: 1362.73
Date: 07-19 at 12:02:32, iter: 76, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1207.96(9) mean: 1225.58, max: 1259.88
Date: 07-19 at 12:03:21, iter: 77, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1207.96(9) mean: 1230.68, max: 1290.15
Date: 07-19 at 12:04:08, iter: 79, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1207.96(9) mean: 1377.72, max: 1625.57
Date: 07-19 at 12:04:53, iter: 80, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1206.21(10) mean: 1250.32, max: 1337.23
Date: 07-19 at 12:05:38, iter: 81, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1202.83(10) mean: 1252.74, max: 1326.42
Date: 07-19 at 12:06:22, iter: 82, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1202.83(10) mean: 1238.71, max: 1305.84
Date: 07-19 at 12:07:10, iter: 83, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1202.83(10) mean: 1255.67, max: 1334.74
Date: 07-19 at 12:07:53, iter: 84, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1202.83(10) mean: 1236.38, max: 1320.26
Date: 07-19 at 12:08:39, iter: 85, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1202.83(10) mean: 1233.47, max: 1320.26
Date: 07-19 at 12:09:23, iter: 87, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1202.83(10) mean: 1444.35, max: 1599.31
Date: 07-19 at 12:10:10, iter: 88, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1202.83(10) mean: 1339.38, max: 1578.00
