Date: 07-28 at 00:27:19, #particle: 15, iter: 1, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1454.34(18), mean: 2433.00, max: 2922.19
Date: 07-28 at 00:29:04, #particle: 15, iter: 2, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1363.81(17), mean: 2132.68, max: 2885.57
Date: 07-28 at 00:30:50, #particle: 15, iter: 3, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1313.05(15), mean: 2038.01, max: 2718.35
Date: 07-28 at 00:32:37, #particle: 15, iter: 4, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1295.37(15), mean: 1534.29, max: 2583.35
Date: 07-28 at 00:34:22, #particle: 15, iter: 5, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1292.31(15), mean: 1470.45, max: 2589.79
Date: 07-28 at 00:36:00, #particle: 15, iter: 6, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1292.31(15), mean: 1493.90, max: 2638.65
Date: 07-28 at 00:37:46, #particle: 15, iter: 7, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1292.31(15), mean: 1363.63, max: 1488.37
Date: 07-28 at 00:39:25, #particle: 15, iter: 8, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1292.31(15), mean: 1432.17, max: 1545.15
Date: 07-28 at 00:41:05, #particle: 15, iter: 9, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1292.31(15), mean: 1411.85, max: 1569.12
Date: 07-28 at 00:42:44, #particle: 15, iter: 10, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1292.31(15), mean: 1428.95, max: 1555.05
Date: 07-28 at 00:44:22, #particle: 15, iter: 11, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1291.49(17), mean: 1391.41, max: 1477.10
Date: 07-28 at 00:46:02, #particle: 15, iter: 12, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1291.23(17), mean: 1368.87, max: 1518.89
Date: 07-28 at 00:47:48, #particle: 15, iter: 13, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1286.91(17), mean: 1341.98, max: 1452.45
Date: 07-28 at 00:49:25, #particle: 15, iter: 14, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1278.76(16), mean: 1365.92, max: 1510.97
Date: 07-28 at 00:51:05, #particle: 15, iter: 15, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1278.76(16), mean: 1335.25, max: 1440.04
Date: 07-28 at 00:52:49, #particle: 15, iter: 16, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1273.10(16), mean: 1320.90, max: 1390.42
Date: 07-28 at 00:54:30, #particle: 15, iter: 17, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1273.10(16), mean: 1342.93, max: 1398.90
Date: 07-28 at 00:56:14, #particle: 15, iter: 18, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1270.18(16), mean: 1329.55, max: 1448.54
Date: 07-28 at 00:58:02, #particle: 15, iter: 19, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1264.77(16), mean: 1314.60, max: 1359.80
Date: 07-28 at 00:59:38, #particle: 15, iter: 20, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1264.77(16), mean: 1310.96, max: 1359.37
Date: 07-28 at 01:01:18, #particle: 15, iter: 21, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1264.77(16), mean: 1315.41, max: 1358.32
Date: 07-28 at 01:03:02, #particle: 15, iter: 22, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1264.77(16), mean: 1310.61, max: 1358.32
Date: 07-28 at 01:04:41, #particle: 15, iter: 23, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1264.77(16), mean: 1352.57, max: 1410.09
Date: 07-28 at 01:06:18, #particle: 15, iter: 24, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1264.77(16), mean: 1343.20, max: 1456.44
Date: 07-28 at 01:07:52, #particle: 15, iter: 1, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1443.87(17), mean: 2487.07, max: 2881.73
Date: 07-28 at 01:07:58, #particle: 15, iter: 25, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1264.71(16), mean: 1324.05, max: 1393.88
Date: 07-28 at 01:09:35, #particle: 15, iter: 2, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1393.79(17), mean: 2417.45, max: 2833.19
Date: 07-28 at 01:09:43, #particle: 15, iter: 26, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1264.71(16), mean: 1320.39, max: 1393.86
Date: 07-28 at 01:11:21, #particle: 15, iter: 3, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1374.47(17), mean: 2411.15, max: 2841.21
Date: 07-28 at 01:11:24, #particle: 15, iter: 27, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1264.71(16), mean: 1319.98, max: 1395.15
Date: 07-28 at 01:13:06, #particle: 15, iter: 28, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1264.71(16), mean: 1320.78, max: 1392.22
Date: 07-28 at 01:13:22, #particle: 15, iter: 4, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1366.03(17), mean: 1463.86, max: 1553.94
Date: 07-28 at 01:14:47, #particle: 15, iter: 29, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1264.71(16), mean: 1319.18, max: 1383.03
Date: 07-28 at 01:14:59, #particle: 15, iter: 5, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1363.40(17), mean: 1498.41, max: 1605.92
Date: 07-28 at 01:16:32, #particle: 15, iter: 30, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1264.71(16), mean: 1319.18, max: 1383.03
Date: 07-28 at 01:16:37, #particle: 15, iter: 6, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1326.72(16), mean: 1515.72, max: 1650.58
Date: 07-28 at 01:18:07, #particle: 15, iter: 31, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1264.71(16), mean: 1319.18, max: 1383.03
Date: 07-28 at 01:18:21, #particle: 15, iter: 7, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1321.72(16), mean: 1444.03, max: 1604.65
Date: 07-28 at 01:19:46, #particle: 15, iter: 32, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1264.71(16), mean: 1321.44, max: 1383.03
Date: 07-28 at 01:20:02, #particle: 15, iter: 8, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1321.72(16), mean: 1485.89, max: 1657.51
Date: 07-28 at 01:21:32, #particle: 15, iter: 33, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1264.71(16), mean: 1322.35, max: 1383.51
Date: 07-28 at 01:21:45, #particle: 15, iter: 9, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1321.72(16), mean: 1483.33, max: 1695.77
Date: 07-28 at 01:23:18, #particle: 15, iter: 34, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1264.71(16), mean: 1319.24, max: 1383.25
Date: 07-28 at 01:23:28, #particle: 15, iter: 10, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1321.72(16), mean: 1422.86, max: 1472.98
Date: 07-28 at 01:24:53, #particle: 15, iter: 36, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1264.71(16), mean: 2462.06, max: 3058.95
Date: 07-28 at 01:25:03, #particle: 15, iter: 11, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1321.72(16), mean: 1461.14, max: 1522.08
Date: 07-28 at 01:26:33, #particle: 15, iter: 12, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1321.72(16), mean: 1510.65, max: 1588.44
Date: 07-28 at 01:26:33, #particle: 15, iter: 37, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1264.71(16), mean: 2132.11, max: 2990.28
Date: 07-28 at 01:28:19, #particle: 15, iter: 38, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1264.71(16), mean: 1885.01, max: 3000.70
Date: 07-28 at 01:28:25, #particle: 15, iter: 13, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1321.72(16), mean: 1365.31, max: 1424.35
Date: 07-28 at 01:29:59, #particle: 15, iter: 39, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1264.71(16), mean: 1476.74, max: 1579.04
Date: 07-28 at 01:30:03, #particle: 15, iter: 14, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1321.72(16), mean: 1366.57, max: 1416.42
Date: 07-28 at 01:31:37, #particle: 15, iter: 15, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1321.72(16), mean: 1382.19, max: 1435.05
Date: 07-28 at 01:31:42, #particle: 15, iter: 40, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1264.71(16), mean: 1423.44, max: 1550.89
Date: 07-28 at 01:33:19, #particle: 15, iter: 41, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1264.71(16), mean: 1403.44, max: 1560.23
Date: 07-28 at 01:33:22, #particle: 15, iter: 16, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1321.72(16), mean: 1369.19, max: 1453.07
Date: 07-28 at 01:35:05, #particle: 15, iter: 42, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1264.71(16), mean: 1325.77, max: 1394.01
Date: 07-28 at 01:35:06, #particle: 15, iter: 18, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1316.09(16), mean: 2387.70, max: 2824.94
Date: 07-28 at 01:36:41, #particle: 15, iter: 43, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1264.71(16), mean: 1361.94, max: 1430.95
Date: 07-28 at 01:36:51, #particle: 15, iter: 19, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1316.09(16), mean: 2086.22, max: 2872.45
Date: 07-28 at 01:38:20, #particle: 15, iter: 44, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1256.59(15), mean: 1329.13, max: 1433.37
Date: 07-28 at 01:38:35, #particle: 15, iter: 20, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1316.09(16), mean: 1957.05, max: 2883.06
Date: 07-28 at 01:40:02, #particle: 15, iter: 45, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1254.96(15), mean: 1317.20, max: 1438.61
Date: 07-28 at 01:40:11, #particle: 15, iter: 21, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1316.09(16), mean: 1799.66, max: 2829.98
Date: 07-28 at 01:41:41, #particle: 15, iter: 46, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1254.95(15), mean: 1316.12, max: 1389.95
Date: 07-28 at 01:41:52, #particle: 15, iter: 22, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1316.09(16), mean: 1767.07, max: 2786.65
Date: 07-28 at 01:43:19, #particle: 15, iter: 47, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1254.95(15), mean: 1327.28, max: 1417.81
Date: 07-28 at 01:43:35, #particle: 15, iter: 23, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1316.09(16), mean: 1710.57, max: 2747.05
