Date: 03-29 at 20:10:57, particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, best obj: 591.68(6), mean: 1253.68, max: 1573.59
Date: 03-29 at 20:10:59, particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, best obj: 533.25(6), mean: 1184.96, max: 1554.98
Date: 03-29 at 20:11:01, particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, best obj: 531.45(6), mean: 1045.21, max: 1396.42
Date: 03-29 at 20:11:03, particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, best obj: 531.45(6), mean: 929.09, max: 1306.52
Date: 03-29 at 20:11:06, particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, best obj: 531.45(6), mean: 920.94, max: 1290.33
Date: 03-29 at 20:11:10, particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, best obj: 531.45(6), mean: 624.54, max: 723.77
Date: 03-29 at 20:11:13, particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, best obj: 531.45(6), mean: 617.59, max: 735.31
Date: 03-29 at 20:11:17, particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, best obj: 530.47(6), mean: 1246.54, max: 1497.67
Date: 03-29 at 20:11:19, particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, best obj: 520.42(6), mean: 1144.85, max: 1360.78
Date: 03-29 at 20:11:22, particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, best obj: 509.81(6), mean: 1120.64, max: 1349.78
Date: 03-29 at 20:11:25, particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: true, best obj: 483.63(6), mean: 916.12, max: 1135.07
Date: 03-29 at 20:11:27, particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: true, best obj: 469.37(6), mean: 889.52, max: 1136.26
Date: 03-29 at 20:11:30, particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: true, best obj: 456.00(6), mean: 902.61, max: 1156.60
Date: 03-29 at 20:11:32, particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: true, best obj: 430.27(6), mean: 817.15, max: 1072.50
Date: 03-29 at 20:11:37, particle: 15, iter: 17, fix: false, local: true, cut car: true, new generate: true, best obj: 429.86(6), mean: 527.42, max: 616.37
Date: 03-29 at 20:11:39, particle: 15, iter: 18, fix: false, local: true, cut car: true, new generate: true, best obj: 429.86(6), mean: 551.39, max: 653.97
Date: 03-29 at 20:11:42, particle: 15, iter: 19, fix: false, local: true, cut car: true, new generate: true, best obj: 429.86(6), mean: 540.80, max: 667.63
Date: 03-29 at 20:11:45, particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: true, best obj: 429.86(6), mean: 502.01, max: 638.45
Date: 03-29 at 20:11:48, particle: 15, iter: 21, fix: false, local: true, cut car: true, new generate: true, best obj: 429.86(6), mean: 470.82, max: 533.11
Date: 03-29 at 20:11:52, particle: 15, iter: 24, fix: false, local: true, cut car: true, new generate: true, best obj: 429.09(6), mean: 1274.62, max: 1619.64
Date: 03-29 at 20:11:54, particle: 15, iter: 25, fix: false, local: true, cut car: true, new generate: true, best obj: 429.09(6), mean: 1246.07, max: 1579.64
Date: 03-29 at 20:11:57, particle: 15, iter: 26, fix: false, local: true, cut car: true, new generate: true, best obj: 429.09(6), mean: 1029.34, max: 1261.52
Date: 03-29 at 20:12:01, particle: 15, iter: 27, fix: false, local: true, cut car: true, new generate: true, best obj: 429.09(6), mean: 806.32, max: 1019.68
Date: 03-29 at 20:12:05, particle: 15, iter: 30, fix: false, local: true, cut car: true, new generate: true, best obj: 429.09(6), mean: 1264.82, max: 1570.21
Date: 03-29 at 20:12:08, particle: 15, iter: 31, fix: false, local: true, cut car: true, new generate: true, best obj: 429.09(6), mean: 1024.89, max: 1193.73
