Date: 01-09 at 19:18:37, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1389.40(10), mean: 3482.63, max: 4837.46
Date: 01-09 at 19:19:29, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1221.83(8), mean: 2845.30, max: 4425.72
Date: 01-09 at 19:20:23, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1152.56(8), mean: 2566.60, max: 4203.67
Date: 01-09 at 19:21:16, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1145.87(8), mean: 2288.78, max: 3973.22
Date: 01-09 at 19:22:09, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1145.87(8), mean: 2247.86, max: 3954.77
Date: 01-09 at 19:23:04, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1145.87(8), mean: 1704.74, max: 3091.55
Date: 01-09 at 19:23:58, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1145.87(8), mean: 1292.83, max: 1444.99
Date: 01-09 at 19:24:53, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1145.87(8), mean: 1316.23, max: 1514.19
Date: 01-09 at 19:25:46, #particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1145.87(8), mean: 1527.88, max: 1879.11
Date: 01-09 at 19:26:38, #particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1145.87(8), mean: 1402.99, max: 1888.14
Date: 01-09 at 19:27:30, #particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1144.30(10), mean: 1247.26, max: 1432.33
Date: 01-09 at 19:28:20, #particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1135.00(10), mean: 1268.79, max: 1469.08
Date: 01-09 at 19:29:12, #particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1072.17(8), mean: 1273.09, max: 1484.39
Date: 01-09 at 19:30:03, #particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1063.94(8), mean: 1273.20, max: 1433.05
Date: 01-09 at 19:30:56, #particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1063.94(8), mean: 1296.24, max: 1504.20
Date: 01-09 at 19:31:51, #particle: 15, iter: 17, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1063.94(8), mean: 1199.57, max: 1391.96
Date: 01-09 at 19:32:46, #particle: 15, iter: 18, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1063.94(8), mean: 1206.24, max: 1320.50
Date: 01-09 at 19:33:42, #particle: 15, iter: 19, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1063.94(8), mean: 1208.92, max: 1319.88
Date: 01-09 at 19:34:34, #particle: 15, iter: 21, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1063.94(8), mean: 1381.80, max: 1611.56
Date: 01-09 at 19:35:27, #particle: 15, iter: 22, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1063.94(8), mean: 1225.04, max: 1560.19
Date: 01-09 at 19:36:21, #particle: 15, iter: 23, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1048.11(9), mean: 1181.91, max: 1616.84
Date: 01-09 at 19:37:14, #particle: 15, iter: 24, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1046.00(9), mean: 1205.95, max: 1657.91
Date: 01-09 at 19:38:05, #particle: 15, iter: 25, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1046.00(9), mean: 1152.82, max: 1290.01
Date: 01-09 at 19:38:59, #particle: 15, iter: 26, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1046.00(9), mean: 1129.65, max: 1234.13
