Date: 01-10 at 06:37:17, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1442.10(8), mean: 3480.68, max: 4837.46
Date: 01-10 at 06:38:12, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1277.09(8), mean: 2702.46, max: 4477.84
Date: 01-10 at 06:39:02, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1232.45(8), mean: 2449.43, max: 4137.92
Date: 01-10 at 06:39:55, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1216.58(8), mean: 2451.35, max: 3874.29
Date: 01-10 at 06:40:48, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1107.33(9), mean: 1906.62, max: 3245.25
Date: 01-10 at 06:41:43, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1096.48(9), mean: 1731.92, max: 3018.29
Date: 01-10 at 06:42:35, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1096.15(9), mean: 1762.02, max: 3049.19
Date: 01-10 at 06:43:28, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1096.15(9), mean: 1725.62, max: 2892.88
Date: 01-10 at 06:44:22, #particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1096.15(9), mean: 1642.30, max: 2723.75
Date: 01-10 at 06:45:17, #particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1096.15(9), mean: 1652.62, max: 2795.88
Date: 01-10 at 06:46:10, #particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1096.15(9), mean: 1239.29, max: 1333.01
Date: 01-10 at 06:47:05, #particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1096.15(9), mean: 1448.03, max: 1707.77
Date: 01-10 at 06:47:57, #particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1096.15(9), mean: 1285.72, max: 1518.89
Date: 01-10 at 06:48:51, #particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1096.15(9), mean: 1230.35, max: 1429.50
Date: 01-10 at 06:49:42, #particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1096.15(9), mean: 1241.05, max: 1379.13
Date: 01-10 at 06:50:36, #particle: 15, iter: 18, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1096.15(9), mean: 1426.13, max: 1709.53
Date: 01-10 at 06:51:28, #particle: 15, iter: 19, fix: false, local: true, cut car: true, new generate: false, Khoo: 926.82, best obj: 1096.15(9), mean: 1229.52, max: 1378.38
