Date: 07-01 at 12:18:20, iter: 40, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 896.14(11) mean: 953.09, max: 959.45
Date: 07-01 at 12:19:14, iter: 41, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 896.14(11) mean: 953.07, max: 959.45
Date: 07-01 at 12:20:14, iter: 42, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 896.14(11) mean: 925.19, max: 933.44
Date: 07-01 at 12:21:09, iter: 43, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 864.06(11) mean: 909.96, max: 932.13
Date: 07-01 at 12:22:07, iter: 44, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 893.75, max: 929.01
Date: 07-01 at 12:22:57, iter: 45, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 889.01, max: 928.42
Date: 07-01 at 12:23:55, iter: 46, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 857.94, max: 863.88
Date: 07-01 at 12:24:53, iter: 47, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:25:44, iter: 48, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:26:35, iter: 49, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:27:32, iter: 50, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:28:23, iter: 51, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:29:17, iter: 52, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:30:15, iter: 53, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:31:07, iter: 54, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:32:00, iter: 55, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:33:00, iter: 56, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:33:53, iter: 57, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:34:57, iter: 58, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:35:48, iter: 59, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:36:47, iter: 60, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:37:43, iter: 61, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:38:38, iter: 62, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:39:46, iter: 63, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:40:44, iter: 64, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:41:44, iter: 65, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:42:54, iter: 66, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:43:59, iter: 67, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:44:58, iter: 68, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:46:03, iter: 69, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:47:00, iter: 70, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:48:04, iter: 71, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:49:01, iter: 72, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:50:11, iter: 73, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:51:20, iter: 74, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:52:23, iter: 75, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:53:29, iter: 76, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:54:38, iter: 77, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:55:44, iter: 78, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:56:46, iter: 79, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:57:50, iter: 80, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:59:01, iter: 81, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:59:58, iter: 82, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:01:02, iter: 83, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:02:03, iter: 84, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:03:03, iter: 85, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:04:02, iter: 86, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:05:05, iter: 87, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:06:06, iter: 88, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:07:07, iter: 89, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:08:09, iter: 90, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:09:07, iter: 91, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:10:06, iter: 92, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:11:09, iter: 93, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:12:12, iter: 94, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:13:11, iter: 95, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:14:13, iter: 96, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:15:16, iter: 97, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:16:16, iter: 98, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:17:21, iter: 99, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:18:26, iter: 100, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:19:28, iter: 101, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:20:40, iter: 102, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:21:38, iter: 103, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:22:38, iter: 104, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:23:45, iter: 105, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:24:50, iter: 106, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:25:55, iter: 107, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:26:56, iter: 108, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:27:56, iter: 109, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:28:57, iter: 110, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:30:06, iter: 111, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:31:10, iter: 112, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:32:12, iter: 113, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:33:16, iter: 114, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:34:13, iter: 115, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:35:14, iter: 116, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:36:23, iter: 117, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:37:22, iter: 118, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:38:20, iter: 119, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:39:27, iter: 120, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:40:32, iter: 121, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:41:47, iter: 122, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:42:45, iter: 123, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:43:50, iter: 124, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:44:50, iter: 125, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:45:54, iter: 126, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:47:01, iter: 127, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:48:05, iter: 128, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:49:06, iter: 129, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:50:13, iter: 130, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:51:14, iter: 131, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:52:16, iter: 132, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:53:18, iter: 133, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:54:27, iter: 134, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:55:34, iter: 135, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:56:36, iter: 136, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:57:38, iter: 137, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:58:38, iter: 138, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:59:39, iter: 139, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 14:00:49, iter: 140, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 14:01:51, iter: 141, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 14:02:54, iter: 142, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 14:03:59, iter: 143, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 14:05:08, iter: 144, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 14:06:08, iter: 145, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
