Date: 11-06 at 21:00:52, #particle: 20, iter: 1, fix: false, local: false, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1462.29(14), mean: 2477.53, max: 3207.03
Date: 11-06 at 21:02:15, #particle: 20, iter: 2, fix: false, local: false, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1413.94(13), mean: 2445.22, max: 3267.83
Date: 11-06 at 21:03:33, #particle: 20, iter: 3, fix: false, local: false, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1369.92(13), mean: 2489.21, max: 3286.13
Date: 11-06 at 21:04:54, #particle: 20, iter: 4, fix: false, local: false, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1368.30(13), mean: 2410.59, max: 3153.44
Date: 11-06 at 21:06:13, #particle: 20, iter: 5, fix: false, local: false, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1368.30(13), mean: 2218.46, max: 3011.13
Date: 11-06 at 21:07:37, #particle: 20, iter: 6, fix: false, local: false, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1368.30(13), mean: 2190.84, max: 2997.25
Date: 11-06 at 21:09:03, #particle: 20, iter: 7, fix: false, local: false, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1368.30(13), mean: 1588.47, max: 1853.80
Date: 11-06 at 21:10:30, #particle: 20, iter: 8, fix: false, local: false, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1368.30(13), mean: 1579.09, max: 1757.34
Date: 11-06 at 21:11:43, #particle: 20, iter: 9, fix: false, local: false, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1368.30(13), mean: 1558.55, max: 1775.64
Date: 11-06 at 21:13:04, #particle: 20, iter: 10, fix: false, local: false, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1368.30(13), mean: 1588.15, max: 1830.15
Date: 11-06 at 21:14:28, #particle: 20, iter: 11, fix: false, local: false, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1334.29(13), mean: 1473.66, max: 1849.88
Date: 11-06 at 21:15:50, #particle: 20, iter: 12, fix: false, local: false, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1331.74(13), mean: 1404.34, max: 1822.34
