Date: 04-27 at 18:15:19, particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, best obj: 429.37(3), mean: 528.04, max: 709.22
Date: 04-27 at 18:15:20, particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, best obj: 368.73(3), mean: 481.26, max: 707.14
Date: 04-27 at 18:15:20, particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, best obj: 365.46(3), mean: 481.76, max: 707.14
Date: 04-27 at 18:15:21, particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, best obj: 365.46(3), mean: 486.88, max: 707.14
Date: 04-27 at 18:15:22, particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, best obj: 365.46(3), mean: 493.32, max: 707.14
Date: 04-27 at 18:15:23, particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, best obj: 365.46(3), mean: 527.28, max: 773.75
Date: 04-27 at 18:15:24, particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, best obj: 365.46(3), mean: 561.24, max: 875.63
Date: 04-27 at 18:15:25, particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, best obj: 365.46(3), mean: 845.73, max: 1015.06
Date: 04-27 at 18:15:26, particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, best obj: 365.46(3), mean: 519.33, max: 714.70
Date: 04-27 at 18:15:27, particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, best obj: 365.46(3), mean: 499.33, max: 707.47
Date: 04-27 at 18:15:27, particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, best obj: 365.46(3), mean: 484.07, max: 706.89
Date: 04-27 at 18:15:28, particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: true, best obj: 365.46(3), mean: 845.73, max: 1015.06
Date: 04-27 at 18:15:29, particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: true, best obj: 365.46(3), mean: 484.25, max: 720.15
Date: 04-27 at 18:15:30, particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: true, best obj: 365.46(3), mean: 462.06, max: 642.83
Date: 04-27 at 18:15:31, particle: 15, iter: 17, fix: false, local: true, cut car: true, new generate: true, best obj: 365.46(3), mean: 482.14, max: 642.00
Date: 04-27 at 18:15:31, particle: 15, iter: 19, fix: false, local: true, cut car: true, new generate: true, best obj: 365.46(3), mean: 845.73, max: 1015.06
Date: 04-27 at 18:15:32, particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: true, best obj: 365.46(3), mean: 510.19, max: 723.21
Date: 04-27 at 18:15:33, particle: 15, iter: 21, fix: false, local: true, cut car: true, new generate: true, best obj: 365.46(3), mean: 513.39, max: 717.13
