Date: 07-12 at 03:11:11, iter: 40, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:12:12, iter: 41, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:13:06, iter: 42, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:14:06, iter: 43, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:15:07, iter: 44, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:16:10, iter: 45, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:17:07, iter: 46, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:18:03, iter: 47, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:19:03, iter: 48, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:20:02, iter: 49, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:20:59, iter: 50, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:21:59, iter: 51, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:22:53, iter: 52, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:23:51, iter: 53, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:24:49, iter: 54, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:25:49, iter: 55, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:26:45, iter: 56, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:27:44, iter: 57, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:28:42, iter: 58, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:29:35, iter: 59, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:30:30, iter: 60, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:31:26, iter: 61, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:32:28, iter: 62, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:33:26, iter: 63, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:34:25, iter: 64, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:35:22, iter: 65, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:36:17, iter: 66, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:37:14, iter: 67, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:38:11, iter: 68, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:39:05, iter: 69, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:40:00, iter: 70, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:40:55, iter: 71, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:41:54, iter: 72, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:42:51, iter: 73, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:43:42, iter: 74, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:44:38, iter: 75, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:45:39, iter: 76, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:46:43, iter: 77, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-12 at 03:47:41, iter: 79, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 2051.90, max: 3859.04
Date: 07-12 at 03:48:39, iter: 80, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 1092.51, max: 1476.64
Date: 07-12 at 03:49:39, iter: 81, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 1056.55, max: 1478.31
Date: 07-12 at 03:50:39, iter: 82, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 1017.73, max: 1420.54
Date: 07-12 at 03:51:40, iter: 83, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 943.46, max: 1343.07
Date: 07-12 at 03:52:37, iter: 84, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 913.08, max: 1119.37
Date: 07-12 at 03:53:36, iter: 85, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 899.11, max: 1072.27
Date: 07-12 at 03:54:33, iter: 86, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 886.97, max: 1021.80
Date: 07-12 at 03:55:30, iter: 87, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 877.96, max: 987.42
Date: 07-12 at 03:56:28, iter: 88, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 863.41, max: 946.18
Date: 07-12 at 03:57:24, iter: 89, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 859.11, max: 946.18
Date: 07-12 at 03:58:22, iter: 90, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 858.23, max: 946.18
Date: 07-12 at 03:59:19, iter: 91, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 855.33, max: 920.16
