Date: 08-01 at 02:58:19, #particle: 15, iter: 37, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1273.08(15), mean: 1410.37, max: 1522.72
Date: 08-01 at 02:59:39, #particle: 15, iter: 38, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1273.08(15), mean: 1432.67, max: 1583.07
Date: 08-01 at 03:00:53, #particle: 15, iter: 39, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1273.08(15), mean: 1349.22, max: 1404.21
Date: 08-01 at 03:02:08, #particle: 15, iter: 40, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1273.08(15), mean: 1362.17, max: 1440.01
Date: 08-01 at 03:03:22, #particle: 15, iter: 41, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1273.08(15), mean: 1408.53, max: 1487.88
Date: 08-01 at 03:04:35, #particle: 15, iter: 42, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1273.08(15), mean: 1355.03, max: 1477.12
Date: 08-01 at 03:05:51, #particle: 15, iter: 44, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1273.08(15), mean: 2463.89, max: 3026.32
Date: 08-01 at 03:07:09, #particle: 15, iter: 45, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1273.08(15), mean: 2132.96, max: 2976.76
Date: 08-01 at 03:08:28, #particle: 15, iter: 46, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1273.08(15), mean: 2007.36, max: 2881.57
Date: 08-01 at 03:09:46, #particle: 15, iter: 47, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1273.08(15), mean: 1882.88, max: 2868.47
Date: 08-01 at 03:11:06, #particle: 15, iter: 48, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1273.08(15), mean: 1670.88, max: 2729.52
Date: 08-01 at 03:12:23, #particle: 15, iter: 49, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1273.08(15), mean: 1497.19, max: 1689.74
Date: 08-01 at 03:13:40, #particle: 15, iter: 50, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1273.08(15), mean: 1543.18, max: 1734.37
Date: 08-01 at 03:14:59, #particle: 15, iter: 51, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1273.08(15), mean: 1576.87, max: 1774.41
