Date: 08-01 at 06:52:39, #particle: 15, iter: 1, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1443.12(18), mean: 2175.56, max: 2709.94
Date: 08-01 at 06:53:38, #particle: 15, iter: 2, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1364.80(17), mean: 2103.95, max: 2680.55
Date: 08-01 at 06:54:36, #particle: 15, iter: 3, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1310.56(16), mean: 2131.95, max: 2717.43
Date: 08-01 at 06:55:34, #particle: 15, iter: 4, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1310.56(16), mean: 1830.56, max: 2671.94
Date: 08-01 at 06:56:31, #particle: 15, iter: 5, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1310.56(16), mean: 1776.76, max: 2605.02
Date: 08-01 at 06:57:28, #particle: 15, iter: 6, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1310.56(16), mean: 1486.22, max: 2321.39
Date: 08-01 at 06:58:28, #particle: 15, iter: 7, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1310.56(16), mean: 1522.88, max: 2322.89
Date: 08-01 at 06:59:30, #particle: 15, iter: 8, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1310.56(16), mean: 1452.09, max: 1586.16
Date: 08-01 at 07:00:29, #particle: 15, iter: 9, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1310.56(16), mean: 1388.27, max: 1527.87
Date: 08-01 at 07:01:28, #particle: 15, iter: 10, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1310.56(16), mean: 1415.68, max: 1591.85
Date: 08-01 at 07:02:28, #particle: 15, iter: 11, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1310.56(16), mean: 1439.96, max: 1650.20
Date: 08-01 at 07:03:27, #particle: 15, iter: 12, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1297.27(17), mean: 1417.22, max: 1504.47
Date: 08-01 at 07:04:24, #particle: 15, iter: 13, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1294.06(17), mean: 1415.16, max: 1512.30
Date: 08-01 at 07:05:24, #particle: 15, iter: 14, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1294.06(17), mean: 1428.14, max: 1551.44
Date: 08-01 at 07:06:22, #particle: 15, iter: 15, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1294.06(17), mean: 1434.65, max: 1568.45
Date: 08-01 at 07:07:22, #particle: 15, iter: 16, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1294.06(17), mean: 1433.80, max: 1606.79
Date: 08-01 at 07:08:22, #particle: 15, iter: 17, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1294.06(17), mean: 1415.94, max: 1568.51
Date: 08-01 at 07:09:20, #particle: 15, iter: 18, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1294.06(17), mean: 1336.52, max: 1383.30
Date: 08-01 at 07:10:22, #particle: 15, iter: 19, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1279.29(16), mean: 1334.34, max: 1391.37
Date: 08-01 at 07:11:19, #particle: 15, iter: 20, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1267.16(16), mean: 1358.34, max: 1433.62
Date: 08-01 at 07:12:17, #particle: 15, iter: 21, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1267.16(16), mean: 1321.45, max: 1419.75
Date: 08-01 at 07:13:15, #particle: 15, iter: 22, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1267.16(16), mean: 1313.45, max: 1376.59
Date: 08-01 at 07:14:16, #particle: 15, iter: 23, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1267.16(16), mean: 1325.09, max: 1374.30
Date: 08-01 at 07:15:13, #particle: 15, iter: 24, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1267.16(16), mean: 1361.55, max: 1421.79
Date: 08-01 at 07:16:11, #particle: 15, iter: 25, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1265.28(16), mean: 1307.54, max: 1391.09
Date: 08-01 at 07:17:08, #particle: 15, iter: 26, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1265.28(16), mean: 1325.64, max: 1437.02
Date: 08-01 at 07:18:04, #particle: 15, iter: 27, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1265.28(16), mean: 1320.05, max: 1439.97
Date: 08-01 at 07:18:55, #particle: 15, iter: 28, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1265.28(16), mean: 1293.87, max: 1438.45
Date: 08-01 at 07:19:47, #particle: 15, iter: 29, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1265.28(16), mean: 1291.23, max: 1344.30
Date: 08-01 at 07:20:40, #particle: 15, iter: 30, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1265.28(16), mean: 1292.14, max: 1384.47
Date: 08-01 at 07:21:36, #particle: 15, iter: 31, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1265.28(16), mean: 1281.14, max: 1314.22
Date: 08-01 at 07:22:30, #particle: 15, iter: 32, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1265.28(16), mean: 1286.10, max: 1316.77
Date: 08-01 at 07:23:23, #particle: 15, iter: 33, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1265.28(16), mean: 1282.91, max: 1314.22
Date: 08-01 at 07:24:16, #particle: 15, iter: 34, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1265.28(16), mean: 1289.97, max: 1335.33
Date: 08-01 at 07:25:06, #particle: 15, iter: 36, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1263.56(16), mean: 2461.98, max: 3058.95
Date: 08-01 at 07:26:00, #particle: 15, iter: 37, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1260.42(16), mean: 2286.19, max: 3073.91
Date: 08-01 at 07:26:56, #particle: 15, iter: 38, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1260.42(16), mean: 2200.93, max: 3022.89
