Date: 01-26 at 11:35:00, #particle: 15, iter: 1, fix: false, local: false, cut car: true, new generate: true, Khoo: 938.2, best obj: 1216.27(12), mean: 2154.74, max: 2849.30
Date: 01-26 at 11:35:56, #particle: 15, iter: 2, fix: false, local: false, cut car: true, new generate: true, Khoo: 938.2, best obj: 1140.72(14), mean: 1981.85, max: 2731.53
Date: 01-26 at 11:36:45, #particle: 15, iter: 3, fix: false, local: false, cut car: true, new generate: true, Khoo: 938.2, best obj: 1074.54(12), mean: 1974.03, max: 2708.32
Date: 01-26 at 11:37:35, #particle: 15, iter: 4, fix: false, local: false, cut car: true, new generate: true, Khoo: 938.2, best obj: 1066.03(12), mean: 1876.05, max: 2620.09
Date: 01-26 at 11:38:28, #particle: 15, iter: 5, fix: false, local: false, cut car: true, new generate: true, Khoo: 938.2, best obj: 1065.69(12), mean: 1797.59, max: 2506.41
Date: 01-26 at 11:39:22, #particle: 15, iter: 6, fix: false, local: false, cut car: true, new generate: true, Khoo: 938.2, best obj: 1065.69(12), mean: 1753.13, max: 2455.92
Date: 01-26 at 11:40:14, #particle: 15, iter: 7, fix: false, local: false, cut car: true, new generate: true, Khoo: 938.2, best obj: 1065.69(12), mean: 1578.41, max: 2324.31
Date: 01-26 at 11:41:10, #particle: 15, iter: 8, fix: false, local: false, cut car: true, new generate: true, Khoo: 938.2, best obj: 1065.69(12), mean: 1379.18, max: 2199.00
Date: 01-26 at 11:42:06, #particle: 15, iter: 9, fix: false, local: false, cut car: true, new generate: true, Khoo: 938.2, best obj: 1065.69(12), mean: 1178.18, max: 1359.71
Date: 01-26 at 11:42:54, #particle: 15, iter: 12, fix: false, local: false, cut car: true, new generate: true, Khoo: 938.2, best obj: 1056.15(12), mean: 2084.82, max: 2552.01
Date: 01-26 at 11:43:48, #particle: 15, iter: 13, fix: false, local: false, cut car: true, new generate: true, Khoo: 938.2, best obj: 1040.31(12), mean: 1832.65, max: 2360.25
Date: 01-26 at 11:44:43, #particle: 15, iter: 14, fix: false, local: false, cut car: true, new generate: true, Khoo: 938.2, best obj: 1036.55(12), mean: 1833.84, max: 2325.33
Date: 01-26 at 11:45:33, #particle: 15, iter: 15, fix: false, local: false, cut car: true, new generate: true, Khoo: 938.2, best obj: 1034.25(12), mean: 1671.52, max: 2254.52
Date: 01-26 at 11:46:28, #particle: 15, iter: 16, fix: false, local: false, cut car: true, new generate: true, Khoo: 938.2, best obj: 1034.25(12), mean: 1242.07, max: 1907.04
Date: 01-26 at 11:47:22, #particle: 15, iter: 17, fix: false, local: false, cut car: true, new generate: true, Khoo: 938.2, best obj: 1034.25(12), mean: 1198.67, max: 1348.22
Date: 01-26 at 11:48:09, #particle: 15, iter: 18, fix: false, local: false, cut car: true, new generate: true, Khoo: 938.2, best obj: 1034.25(12), mean: 1205.36, max: 1364.68
Date: 01-26 at 11:48:58, #particle: 15, iter: 19, fix: false, local: false, cut car: true, new generate: true, Khoo: 938.2, best obj: 1034.25(12), mean: 1226.95, max: 1402.76
Date: 01-26 at 11:49:54, #particle: 15, iter: 22, fix: false, local: false, cut car: true, new generate: true, Khoo: 938.2, best obj: 1028.27(13), mean: 2024.87, max: 2491.05
Date: 01-26 at 11:50:43, #particle: 15, iter: 23, fix: false, local: false, cut car: true, new generate: true, Khoo: 938.2, best obj: 1018.43(12), mean: 1947.25, max: 2439.80
Date: 01-26 at 11:51:42, #particle: 15, iter: 24, fix: false, local: false, cut car: true, new generate: true, Khoo: 938.2, best obj: 1008.09(11), mean: 1175.61, max: 1352.57
Date: 01-26 at 11:52:33, #particle: 15, iter: 25, fix: false, local: false, cut car: true, new generate: true, Khoo: 938.2, best obj: 1005.68(11), mean: 1169.64, max: 1307.52
Date: 01-26 at 11:53:21, #particle: 15, iter: 26, fix: false, local: false, cut car: true, new generate: true, Khoo: 938.2, best obj: 1005.68(11), mean: 1197.55, max: 1329.89
Date: 01-26 at 11:54:18, #particle: 15, iter: 27, fix: false, local: false, cut car: true, new generate: true, Khoo: 938.2, best obj: 1005.68(11), mean: 1087.02, max: 1222.30
Date: 01-26 at 11:55:03, #particle: 15, iter: 28, fix: false, local: false, cut car: true, new generate: true, Khoo: 938.2, best obj: 1005.68(11), mean: 1113.48, max: 1246.00
Date: 01-26 at 11:55:55, #particle: 15, iter: 29, fix: false, local: false, cut car: true, new generate: true, Khoo: 938.2, best obj: 1005.68(11), mean: 1089.89, max: 1218.54
Date: 01-26 at 11:56:50, #particle: 15, iter: 32, fix: false, local: false, cut car: true, new generate: true, Khoo: 938.2, best obj: 1005.68(11), mean: 1913.22, max: 2207.19
Date: 01-26 at 11:57:47, #particle: 15, iter: 33, fix: false, local: false, cut car: true, new generate: true, Khoo: 938.2, best obj: 1005.68(11), mean: 1176.75, max: 1300.06
Date: 01-26 at 11:58:35, #particle: 15, iter: 34, fix: false, local: false, cut car: true, new generate: true, Khoo: 938.2, best obj: 1005.68(11), mean: 1209.13, max: 1368.13
Date: 01-26 at 11:59:21, #particle: 15, iter: 35, fix: false, local: false, cut car: true, new generate: true, Khoo: 938.2, best obj: 1005.68(11), mean: 1252.95, max: 1411.88
Date: 01-26 at 12:00:11, #particle: 15, iter: 38, fix: false, local: false, cut car: true, new generate: true, Khoo: 938.2, best obj: 1005.68(11), mean: 1986.63, max: 2548.84
Date: 01-26 at 12:01:04, #particle: 15, iter: 39, fix: false, local: false, cut car: true, new generate: true, Khoo: 938.2, best obj: 1005.68(11), mean: 1756.95, max: 2437.09
