Problem,Num_customer,NV,Opt,Our_floor,Our
R201,25,4.0,463.3,463.3,464.374692678404
R202,25,4.0,410.5,410.5,411.4873905692607
R203,25,3.0,391.4,393.9,394.69982913730354
R204,25,2.0,355.0,355.00000000000006,355.8915758599167
R205,25,3.0,393.0,393.00000000000006,394.06201738477876
R206,25,3.0,374.4,374.4000000000001,375.4834315569335
R207,25,3.0,361.6,371.2,372.2893483812866
R208,25,1.0,328.2,334.59999999999997,335.6877652696198
R209,25,2.0,370.7,389.6,390.4913766369127
R210,25,3.0,404.6,412.8,413.84083724310244
R211,25,2.0,350.9,358.20000000000005,359.14073727935454
