Problem,Num_customer,NV,Opt,Our_floor,Our
R201,100,8.0,1143.2,1146.6000000000004,1151.2075324266018
R202,100,,,1035.8000000000002,1040.376878973639
R203,100,,,877.0,880.8235564501512
R204,100,,,742.3999999999999,746.744772481868
R205,100,,,957.2000000000002,961.6445906286554
R206,100,,,894.4000000000002,898.9332136800249
R207,100,,,808.6000000000003,812.5555683583079
R208,100,,,718.6999999999999,723.0331424182342
R209,100,,,870.3000000000003,874.5859097808124
R210,100,,,915.9999999999999,920.0527607983175
R211,100,,,758.6000000000003,763.170841267192
