Date: 07-10 at 17:01:58, iter: 1, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1558.78(14) mean: 2555.07, max: 3127.25
Date: 07-10 at 17:02:53, iter: 2, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1542.41(14) mean: 2468.29, max: 2991.79
Date: 07-10 at 17:03:48, iter: 3, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1536.43(14) mean: 2353.44, max: 3010.16
Date: 07-10 at 17:04:38, iter: 4, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1533.65(14) mean: 2264.19, max: 2954.71
Date: 07-10 at 17:05:29, iter: 5, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1533.65(14) mean: 2281.12, max: 2837.79
Date: 07-10 at 17:06:23, iter: 6, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1533.65(14) mean: 2188.53, max: 2811.53
Date: 07-10 at 17:07:21, iter: 7, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1533.65(14) mean: 1862.46, max: 2686.93
Date: 07-10 at 17:08:14, iter: 8, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1505.35(15) mean: 1708.99, max: 2689.04
Date: 07-10 at 17:09:08, iter: 9, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1500.28(15) mean: 1676.70, max: 2695.00
Date: 07-10 at 17:09:58, iter: 10, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1500.03(15) mean: 1697.30, max: 2666.68
Date: 07-10 at 17:10:49, iter: 11, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1431.32(14) mean: 1618.63, max: 1733.64
Date: 07-10 at 17:11:48, iter: 12, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1429.10(14) mean: 1527.85, max: 1639.52
Date: 07-10 at 17:12:44, iter: 13, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1428.96(14) mean: 1550.19, max: 1650.55
Date: 07-10 at 17:13:36, iter: 14, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1428.96(14) mean: 1520.58, max: 1614.98
Date: 07-10 at 17:14:28, iter: 15, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1423.99(14) mean: 1513.69, max: 1626.38
Date: 07-10 at 17:15:20, iter: 16, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1423.99(14) mean: 1483.73, max: 1535.95
Date: 07-10 at 17:16:13, iter: 17, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1423.99(14) mean: 1477.82, max: 1551.57
Date: 07-10 at 17:17:11, iter: 18, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1423.99(14) mean: 1511.52, max: 1590.15
Date: 07-10 at 17:18:08, iter: 19, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1423.64(14) mean: 1468.89, max: 1594.65
Date: 07-10 at 17:19:08, iter: 20, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1422.89(14) mean: 1446.29, max: 1502.31
Date: 07-10 at 17:19:58, iter: 21, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1422.89(14) mean: 1458.17, max: 1508.87
Date: 07-10 at 17:20:53, iter: 22, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1422.89(14) mean: 1445.90, max: 1541.37
Date: 07-10 at 17:21:51, iter: 23, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1422.89(14) mean: 1443.48, max: 1514.36
Date: 07-10 at 17:22:43, iter: 24, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1422.89(14) mean: 1446.58, max: 1561.04
Date: 07-10 at 17:23:38, iter: 25, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1427.41, max: 1436.61
Date: 07-10 at 17:24:33, iter: 26, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1427.41, max: 1436.61
Date: 07-10 at 17:25:27, iter: 27, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1427.41, max: 1436.61
Date: 07-10 at 17:26:25, iter: 28, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1433.90, max: 1460.98
Date: 07-10 at 17:27:29, iter: 29, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1428.40, max: 1443.04
Date: 07-10 at 17:28:24, iter: 30, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1427.42, max: 1436.86
Date: 07-10 at 17:29:28, iter: 31, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1427.41, max: 1436.61
Date: 07-10 at 17:30:29, iter: 32, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1433.90, max: 1460.98
Date: 07-10 at 17:31:31, iter: 33, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1426.95, max: 1436.61
Date: 07-10 at 17:32:28, iter: 34, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1478.97, max: 1494.32
Date: 07-10 at 17:33:26, iter: 35, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1442.59, max: 1476.73
Date: 07-10 at 17:34:22, iter: 36, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1434.04, max: 1461.95
Date: 07-10 at 17:35:16, iter: 37, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1449.47, max: 1499.01
Date: 07-10 at 17:36:13, iter: 38, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1440.55, max: 1468.89
Date: 07-10 at 17:37:05, iter: 39, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1428.32, max: 1455.55
Date: 07-10 at 17:38:00, iter: 40, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1427.14, max: 1455.55
Date: 07-10 at 17:38:54, iter: 41, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1426.95, max: 1455.55
Date: 07-10 at 17:39:47, iter: 42, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1426.64, max: 1455.55
Date: 07-10 at 17:40:51, iter: 43, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1438.61, max: 1479.91
Date: 07-10 at 17:41:49, iter: 44, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1428.89, max: 1479.68
Date: 07-10 at 17:42:40, iter: 45, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1427.77, max: 1463.11
Date: 07-10 at 17:43:34, iter: 46, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1426.80, max: 1455.55
Date: 07-10 at 17:44:28, iter: 47, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1426.49, max: 1455.55
Date: 07-10 at 17:45:21, iter: 48, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1426.49, max: 1455.55
Date: 07-10 at 17:46:15, iter: 49, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1440.74, max: 1512.73
Date: 07-10 at 17:47:11, iter: 50, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1426.26, max: 1455.55
Date: 07-10 at 17:48:03, iter: 51, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1427.95, max: 1457.91
Date: 07-10 at 17:49:02, iter: 52, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1436.17, max: 1482.27
Date: 07-10 at 17:50:04, iter: 53, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1428.37, max: 1457.91
Date: 07-10 at 17:50:57, iter: 54, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1426.34, max: 1455.55
Date: 07-10 at 17:51:50, iter: 55, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1425.87, max: 1455.55
Date: 07-10 at 17:52:47, iter: 56, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1435.10, max: 1479.91
Date: 07-10 at 17:53:39, iter: 57, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1439.96, max: 1526.03
Date: 07-10 at 17:54:34, iter: 58, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1428.06, max: 1475.14
Date: 07-10 at 17:55:29, iter: 59, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1426.69, max: 1474.87
Date: 07-10 at 17:56:20, iter: 60, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1424.52, max: 1441.56
Date: 07-10 at 17:57:15, iter: 61, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1423.29, max: 1437.42
Date: 07-10 at 17:58:12, iter: 62, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1423.29, max: 1437.42
Date: 07-10 at 17:59:08, iter: 63, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1423.29, max: 1437.42
Date: 07-10 at 18:00:01, iter: 64, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1423.29, max: 1437.42
Date: 07-10 at 18:00:57, iter: 65, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1423.29, max: 1437.42
Date: 07-10 at 18:01:49, iter: 66, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1423.29, max: 1437.42
Date: 07-10 at 18:02:43, iter: 67, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1423.29, max: 1437.42
Date: 07-10 at 18:03:45, iter: 68, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1423.29, max: 1437.42
Date: 07-10 at 18:04:40, iter: 69, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1423.29, max: 1437.42
Date: 07-10 at 18:05:43, iter: 70, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1423.29, max: 1437.42
Date: 07-10 at 18:06:45, iter: 71, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1418.87, max: 1418.87
Date: 07-10 at 18:07:46, iter: 72, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1418.87, max: 1418.87
Date: 07-10 at 18:08:50, iter: 73, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1418.87, max: 1418.87
Date: 07-10 at 18:09:46, iter: 74, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1418.87, max: 1418.87
Date: 07-10 at 18:10:48, iter: 76, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1963.25, max: 2871.27
Date: 07-10 at 18:11:52, iter: 77, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1523.71, max: 1710.28
Date: 07-10 at 18:12:45, iter: 78, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1540.20, max: 1773.27
Date: 07-10 at 18:13:47, iter: 79, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1519.52, max: 1844.90
Date: 07-10 at 18:14:48, iter: 80, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1468.17, max: 1586.95
Date: 07-10 at 18:15:51, iter: 81, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1479.94, max: 1621.30
Date: 07-10 at 18:16:45, iter: 82, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1501.80, max: 1694.70
Date: 07-10 at 18:17:40, iter: 83, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1488.28, max: 1788.35
Date: 07-10 at 18:18:35, iter: 84, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1472.74, max: 1595.75
Date: 07-10 at 18:19:30, iter: 85, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1473.08, max: 1649.65
Date: 07-10 at 18:20:28, iter: 86, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1490.53, max: 1735.04
Date: 07-10 at 18:21:22, iter: 87, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1442.25, max: 1505.43
Date: 07-10 at 18:22:20, iter: 88, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1418.87(14) mean: 1460.11, max: 1551.52
Date: 07-10 at 18:23:13, iter: 89, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1410.85(13) mean: 1441.49, max: 1557.77
Date: 07-10 at 18:23:58, iter: 90, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1407.82(13) mean: 1528.21, max: 1658.62
Date: 07-10 at 18:24:50, iter: 91, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1384.71(13) mean: 1554.67, max: 1681.54
Date: 07-10 at 18:25:46, iter: 92, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1384.71(13) mean: 1434.96, max: 1481.51
Date: 07-10 at 18:26:39, iter: 93, fix: false, local: true, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1384.71(13) mean: 1502.49, max: 1565.22
