Date: 07-16 at 00:24:34, iter: 1, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 1381.91(11) mean: 3054.93, max: 3916.77
Date: 07-16 at 00:25:26, iter: 2, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 1267.20(11) mean: 2870.09, max: 3856.75
Date: 07-16 at 00:26:16, iter: 3, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 1207.90(11) mean: 2834.27, max: 3742.13
Date: 07-16 at 00:27:08, iter: 4, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 1192.45(11) mean: 2812.83, max: 3641.57
Date: 07-16 at 00:27:56, iter: 5, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 1186.84(11) mean: 2825.29, max: 3653.34
Date: 07-16 at 00:28:48, iter: 6, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 1182.74(11) mean: 2429.82, max: 3173.55
Date: 07-16 at 00:29:42, iter: 7, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 1182.64(11) mean: 1858.92, max: 2778.76
Date: 07-16 at 00:30:37, iter: 8, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 1120.98(14) mean: 1877.04, max: 2797.96
Date: 07-16 at 00:31:27, iter: 9, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 1058.99(13) mean: 1685.96, max: 2646.00
Date: 07-16 at 00:32:24, iter: 10, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 1023.01(13) mean: 1127.71, max: 1219.56
Date: 07-16 at 00:33:14, iter: 11, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 1019.36(13) mean: 1181.46, max: 1273.41
Date: 07-16 at 00:34:02, iter: 12, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 1017.80(13) mean: 1158.16, max: 1248.51
Date: 07-16 at 00:34:52, iter: 13, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 1017.54(13) mean: 1171.60, max: 1275.90
Date: 07-16 at 00:35:41, iter: 14, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 1015.95(13) mean: 1179.42, max: 1294.77
Date: 07-16 at 00:36:35, iter: 15, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 1015.95(13) mean: 1095.45, max: 1142.97
Date: 07-16 at 00:37:27, iter: 16, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 1012.16(13) mean: 1094.42, max: 1162.12
Date: 07-16 at 00:38:25, iter: 17, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 1012.16(13) mean: 1083.73, max: 1149.65
Date: 07-16 at 00:39:17, iter: 18, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 1003.08(13) mean: 1096.40, max: 1187.78
Date: 07-16 at 00:40:15, iter: 19, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 991.97(13) mean: 1051.37, max: 1120.12
Date: 07-16 at 00:41:09, iter: 20, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 989.89(13) mean: 1068.06, max: 1141.14
Date: 07-16 at 00:42:00, iter: 21, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 989.89(13) mean: 1092.67, max: 1191.04
Date: 07-16 at 00:42:51, iter: 22, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 989.89(13) mean: 1065.63, max: 1213.89
Date: 07-16 at 00:43:46, iter: 23, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 989.89(13) mean: 1041.50, max: 1116.94
Date: 07-16 at 00:44:41, iter: 24, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 989.89(13) mean: 1069.32, max: 1155.06
Date: 07-16 at 00:45:29, iter: 25, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 989.89(13) mean: 1084.75, max: 1183.66
Date: 07-16 at 00:46:24, iter: 26, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 989.89(13) mean: 1048.79, max: 1129.36
Date: 07-16 at 00:47:23, iter: 27, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 989.89(13) mean: 1039.15, max: 1116.36
Date: 07-16 at 00:48:12, iter: 28, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 989.89(13) mean: 1037.18, max: 1116.36
Date: 07-16 at 00:49:00, iter: 29, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 989.89(13) mean: 1051.42, max: 1144.95
Date: 07-16 at 00:49:55, iter: 30, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 989.89(13) mean: 1044.45, max: 1150.49
Date: 07-16 at 00:50:52, iter: 31, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 989.89(13) mean: 1036.14, max: 1116.94
Date: 07-16 at 00:51:40, iter: 32, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 989.89(13) mean: 1034.73, max: 1117.10
Date: 07-16 at 00:52:34, iter: 33, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 989.89(13) mean: 1039.89, max: 1123.41
Date: 07-16 at 00:53:31, iter: 34, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 989.89(13) mean: 1076.84, max: 1176.01
Date: 07-16 at 00:54:19, iter: 35, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 945.39(13) mean: 1017.22, max: 1121.85
Date: 07-16 at 00:55:11, iter: 36, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 917.55(12) mean: 933.14, max: 952.78
Date: 07-16 at 00:56:02, iter: 37, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 915.47(12) mean: 928.25, max: 950.58
Date: 07-16 at 00:56:58, iter: 38, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 914.75(12) mean: 924.00, max: 947.11
Date: 07-16 at 00:57:41, iter: 39, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 913.88(12) mean: 964.02, max: 990.05
Date: 07-16 at 00:58:34, iter: 40, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 913.88(12) mean: 927.52, max: 953.49
Date: 07-16 at 00:59:27, iter: 41, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 913.88(12) mean: 931.94, max: 992.02
Date: 07-16 at 01:00:15, iter: 42, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 913.88(12) mean: 913.88, max: 913.88
Date: 07-16 at 01:01:06, iter: 43, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 913.88(12) mean: 913.88, max: 913.88
Date: 07-16 at 01:01:58, iter: 44, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 913.88(12) mean: 913.88, max: 913.88
Date: 07-16 at 01:02:48, iter: 45, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 913.88(12) mean: 913.88, max: 913.88
Date: 07-16 at 01:03:46, iter: 46, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 913.88(12) mean: 913.88, max: 913.88
Date: 07-16 at 01:04:39, iter: 47, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 913.88(12) mean: 913.88, max: 913.88
Date: 07-16 at 01:05:26, iter: 48, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 913.88(12) mean: 913.88, max: 913.88
Date: 07-16 at 01:06:15, iter: 49, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 913.88(12) mean: 913.88, max: 913.88
Date: 07-16 at 01:07:05, iter: 50, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 913.88(12) mean: 913.88, max: 913.88
Date: 07-16 at 01:08:00, iter: 51, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 913.88(12) mean: 913.88, max: 913.88
Date: 07-16 at 01:08:46, iter: 52, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 913.88(12) mean: 913.88, max: 913.88
Date: 07-16 at 01:09:35, iter: 53, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 913.88(12) mean: 913.88, max: 913.88
Date: 07-16 at 01:10:25, iter: 54, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 913.88(12) mean: 913.88, max: 913.88
Date: 07-16 at 01:11:21, iter: 55, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 913.88(12) mean: 913.88, max: 913.88
Date: 07-16 at 01:12:12, iter: 56, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 913.88(12) mean: 913.88, max: 913.88
Date: 07-16 at 01:13:03, iter: 57, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 913.88(12) mean: 913.88, max: 913.88
Date: 07-16 at 01:13:50, iter: 58, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 913.88(12) mean: 913.88, max: 913.88
Date: 07-16 at 01:14:40, iter: 59, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 913.88(12) mean: 913.88, max: 913.88
Date: 07-16 at 01:15:37, iter: 60, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 913.88(12) mean: 913.88, max: 913.88
Date: 07-16 at 01:16:25, iter: 61, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 913.88(12) mean: 913.88, max: 913.88
Date: 07-16 at 01:17:14, iter: 62, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 913.88(12) mean: 913.88, max: 913.88
Date: 07-16 at 01:18:01, iter: 63, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 913.88(12) mean: 913.88, max: 913.88
Date: 07-16 at 01:18:50, iter: 64, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 913.88(12) mean: 913.88, max: 913.88
Date: 07-16 at 01:19:46, iter: 65, fix: false, local: false, cut car: false, new generate: true, Khoo: 824.78 best obj: 913.88(12) mean: 913.88, max: 913.88
