Date: 12-15 at 22:15:31, #particle: 15, iter: 1, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 1142.34(5), mean: 3209.54, max: 3926.11
Date: 12-15 at 22:16:23, #particle: 15, iter: 2, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 904.86(5), mean: 2446.59, max: 3307.53
Date: 12-15 at 22:17:18, #particle: 15, iter: 3, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 841.97(5), mean: 2310.35, max: 3309.37
Date: 12-15 at 22:18:11, #particle: 15, iter: 4, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 828.80(5), mean: 1339.68, max: 2498.45
Date: 12-15 at 22:19:06, #particle: 15, iter: 5, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 754.25(6), mean: 913.38, max: 1477.91
Date: 12-15 at 22:20:01, #particle: 15, iter: 6, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 729.56(6), mean: 902.43, max: 1278.44
Date: 12-15 at 22:20:53, #particle: 15, iter: 7, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 671.26(5), mean: 772.43, max: 860.16
Date: 12-15 at 22:21:49, #particle: 15, iter: 8, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 641.94(4), mean: 715.02, max: 773.67
Date: 12-15 at 22:22:39, #particle: 15, iter: 9, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 641.94(4), mean: 679.86, max: 709.99
Date: 12-15 at 22:23:30, #particle: 15, iter: 10, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 641.94(4), mean: 667.38, max: 709.99
Date: 12-15 at 22:24:22, #particle: 15, iter: 11, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 641.94(4), mean: 669.65, max: 709.99
Date: 12-15 at 22:25:14, #particle: 15, iter: 12, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 641.94(4), mean: 664.72, max: 679.91
Date: 12-15 at 22:26:13, #particle: 15, iter: 14, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 641.94(4), mean: 671.42, max: 811.00
Date: 12-15 at 22:27:02, #particle: 15, iter: 15, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 641.94(4), mean: 681.39, max: 860.66
Date: 12-15 at 22:27:53, #particle: 15, iter: 16, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 641.94(4), mean: 683.65, max: 870.58
Date: 12-15 at 22:28:46, #particle: 15, iter: 17, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 641.94(4), mean: 653.05, max: 738.68
Date: 12-15 at 22:29:38, #particle: 15, iter: 19, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 641.94(4), mean: 837.46, max: 1253.00
Date: 12-15 at 22:30:28, #particle: 15, iter: 20, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 641.94(4), mean: 791.08, max: 1254.05
