Date: 07-11 at 03:47:55, iter: 44, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1376.18(13) mean: 1470.51, max: 1677.95
Date: 07-11 at 03:48:44, iter: 45, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1368.52(13) mean: 1444.13, max: 1555.86
Date: 07-11 at 03:49:35, iter: 46, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1368.52(13) mean: 1436.10, max: 1527.43
Date: 07-11 at 03:50:28, iter: 47, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1368.52(13) mean: 1434.83, max: 1496.30
Date: 07-11 at 03:51:14, iter: 48, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1368.52(13) mean: 1464.47, max: 1550.47
Date: 07-11 at 03:52:02, iter: 49, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1368.52(13) mean: 1491.04, max: 1588.28
Date: 07-11 at 03:53:00, iter: 51, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1368.52(13) mean: 1464.54, max: 1674.02
Date: 07-11 at 03:53:49, iter: 52, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1368.52(13) mean: 1473.63, max: 1683.13
Date: 07-11 at 03:54:39, iter: 53, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1368.52(13) mean: 1487.63, max: 1739.66
Date: 07-11 at 03:55:34, iter: 54, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1368.52(13) mean: 1429.72, max: 1502.10
Date: 07-11 at 03:56:29, iter: 56, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1368.52(13) mean: 1458.89, max: 1734.66
Date: 07-11 at 03:57:14, iter: 57, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1368.52(13) mean: 1485.18, max: 1769.89
Date: 07-11 at 03:58:07, iter: 58, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1368.52(13) mean: 1491.47, max: 1827.62
Date: 07-11 at 03:59:02, iter: 59, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1368.52(13) mean: 1435.54, max: 1505.44
Date: 07-11 at 03:59:54, iter: 61, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1368.52(13) mean: 1475.28, max: 1651.41
Date: 07-11 at 04:00:46, iter: 62, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1368.52(13) mean: 1464.54, max: 1638.91
Date: 07-11 at 04:01:38, iter: 63, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1368.52(13) mean: 1426.44, max: 1585.96
Date: 07-11 at 04:02:25, iter: 64, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1368.52(13) mean: 1476.60, max: 1637.98
Date: 07-11 at 04:03:18, iter: 66, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1368.52(13) mean: 1531.16, max: 1821.24
Date: 07-11 at 04:04:11, iter: 67, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1368.52(13) mean: 1503.94, max: 1748.68
Date: 07-11 at 04:04:54, iter: 68, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1368.52(13) mean: 1499.44, max: 1724.37
Date: 07-11 at 04:05:44, iter: 69, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1368.52(13) mean: 1493.12, max: 1776.40
Date: 07-11 at 04:06:40, iter: 71, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1368.52(13) mean: 1516.56, max: 1850.28
Date: 07-11 at 04:07:26, iter: 72, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1365.75(13) mean: 1446.67, max: 1821.46
