Date: 10-28 at 09:52:30, #particle: 15, iter: 1, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1791.71(19), mean: 3009.97, max: 3496.10
Date: 10-28 at 09:53:36, #particle: 15, iter: 2, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1732.05(18), mean: 3028.88, max: 3538.18
Date: 10-28 at 09:54:46, #particle: 15, iter: 3, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1716.76(18), mean: 3010.30, max: 3455.74
Date: 10-28 at 09:55:58, #particle: 15, iter: 4, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1716.76(18), mean: 2986.92, max: 3411.19
Date: 10-28 at 09:57:07, #particle: 15, iter: 5, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1716.76(18), mean: 2836.20, max: 3401.97
Date: 10-28 at 09:58:21, #particle: 15, iter: 6, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1716.76(18), mean: 2490.05, max: 3231.23
Date: 10-28 at 09:59:36, #particle: 15, iter: 7, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1716.76(18), mean: 2499.74, max: 3253.12
Date: 10-28 at 10:00:52, #particle: 15, iter: 8, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1716.76(18), mean: 1874.27, max: 1989.61
Date: 10-28 at 10:02:06, #particle: 15, iter: 9, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1716.76(18), mean: 1852.17, max: 2030.67
Date: 10-28 at 10:03:18, #particle: 15, iter: 10, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1698.01(18), mean: 1799.32, max: 2046.29
Date: 10-28 at 10:04:21, #particle: 15, iter: 11, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1680.78(17), mean: 1898.04, max: 2155.01
Date: 10-28 at 10:05:35, #particle: 15, iter: 12, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1678.74(17), mean: 1874.96, max: 2064.76
Date: 10-28 at 10:06:40, #particle: 15, iter: 13, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1678.74(17), mean: 1956.96, max: 2182.68
Date: 10-28 at 10:07:48, #particle: 15, iter: 14, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1678.74(17), mean: 1886.49, max: 2075.17
Date: 10-28 at 10:08:58, #particle: 15, iter: 15, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1678.74(17), mean: 1885.99, max: 2118.40
Date: 10-28 at 10:10:16, #particle: 15, iter: 16, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1652.31(18), mean: 1760.27, max: 1868.97
Date: 10-28 at 10:11:20, #particle: 15, iter: 17, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1636.81(18), mean: 1827.45, max: 1912.38
Date: 10-28 at 10:12:31, #particle: 15, iter: 18, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1629.40(17), mean: 1826.60, max: 1952.51
Date: 10-28 at 10:13:44, #particle: 15, iter: 19, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1629.40(17), mean: 1716.93, max: 1946.08
Date: 10-28 at 10:14:51, #particle: 15, iter: 20, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1629.40(17), mean: 1740.05, max: 1871.43
