Date: 11-16 at 04:34:49, #particle: 15, iter: 1, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1895.54(20), mean: 3025.38, max: 3436.63
Date: 11-16 at 04:35:56, #particle: 15, iter: 2, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1791.60(19), mean: 3047.15, max: 3440.03
Date: 11-16 at 04:37:07, #particle: 15, iter: 3, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1692.17(19), mean: 3049.70, max: 3495.06
Date: 11-16 at 04:38:14, #particle: 15, iter: 4, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1674.88(17), mean: 2937.78, max: 3449.94
Date: 11-16 at 04:39:24, #particle: 15, iter: 5, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1672.40(17), mean: 2867.93, max: 3473.80
Date: 11-16 at 04:40:40, #particle: 15, iter: 6, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1672.40(17), mean: 2561.43, max: 3358.16
Date: 11-16 at 04:41:55, #particle: 15, iter: 7, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1672.40(17), mean: 2162.16, max: 3334.81
Date: 11-16 at 04:43:08, #particle: 15, iter: 8, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1672.40(17), mean: 1869.61, max: 1996.20
Date: 11-16 at 04:44:21, #particle: 15, iter: 9, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1667.68(18), mean: 1871.10, max: 2030.58
Date: 11-16 at 04:45:28, #particle: 15, iter: 10, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1662.21(18), mean: 1847.27, max: 2052.46
Date: 11-16 at 04:46:41, #particle: 15, iter: 11, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1656.47(18), mean: 1779.23, max: 2085.28
Date: 11-16 at 04:47:48, #particle: 15, iter: 12, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1642.33(17), mean: 1798.06, max: 2127.45
Date: 11-16 at 04:48:56, #particle: 15, iter: 13, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1642.33(17), mean: 1786.94, max: 1948.25
Date: 11-16 at 04:50:11, #particle: 15, iter: 14, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1642.33(17), mean: 1736.77, max: 1875.69
Date: 11-16 at 04:51:24, #particle: 15, iter: 15, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1642.33(17), mean: 1702.73, max: 1765.10
Date: 11-16 at 04:52:31, #particle: 15, iter: 16, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1642.33(17), mean: 1736.81, max: 1868.12
Date: 11-16 at 04:53:43, #particle: 15, iter: 17, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1642.33(17), mean: 1702.79, max: 1782.21
Date: 11-16 at 04:54:49, #particle: 15, iter: 18, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1642.33(17), mean: 1745.99, max: 1853.43
Date: 11-16 at 04:55:54, #particle: 15, iter: 19, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1642.33(17), mean: 1756.55, max: 1847.54
Date: 11-16 at 04:57:07, #particle: 15, iter: 20, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1642.33(17), mean: 1720.53, max: 1809.90
Date: 11-16 at 04:58:18, #particle: 15, iter: 21, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1642.33(17), mean: 1720.41, max: 1778.57
Date: 11-16 at 04:59:29, #particle: 15, iter: 22, fix: false, local: false, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1642.33(17), mean: 1709.40, max: 1842.13
