Date: 07-07 at 20:21:03, iter: 1, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1497.72(17) mean: 2357.33, max: 2927.71
Date: 07-07 at 20:22:33, iter: 2, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1407.36(16) mean: 1763.26, max: 2799.17
Date: 07-07 at 20:24:00, iter: 3, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1382.91(16) mean: 1544.29, max: 2403.00
Date: 07-07 at 20:25:25, iter: 4, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1351.13(16) mean: 1574.83, max: 2333.72
Date: 07-07 at 20:26:58, iter: 5, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1334.95(16) mean: 1567.57, max: 1722.63
Date: 07-07 at 20:28:27, iter: 6, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1334.90(16) mean: 1504.90, max: 1719.32
Date: 07-07 at 20:30:03, iter: 7, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1306.86(16) mean: 1382.52, max: 1441.24
Date: 07-07 at 20:31:34, iter: 8, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1283.75(16) mean: 1385.62, max: 1476.30
Date: 07-07 at 20:32:56, iter: 9, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1283.75(16) mean: 1395.45, max: 1488.63
Date: 07-07 at 20:34:21, iter: 10, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1283.75(16) mean: 1439.79, max: 1563.81
Date: 07-07 at 20:35:53, iter: 11, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1283.75(16) mean: 1433.54, max: 1562.79
Date: 07-07 at 20:37:22, iter: 12, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1283.75(16) mean: 1420.56, max: 1582.55
Date: 07-07 at 20:38:55, iter: 14, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1283.75(16) mean: 1414.17, max: 1653.61
Date: 07-07 at 20:40:29, iter: 15, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1283.75(16) mean: 1349.34, max: 1590.58
Date: 07-07 at 20:42:00, iter: 16, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1283.75(16) mean: 1359.43, max: 1540.62
Date: 07-07 at 20:43:24, iter: 17, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1283.75(16) mean: 1322.15, max: 1362.36
Date: 07-07 at 20:44:54, iter: 19, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1283.75(16) mean: 1432.82, max: 1752.13
Date: 07-07 at 20:46:27, iter: 20, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1283.75(16) mean: 1398.25, max: 1712.61
Date: 07-07 at 20:47:57, iter: 21, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1283.75(16) mean: 1423.23, max: 1774.60
Date: 07-07 at 20:49:30, iter: 22, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1283.75(16) mean: 1389.60, max: 1810.32
Date: 07-07 at 20:51:10, iter: 24, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1283.75(16) mean: 1434.28, max: 1930.35
Date: 07-07 at 20:52:44, iter: 25, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1283.75(16) mean: 1329.05, max: 1389.73
Date: 07-07 at 20:54:17, iter: 26, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1278.22(16) mean: 1314.45, max: 1377.46
Date: 07-07 at 20:55:46, iter: 27, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1278.22(16) mean: 1337.23, max: 1421.66
Date: 07-07 at 20:57:23, iter: 28, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1275.13(16) mean: 1342.14, max: 1491.14
Date: 07-07 at 20:59:00, iter: 29, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1275.13(16) mean: 1321.88, max: 1411.69
Date: 07-07 at 21:00:28, iter: 30, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1267.17(15) mean: 1309.03, max: 1372.47
Date: 07-07 at 21:02:04, iter: 31, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1267.17(15) mean: 1329.13, max: 1426.68
Date: 07-07 at 21:03:30, iter: 32, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1267.17(15) mean: 1302.46, max: 1361.88
Date: 07-07 at 21:04:55, iter: 33, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1267.17(15) mean: 1305.18, max: 1382.79
Date: 07-07 at 21:06:27, iter: 34, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1267.17(15) mean: 1295.14, max: 1339.75
Date: 07-07 at 21:07:45, iter: 36, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1267.17(15) mean: 1442.80, max: 1613.03
Date: 07-07 at 21:09:10, iter: 37, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1267.17(15) mean: 1343.22, max: 1594.71
Date: 07-07 at 21:10:36, iter: 38, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1267.17(15) mean: 1310.51, max: 1376.59
Date: 07-07 at 21:11:58, iter: 39, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1267.17(15) mean: 1301.79, max: 1386.15
Date: 07-07 at 21:13:28, iter: 41, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1267.17(15) mean: 1392.93, max: 1550.89
Date: 07-07 at 21:14:59, iter: 42, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1267.17(15) mean: 1308.53, max: 1353.21
Date: 07-07 at 21:16:26, iter: 43, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1263.04(16) mean: 1291.22, max: 1342.83
Date: 07-07 at 21:17:52, iter: 44, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1263.04(16) mean: 1300.08, max: 1354.23
Date: 07-07 at 21:19:27, iter: 45, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1263.04(16) mean: 1288.95, max: 1322.45
Date: 07-07 at 21:20:49, iter: 46, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1263.04(16) mean: 1317.94, max: 1365.77
Date: 07-07 at 21:22:11, iter: 47, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1263.04(16) mean: 1315.14, max: 1365.31
Date: 07-07 at 21:24:00, iter: 49, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1263.04(16) mean: 1308.60, max: 1397.72
Date: 07-07 at 21:25:21, iter: 50, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1263.04(16) mean: 1353.24, max: 1473.73
Date: 07-07 at 21:26:59, iter: 51, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1263.04(16) mean: 1278.61, max: 1322.10
Date: 07-07 at 21:28:29, iter: 52, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1263.04(16) mean: 1297.83, max: 1327.97
Date: 07-07 at 21:30:02, iter: 54, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1261.54(16) mean: 1321.94, max: 1523.84
Date: 07-07 at 21:31:18, iter: 55, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1261.54(16) mean: 1341.69, max: 1551.34
Date: 07-07 at 21:32:47, iter: 56, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1261.54(16) mean: 1289.48, max: 1380.06
Date: 07-07 at 21:34:12, iter: 57, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1261.54(16) mean: 1285.12, max: 1335.87
Date: 07-07 at 21:35:41, iter: 59, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1261.54(16) mean: 1307.80, max: 1481.58
Date: 07-07 at 21:37:17, iter: 60, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1261.54(16) mean: 1279.78, max: 1340.81
Date: 07-07 at 21:38:50, iter: 61, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1261.54(16) mean: 1290.04, max: 1376.21
Date: 07-07 at 21:40:23, iter: 62, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1261.02(15) mean: 1275.38, max: 1298.67
Date: 07-07 at 21:41:46, iter: 63, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1261.02(15) mean: 1285.59, max: 1346.41
Date: 07-07 at 21:43:21, iter: 64, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1261.02(15) mean: 1275.16, max: 1298.67
Date: 07-07 at 21:44:58, iter: 65, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1261.02(15) mean: 1304.22, max: 1340.25
Date: 07-07 at 21:46:24, iter: 66, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1261.02(15) mean: 1274.48, max: 1298.17
Date: 07-07 at 21:47:43, iter: 68, fix: false, local: true, cut car: true, new generate: false, Khoo: 1213.62 best obj: 1261.02(15) mean: 1397.41, max: 1571.22
