Date: 04-17 at 20:09:42, particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, best obj: 790.62(4), mean: 917.67, max: 1341.17
Date: 04-17 at 20:09:43, particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, best obj: 782.98(4), mean: 903.51, max: 1490.84
Date: 04-17 at 20:09:43, particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, best obj: 781.72(4), mean: 944.54, max: 1646.51
Date: 04-17 at 20:09:44, particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, best obj: 781.72(4), mean: 985.71, max: 1802.17
Date: 04-17 at 20:09:44, particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, best obj: 781.72(4), mean: 1092.84, max: 2123.55
Date: 04-17 at 20:09:45, particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, best obj: 781.72(4), mean: 1199.96, max: 2444.93
Date: 04-17 at 20:09:46, particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, best obj: 781.72(4), mean: 1239.31, max: 2562.98
Date: 04-17 at 20:09:48, particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, best obj: 781.72(4), mean: 1086.78, max: 1223.13
Date: 04-17 at 20:09:48, particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, best obj: 759.07(5), mean: 908.06, max: 1271.97
Date: 04-17 at 20:09:49, particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, best obj: 754.13(5), mean: 915.39, max: 1403.48
Date: 04-17 at 20:09:49, particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, best obj: 754.13(5), mean: 938.64, max: 1521.52
Date: 04-17 at 20:09:50, particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: true, best obj: 754.13(5), mean: 977.05, max: 1713.60
Date: 04-17 at 20:09:50, particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: true, best obj: 754.13(5), mean: 1000.66, max: 1831.65
Date: 04-17 at 20:09:51, particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: true, best obj: 754.13(5), mean: 1158.32, max: 2013.56
Date: 04-17 at 20:09:52, particle: 15, iter: 17, fix: false, local: true, cut car: true, new generate: true, best obj: 754.13(5), mean: 1078.92, max: 1205.17
Date: 04-17 at 20:09:52, particle: 15, iter: 18, fix: false, local: true, cut car: true, new generate: true, best obj: 754.13(5), mean: 878.50, max: 986.17
Date: 04-17 at 20:09:53, particle: 15, iter: 19, fix: false, local: true, cut car: true, new generate: true, best obj: 751.31(4), mean: 858.86, max: 976.27
Date: 04-17 at 20:09:53, particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: true, best obj: 749.59(4), mean: 872.64, max: 1050.33
Date: 04-17 at 20:09:54, particle: 15, iter: 21, fix: false, local: true, cut car: true, new generate: true, best obj: 749.59(4), mean: 882.27, max: 1168.38
Date: 04-17 at 20:09:54, particle: 15, iter: 22, fix: false, local: true, cut car: true, new generate: true, best obj: 749.59(4), mean: 975.09, max: 1446.84
Date: 04-17 at 20:09:55, particle: 15, iter: 23, fix: false, local: true, cut car: true, new generate: true, best obj: 749.59(4), mean: 1053.68, max: 1615.25
Date: 04-17 at 20:09:56, particle: 15, iter: 24, fix: false, local: true, cut car: true, new generate: true, best obj: 749.59(4), mean: 1183.63, max: 1893.71
Date: 04-17 at 20:09:57, particle: 15, iter: 26, fix: false, local: true, cut car: true, new generate: true, best obj: 749.59(4), mean: 1087.73, max: 1223.13
Date: 04-17 at 20:09:58, particle: 15, iter: 27, fix: false, local: true, cut car: true, new generate: true, best obj: 749.59(4), mean: 928.19, max: 1284.71
Date: 04-17 at 20:09:58, particle: 15, iter: 28, fix: false, local: true, cut car: true, new generate: true, best obj: 749.59(4), mean: 1069.83, max: 1469.39
Date: 04-17 at 20:09:59, particle: 15, iter: 29, fix: false, local: true, cut car: true, new generate: true, best obj: 749.59(4), mean: 1229.88, max: 1654.07
Date: 04-17 at 20:10:00, particle: 15, iter: 31, fix: false, local: true, cut car: true, new generate: true, best obj: 749.59(4), mean: 1087.73, max: 1223.13
Date: 04-17 at 20:10:01, particle: 15, iter: 32, fix: false, local: true, cut car: true, new generate: true, best obj: 749.59(4), mean: 927.56, max: 1284.71
Date: 04-17 at 20:10:01, particle: 15, iter: 33, fix: false, local: true, cut car: true, new generate: true, best obj: 749.59(4), mean: 945.61, max: 1453.11
Date: 04-17 at 20:10:02, particle: 15, iter: 34, fix: false, local: true, cut car: true, new generate: true, best obj: 749.59(4), mean: 976.67, max: 1571.16
Date: 04-17 at 20:10:02, particle: 15, iter: 36, fix: false, local: true, cut car: true, new generate: true, best obj: 749.59(4), mean: 1087.73, max: 1223.13
Date: 04-17 at 20:10:03, particle: 15, iter: 37, fix: false, local: true, cut car: true, new generate: true, best obj: 749.59(4), mean: 1230.72, max: 1407.81
Date: 04-17 at 20:10:03, particle: 15, iter: 38, fix: false, local: true, cut car: true, new generate: true, best obj: 749.59(4), mean: 1332.76, max: 1525.85
