Date: 07-17 at 16:23:28, iter: 41, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 732.88, max: 765.04
Date: 07-17 at 16:23:59, iter: 42, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.08, max: 729.45
Date: 07-17 at 16:24:29, iter: 43, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:24:58, iter: 44, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:25:25, iter: 45, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:25:54, iter: 46, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:26:25, iter: 47, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:26:53, iter: 48, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:27:19, iter: 49, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:27:58, iter: 50, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:28:38, iter: 51, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:29:06, iter: 52, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:29:42, iter: 53, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:30:20, iter: 54, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:30:59, iter: 55, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:31:28, iter: 56, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:31:57, iter: 57, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:32:26, iter: 58, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:32:54, iter: 59, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
