Date: 11-01 at 01:37:31, #particle: 15, iter: 1, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29, best obj: 1039.12(5), mean: 3402.07, max: 4171.79
Date: 11-01 at 01:38:01, #particle: 15, iter: 2, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29, best obj: 915.29(5), mean: 2433.05, max: 2943.75
Date: 11-01 at 01:38:47, #particle: 15, iter: 3, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29, best obj: 910.10(5), mean: 2105.10, max: 2763.03
Date: 11-01 at 01:39:16, #particle: 15, iter: 4, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29, best obj: 910.10(5), mean: 2059.90, max: 2715.23
Date: 11-01 at 01:39:53, #particle: 15, iter: 5, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29, best obj: 849.34(6), mean: 1286.94, max: 1719.25
Date: 11-01 at 01:40:43, #particle: 15, iter: 6, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29, best obj: 837.06(6), mean: 1169.06, max: 1577.62
Date: 11-01 at 01:41:32, #particle: 15, iter: 7, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29, best obj: 837.06(6), mean: 937.26, max: 1017.98
Date: 11-01 at 01:42:11, #particle: 15, iter: 8, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29, best obj: 837.06(6), mean: 898.72, max: 952.14
Date: 11-01 at 01:42:54, #particle: 15, iter: 9, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29, best obj: 837.06(6), mean: 946.35, max: 1017.66
Date: 11-01 at 01:43:37, #particle: 15, iter: 10, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29, best obj: 837.06(6), mean: 909.33, max: 963.14
Date: 11-01 at 01:44:19, #particle: 15, iter: 11, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29, best obj: 837.06(6), mean: 925.34, max: 1008.45
Date: 11-01 at 01:44:51, #particle: 15, iter: 12, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29, best obj: 837.06(6), mean: 874.09, max: 895.67
Date: 11-01 at 01:45:39, #particle: 15, iter: 13, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29, best obj: 837.06(6), mean: 842.44, max: 870.55
Date: 11-01 at 01:46:13, #particle: 15, iter: 14, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29, best obj: 837.06(6), mean: 840.46, max: 883.63
Date: 11-01 at 01:46:55, #particle: 15, iter: 15, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29, best obj: 837.06(6), mean: 845.11, max: 873.41
Date: 11-01 at 01:47:26, #particle: 15, iter: 16, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29, best obj: 837.06(6), mean: 837.30, max: 839.35
Date: 11-01 at 01:48:03, #particle: 15, iter: 17, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29, best obj: 837.06(6), mean: 837.14, max: 838.29
Date: 11-01 at 01:48:51, #particle: 15, iter: 18, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29, best obj: 837.06(6), mean: 837.06, max: 837.06
Date: 11-01 at 01:49:20, #particle: 15, iter: 19, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29, best obj: 837.06(6), mean: 837.06, max: 837.06
Date: 11-01 at 01:50:01, #particle: 15, iter: 20, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29, best obj: 837.06(6), mean: 837.06, max: 837.06
Date: 11-01 at 01:50:42, #particle: 15, iter: 21, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29, best obj: 837.06(6), mean: 837.06, max: 837.06
