Date: 02-05 at 09:16:04, #particle: 15, iter: 1, fix: false, local: true, cut car: false, new generate: true, Khoo: 797.99, best obj: 1044.93(4), mean: 2495.65, max: 3241.13
Date: 02-05 at 09:17:04, #particle: 15, iter: 2, fix: false, local: true, cut car: false, new generate: true, Khoo: 797.99, best obj: 987.93(4), mean: 2172.18, max: 2910.52
Date: 02-05 at 09:18:01, #particle: 15, iter: 3, fix: false, local: true, cut car: false, new generate: true, Khoo: 797.99, best obj: 973.12(4), mean: 1378.86, max: 2411.23
Date: 02-05 at 09:18:58, #particle: 15, iter: 4, fix: false, local: true, cut car: false, new generate: true, Khoo: 797.99, best obj: 973.12(4), mean: 1301.13, max: 2434.44
Date: 02-05 at 09:19:57, #particle: 15, iter: 5, fix: false, local: true, cut car: false, new generate: true, Khoo: 797.99, best obj: 954.53(7), mean: 1103.47, max: 1918.43
Date: 02-05 at 09:20:51, #particle: 15, iter: 6, fix: false, local: true, cut car: false, new generate: true, Khoo: 797.99, best obj: 901.03(6), mean: 1127.50, max: 1917.54
Date: 02-05 at 09:21:52, #particle: 15, iter: 7, fix: false, local: true, cut car: false, new generate: true, Khoo: 797.99, best obj: 900.19(6), mean: 1164.70, max: 2003.59
Date: 02-05 at 09:23:03, #particle: 15, iter: 8, fix: false, local: true, cut car: false, new generate: true, Khoo: 797.99, best obj: 900.19(6), mean: 1041.61, max: 1238.49
Date: 02-05 at 09:24:25, #particle: 15, iter: 9, fix: false, local: true, cut car: false, new generate: true, Khoo: 797.99, best obj: 888.59(6), mean: 965.56, max: 1019.13
Date: 02-05 at 09:25:31, #particle: 15, iter: 10, fix: false, local: true, cut car: false, new generate: true, Khoo: 797.99, best obj: 888.32(6), mean: 968.78, max: 1026.49
Date: 02-05 at 09:26:33, #particle: 15, iter: 11, fix: false, local: true, cut car: false, new generate: true, Khoo: 797.99, best obj: 888.32(6), mean: 1016.00, max: 1096.60
Date: 02-05 at 09:27:49, #particle: 15, iter: 12, fix: false, local: true, cut car: false, new generate: true, Khoo: 797.99, best obj: 888.32(6), mean: 979.69, max: 1059.97
Date: 02-05 at 09:28:51, #particle: 15, iter: 13, fix: false, local: true, cut car: false, new generate: true, Khoo: 797.99, best obj: 888.32(6), mean: 931.48, max: 1000.70
Date: 02-05 at 09:29:50, #particle: 15, iter: 14, fix: false, local: true, cut car: false, new generate: true, Khoo: 797.99, best obj: 888.32(6), mean: 980.39, max: 1043.61
Date: 02-05 at 09:30:59, #particle: 15, iter: 16, fix: false, local: true, cut car: false, new generate: true, Khoo: 797.99, best obj: 888.32(6), mean: 2195.05, max: 2747.53
Date: 02-05 at 09:31:53, #particle: 15, iter: 17, fix: false, local: true, cut car: false, new generate: true, Khoo: 797.99, best obj: 888.32(6), mean: 1188.26, max: 2279.94
Date: 02-05 at 09:32:48, #particle: 15, iter: 18, fix: false, local: true, cut car: false, new generate: true, Khoo: 797.99, best obj: 888.32(6), mean: 982.74, max: 1041.04
Date: 02-05 at 09:33:55, #particle: 15, iter: 19, fix: false, local: true, cut car: false, new generate: true, Khoo: 797.99, best obj: 888.32(6), mean: 1012.89, max: 1089.54
Date: 02-05 at 09:35:13, #particle: 15, iter: 21, fix: false, local: true, cut car: false, new generate: true, Khoo: 797.99, best obj: 888.32(6), mean: 2264.73, max: 2951.77
Date: 02-05 at 09:36:23, #particle: 15, iter: 22, fix: false, local: true, cut car: false, new generate: true, Khoo: 797.99, best obj: 888.32(6), mean: 1097.75, max: 1209.22
