Date: 12-27 at 22:41:43, #particle: 15, iter: 1, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 1094.55(4), mean: 2510.36, max: 3269.20
Date: 12-27 at 22:42:15, #particle: 15, iter: 2, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 1030.59(4), mean: 1791.96, max: 2518.98
Date: 12-27 at 22:42:45, #particle: 15, iter: 3, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 947.11(4), mean: 1360.52, max: 2010.35
Date: 12-27 at 22:43:24, #particle: 15, iter: 4, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 900.92(4), mean: 1248.94, max: 1746.59
Date: 12-27 at 22:43:59, #particle: 15, iter: 5, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 900.92(4), mean: 1225.38, max: 1776.58
Date: 12-27 at 22:44:41, #particle: 15, iter: 6, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 900.92(4), mean: 1191.86, max: 1794.63
Date: 12-27 at 22:45:12, #particle: 15, iter: 7, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 900.92(4), mean: 950.67, max: 1037.89
Date: 12-27 at 22:45:44, #particle: 15, iter: 8, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 892.94(4), mean: 926.20, max: 961.89
Date: 12-27 at 22:46:17, #particle: 15, iter: 9, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 892.94(4), mean: 960.45, max: 1060.06
Date: 12-27 at 22:46:39, #particle: 15, iter: 10, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 890.66(4), mean: 892.03, max: 904.82
Date: 12-27 at 22:47:01, #particle: 15, iter: 11, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 890.66(4), mean: 890.73, max: 891.16
Date: 12-27 at 22:47:23, #particle: 15, iter: 12, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 890.66(4), mean: 890.66, max: 890.66
Date: 12-27 at 22:47:46, #particle: 15, iter: 13, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 890.66(4), mean: 890.66, max: 890.66
Date: 12-27 at 22:48:10, #particle: 15, iter: 14, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 890.66(4), mean: 890.66, max: 890.66
Date: 12-27 at 22:48:41, #particle: 15, iter: 16, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 890.66(4), mean: 1117.06, max: 1368.53
Date: 12-27 at 22:49:08, #particle: 15, iter: 17, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 890.66(4), mean: 989.41, max: 1286.27
Date: 12-27 at 22:49:36, #particle: 15, iter: 18, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 888.69(4), mean: 905.26, max: 1001.20
Date: 12-27 at 22:50:05, #particle: 15, iter: 19, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 888.69(4), mean: 920.22, max: 1066.66
Date: 12-27 at 22:50:36, #particle: 15, iter: 20, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 888.69(4), mean: 894.11, max: 949.49
Date: 12-27 at 22:51:01, #particle: 15, iter: 21, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 888.69(4), mean: 893.49, max: 939.04
Date: 12-27 at 22:51:29, #particle: 15, iter: 22, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 888.69(4), mean: 892.19, max: 941.22
Date: 12-27 at 22:52:11, #particle: 15, iter: 24, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 888.69(4), mean: 1042.63, max: 1309.71
Date: 12-27 at 22:52:40, #particle: 15, iter: 25, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 888.69(4), mean: 970.07, max: 1261.58
Date: 12-27 at 22:53:10, #particle: 15, iter: 26, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 888.69(4), mean: 905.35, max: 1007.05
Date: 12-27 at 22:53:41, #particle: 15, iter: 27, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 888.69(4), mean: 925.13, max: 1073.50
Date: 12-27 at 22:54:20, #particle: 15, iter: 29, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 888.69(4), mean: 1099.65, max: 1661.89
Date: 12-27 at 22:54:44, #particle: 15, iter: 30, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 888.69(4), mean: 962.19, max: 1223.44
