Date: 12-28 at 02:11:14, #particle: 15, iter: 1, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 1081.06(4), mean: 2489.24, max: 3347.63
Date: 12-28 at 02:11:51, #particle: 15, iter: 2, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 1004.40(4), mean: 2282.70, max: 2981.35
Date: 12-28 at 02:12:25, #particle: 15, iter: 3, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 958.24(4), mean: 2241.69, max: 2885.48
Date: 12-28 at 02:13:07, #particle: 15, iter: 4, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 945.87(4), mean: 1077.88, max: 1144.16
Date: 12-28 at 02:13:36, #particle: 15, iter: 5, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 942.26(4), mean: 1135.51, max: 1279.56
Date: 12-28 at 02:14:13, #particle: 15, iter: 6, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 942.26(4), mean: 1163.88, max: 1337.84
Date: 12-28 at 02:14:37, #particle: 15, iter: 7, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 929.77(4), mean: 950.91, max: 1112.46
Date: 12-28 at 02:15:11, #particle: 15, iter: 8, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 924.35(4), mean: 946.31, max: 993.85
Date: 12-28 at 02:15:36, #particle: 15, iter: 9, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 923.64(4), mean: 939.20, max: 984.93
Date: 12-28 at 02:16:01, #particle: 15, iter: 10, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 923.64(4), mean: 930.24, max: 963.00
Date: 12-28 at 02:16:27, #particle: 15, iter: 11, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 923.64(4), mean: 955.82, max: 1036.60
Date: 12-28 at 02:17:01, #particle: 15, iter: 12, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 923.64(4), mean: 927.76, max: 957.53
Date: 12-28 at 02:17:25, #particle: 15, iter: 13, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 919.39(5), mean: 925.02, max: 947.73
Date: 12-28 at 02:18:14, #particle: 15, iter: 14, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 919.39(5), mean: 925.32, max: 948.04
Date: 12-28 at 02:18:47, #particle: 15, iter: 15, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 919.39(5), mean: 956.93, max: 981.92
Date: 12-28 at 02:19:14, #particle: 15, iter: 16, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 919.39(5), mean: 919.39, max: 919.39
Date: 12-28 at 02:20:02, #particle: 15, iter: 17, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 919.39(5), mean: 919.39, max: 919.39
