Date: 01-22 at 17:17:44, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 1456.24(11), mean: 3212.77, max: 3657.09
Date: 01-22 at 17:18:31, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 1390.66(11), mean: 3158.93, max: 3630.50
Date: 01-22 at 17:19:17, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 1260.00(11), mean: 2703.20, max: 3368.04
Date: 01-22 at 17:19:59, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 1178.30(11), mean: 2697.18, max: 3352.67
Date: 01-22 at 17:20:44, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 1148.73(11), mean: 2556.91, max: 3179.30
Date: 01-22 at 17:21:29, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 1099.96(14), mean: 2191.06, max: 2820.78
Date: 01-22 at 17:22:17, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 1048.43(13), mean: 1956.25, max: 2761.16
Date: 01-22 at 17:23:05, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 937.86(12), mean: 1895.57, max: 2686.25
Date: 01-22 at 17:23:59, #particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 916.12(12), mean: 1181.24, max: 2165.62
Date: 01-22 at 17:24:41, #particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 916.12(12), mean: 1121.20, max: 1450.40
Date: 01-22 at 17:25:32, #particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 916.12(12), mean: 1004.43, max: 1114.68
Date: 01-22 at 17:26:20, #particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 916.12(12), mean: 1003.91, max: 1110.59
Date: 01-22 at 17:27:14, #particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 916.12(12), mean: 993.95, max: 1083.97
Date: 01-22 at 17:28:04, #particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 916.12(12), mean: 1126.45, max: 1581.00
Date: 01-22 at 17:28:53, #particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 884.21(11), mean: 1105.76, max: 1614.30
Date: 01-22 at 17:29:35, #particle: 15, iter: 17, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 883.04(11), mean: 1058.26, max: 1527.46
Date: 01-22 at 17:30:24, #particle: 15, iter: 18, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 883.04(11), mean: 956.76, max: 1091.04
Date: 01-22 at 17:31:09, #particle: 15, iter: 19, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 883.04(11), mean: 924.69, max: 995.38
Date: 01-22 at 17:32:00, #particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 883.04(11), mean: 927.51, max: 1016.10
Date: 01-22 at 17:32:41, #particle: 15, iter: 21, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 883.04(11), mean: 960.08, max: 1077.02
Date: 01-22 at 17:33:31, #particle: 15, iter: 23, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 883.04(11), mean: 1082.33, max: 1367.05
Date: 01-22 at 17:34:25, #particle: 15, iter: 24, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 883.04(11), mean: 1002.98, max: 1222.30
Date: 01-22 at 17:35:08, #particle: 15, iter: 25, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 883.04(11), mean: 961.06, max: 1101.08
Date: 01-22 at 17:35:55, #particle: 15, iter: 26, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 883.04(11), mean: 923.96, max: 982.25
Date: 01-22 at 17:36:45, #particle: 15, iter: 28, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 883.04(11), mean: 1058.11, max: 1342.39
Date: 01-22 at 17:37:33, #particle: 15, iter: 29, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 883.04(11), mean: 993.44, max: 1197.11
