Date: 07-11 at 20:17:27, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 1153.77(10) mean: 3507.54, max: 4440.13
Date: 07-11 at 20:18:23, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 955.81(9) mean: 2738.59, max: 3952.26
Date: 07-11 at 20:19:21, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 908.44(9) mean: 2335.81, max: 3392.98
Date: 07-11 at 20:20:13, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 869.49(8) mean: 1015.91, max: 1147.19
Date: 07-11 at 20:21:08, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 856.54(7) mean: 1011.62, max: 1137.81
Date: 07-11 at 20:21:55, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 806.76(6) mean: 918.34, max: 1029.39
Date: 07-11 at 20:22:50, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 793.90(6) mean: 945.40, max: 1055.02
Date: 07-11 at 20:23:41, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 766.09(6) mean: 920.07, max: 1076.58
Date: 07-11 at 20:24:33, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 759.69(6) mean: 837.08, max: 943.69
Date: 07-11 at 20:25:24, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 759.69(6) mean: 846.42, max: 951.25
Date: 07-11 at 20:26:14, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 743.30(5) mean: 812.67, max: 892.96
Date: 07-11 at 20:27:05, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 730.70(5) mean: 783.79, max: 882.05
Date: 07-11 at 20:27:54, iter: 13, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 695.51(4) mean: 728.43, max: 764.83
Date: 07-11 at 20:28:44, iter: 14, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 695.51(4) mean: 719.02, max: 766.26
Date: 07-11 at 20:29:32, iter: 15, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 677.05(5) mean: 706.66, max: 764.04
Date: 07-11 at 20:30:20, iter: 16, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 677.05(5) mean: 700.62, max: 760.70
Date: 07-11 at 20:31:07, iter: 17, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 677.05(5) mean: 739.00, max: 802.60
Date: 07-11 at 20:32:00, iter: 18, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 677.05(5) mean: 733.58, max: 796.22
Date: 07-11 at 20:32:48, iter: 19, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 677.05(5) mean: 730.42, max: 796.21
Date: 07-11 at 20:33:40, iter: 21, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 677.05(5) mean: 972.71, max: 1579.10
Date: 07-11 at 20:34:30, iter: 22, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 674.45(5) mean: 844.40, max: 1237.56
Date: 07-11 at 20:35:18, iter: 23, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 664.18(5) mean: 711.61, max: 872.76
Date: 07-11 at 20:36:03, iter: 24, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 629.69(4) mean: 670.90, max: 695.00
Date: 07-11 at 20:36:50, iter: 25, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 629.69(4) mean: 629.72, max: 629.74
Date: 07-11 at 20:37:38, iter: 26, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 629.69(4) mean: 650.77, max: 661.32
Date: 07-11 at 20:38:33, iter: 27, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 629.69(4) mean: 629.69, max: 629.69
Date: 07-11 at 20:39:16, iter: 28, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 629.69(4) mean: 629.69, max: 629.69
Date: 07-11 at 20:40:15, iter: 30, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 629.69(4) mean: 630.66, max: 639.02
Date: 07-11 at 20:41:01, iter: 31, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 629.69(4) mean: 629.69, max: 629.69
Date: 07-11 at 20:41:56, iter: 32, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 629.69(4) mean: 629.69, max: 629.69
Date: 07-11 at 20:42:44, iter: 33, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 629.69(4) mean: 629.69, max: 629.69
