Date: 12-21 at 12:10:25, #particle: 15, iter: 1, fix: false, local: true, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1875.30(19), mean: 2940.15, max: 3393.63
Date: 12-21 at 12:11:25, #particle: 15, iter: 2, fix: false, local: true, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1783.79(19), mean: 2873.41, max: 3465.68
Date: 12-21 at 12:12:24, #particle: 15, iter: 3, fix: false, local: true, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1752.86(18), mean: 2641.50, max: 3482.63
Date: 12-21 at 12:13:20, #particle: 15, iter: 4, fix: false, local: true, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1701.08(18), mean: 2639.62, max: 3423.35
Date: 12-21 at 12:14:23, #particle: 15, iter: 5, fix: false, local: true, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1698.69(18), mean: 2554.73, max: 3372.56
Date: 12-21 at 12:15:27, #particle: 15, iter: 6, fix: false, local: true, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1696.65(18), mean: 2349.92, max: 3410.40
Date: 12-21 at 12:16:29, #particle: 15, iter: 7, fix: false, local: true, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1679.36(18), mean: 2192.13, max: 3470.06
Date: 12-21 at 12:17:31, #particle: 15, iter: 8, fix: false, local: true, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1665.95(18), mean: 2009.64, max: 3353.43
Date: 12-21 at 12:18:33, #particle: 15, iter: 9, fix: false, local: true, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1665.95(18), mean: 1900.17, max: 2924.56
Date: 12-21 at 12:19:35, #particle: 15, iter: 10, fix: false, local: true, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1665.95(18), mean: 1865.34, max: 2910.99
Date: 12-21 at 12:20:35, #particle: 15, iter: 11, fix: false, local: true, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1665.95(18), mean: 1894.79, max: 2952.50
Date: 12-21 at 12:21:38, #particle: 15, iter: 12, fix: false, local: true, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1665.95(18), mean: 1903.45, max: 2986.92
Date: 12-21 at 12:22:37, #particle: 15, iter: 13, fix: false, local: true, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1654.90(18), mean: 1806.60, max: 2155.89
Date: 12-21 at 12:23:35, #particle: 15, iter: 14, fix: false, local: true, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1634.99(18), mean: 1851.15, max: 2208.82
Date: 12-21 at 12:24:41, #particle: 15, iter: 15, fix: false, local: true, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1622.87(18), mean: 1713.07, max: 1774.37
Date: 12-21 at 12:25:42, #particle: 15, iter: 16, fix: false, local: true, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1621.57(18), mean: 1737.55, max: 1812.01
Date: 12-21 at 12:26:41, #particle: 15, iter: 17, fix: false, local: true, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1621.57(18), mean: 1719.85, max: 1850.57
Date: 12-21 at 12:27:43, #particle: 15, iter: 18, fix: false, local: true, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1621.57(18), mean: 1703.11, max: 1862.49
Date: 12-21 at 12:28:42, #particle: 15, iter: 19, fix: false, local: true, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1621.57(18), mean: 1701.28, max: 1791.11
Date: 12-21 at 12:29:39, #particle: 15, iter: 20, fix: false, local: true, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1621.57(18), mean: 1771.33, max: 1889.26
Date: 12-21 at 12:30:50, #particle: 15, iter: 21, fix: false, local: true, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1621.57(18), mean: 1680.03, max: 1746.54
Date: 12-21 at 12:31:59, #particle: 15, iter: 22, fix: false, local: true, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1621.57(18), mean: 1666.89, max: 1723.83
Date: 12-21 at 12:32:58, #particle: 15, iter: 23, fix: false, local: true, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1621.57(18), mean: 1666.84, max: 1723.83
Date: 12-21 at 12:34:03, #particle: 15, iter: 24, fix: false, local: true, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1621.57(18), mean: 1666.84, max: 1723.83
Date: 12-21 at 12:34:56, #particle: 15, iter: 25, fix: false, local: true, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1621.57(18), mean: 1697.38, max: 1749.29
Date: 12-21 at 12:35:59, #particle: 15, iter: 26, fix: false, local: true, cut car: false, new generate: false, Khoo: 1518.58, best obj: 1618.27(18), mean: 1654.07, max: 1746.24
