Date: 08-02 at 01:57:45, #particle: 15, iter: 43, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8681.75, max: 9360.72
Date: 08-02 at 02:02:46, #particle: 15, iter: 44, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8630.87, max: 9278.24
Date: 08-02 at 02:07:58, #particle: 15, iter: 45, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8635.99, max: 9305.46
Date: 08-02 at 02:13:17, #particle: 15, iter: 47, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8665.89, max: 9364.87
Date: 08-02 at 02:18:36, #particle: 15, iter: 48, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8533.50, max: 9455.34
Date: 08-02 at 02:23:58, #particle: 15, iter: 49, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8341.81, max: 9361.63
Date: 08-02 at 02:29:23, #particle: 15, iter: 50, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8361.18, max: 9396.37
Date: 08-02 at 02:34:52, #particle: 15, iter: 52, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8494.42, max: 9345.84
Date: 08-02 at 02:40:09, #particle: 15, iter: 53, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8198.70, max: 9348.55
Date: 08-02 at 02:45:35, #particle: 15, iter: 55, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8804.35, max: 9446.55
Date: 08-02 at 02:50:23, #particle: 15, iter: 56, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8657.44, max: 9515.31
Date: 08-02 at 02:55:14, #particle: 15, iter: 58, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8710.38, max: 9467.32
Date: 08-02 at 03:00:01, #particle: 15, iter: 59, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8602.17, max: 9503.21
Date: 08-02 at 03:04:45, #particle: 15, iter: 60, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8645.25, max: 9612.31
Date: 08-02 at 03:09:37, #particle: 15, iter: 61, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8668.33, max: 9670.11
Date: 08-02 at 03:14:19, #particle: 15, iter: 63, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8776.00, max: 9854.94
Date: 08-02 at 03:19:01, #particle: 15, iter: 64, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8718.18, max: 9703.83
Date: 08-02 at 03:23:56, #particle: 15, iter: 65, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8730.28, max: 9716.65
Date: 08-02 at 03:28:45, #particle: 15, iter: 67, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8810.08, max: 9229.61
Date: 08-02 at 03:33:38, #particle: 15, iter: 69, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8789.57, max: 9266.02
Date: 08-02 at 03:38:11, #particle: 15, iter: 70, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8667.45, max: 9199.83
Date: 08-02 at 03:42:51, #particle: 15, iter: 71, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8556.79, max: 9167.31
Date: 08-02 at 03:47:34, #particle: 15, iter: 72, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8558.45, max: 9109.44
Date: 08-02 at 03:52:24, #particle: 15, iter: 74, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8447.69, max: 9073.61
Date: 08-02 at 03:57:05, #particle: 15, iter: 75, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8356.54, max: 8876.98
