Date: 07-15 at 04:57:15, iter: 45, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1554.56(16) mean: 1598.58, max: 1659.23
Date: 07-15 at 04:58:20, iter: 46, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1554.56(16) mean: 1614.81, max: 1713.59
Date: 07-15 at 04:59:17, iter: 47, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1554.56(16) mean: 1618.22, max: 1692.03
Date: 07-15 at 05:00:26, iter: 48, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1554.56(16) mean: 1619.39, max: 1712.00
Date: 07-15 at 05:01:27, iter: 50, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1554.56(16) mean: 1731.65, max: 2015.49
Date: 07-15 at 05:02:30, iter: 51, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.42(16) mean: 1593.82, max: 1679.98
Date: 07-15 at 05:03:32, iter: 52, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.37(15) mean: 1591.10, max: 1693.55
Date: 07-15 at 05:04:36, iter: 53, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.37(15) mean: 1591.89, max: 1711.13
Date: 07-15 at 05:05:40, iter: 54, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.37(15) mean: 1581.63, max: 1660.75
Date: 07-15 at 05:06:40, iter: 55, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.37(15) mean: 1602.02, max: 1718.50
Date: 07-15 at 05:07:42, iter: 56, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.37(15) mean: 1573.12, max: 1694.08
Date: 07-15 at 05:08:34, iter: 58, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.37(15) mean: 1699.01, max: 1933.94
Date: 07-15 at 05:09:34, iter: 59, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.37(15) mean: 1642.70, max: 1948.45
Date: 07-15 at 05:10:34, iter: 60, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.37(15) mean: 1599.94, max: 1845.22
Date: 07-15 at 05:11:35, iter: 61, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.37(15) mean: 1604.19, max: 1955.04
Date: 07-15 at 05:12:40, iter: 63, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.37(15) mean: 1626.19, max: 1993.78
Date: 07-15 at 05:13:47, iter: 64, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.37(15) mean: 1609.69, max: 1948.69
Date: 07-15 at 05:14:48, iter: 65, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.37(15) mean: 1568.53, max: 1975.21
Date: 07-15 at 05:15:47, iter: 66, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.37(15) mean: 1539.13, max: 1657.00
Date: 07-15 at 05:17:00, iter: 68, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.37(15) mean: 1585.52, max: 1876.54
Date: 07-15 at 05:18:02, iter: 69, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.37(15) mean: 1573.62, max: 1863.74
Date: 07-15 at 05:19:03, iter: 70, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.37(15) mean: 1574.37, max: 1837.53
Date: 07-15 at 05:20:06, iter: 71, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.37(15) mean: 1550.51, max: 1722.28
Date: 07-15 at 05:21:07, iter: 73, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.37(15) mean: 1618.68, max: 1874.09
Date: 07-15 at 05:22:12, iter: 74, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.37(15) mean: 1565.94, max: 1927.96
Date: 07-15 at 05:23:17, iter: 75, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.37(15) mean: 1532.95, max: 1596.87
Date: 07-15 at 05:24:22, iter: 76, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.30(15) mean: 1526.92, max: 1586.77
Date: 07-15 at 05:25:23, iter: 77, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.30(15) mean: 1525.72, max: 1586.77
Date: 07-15 at 05:26:26, iter: 78, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.30(15) mean: 1524.71, max: 1586.77
Date: 07-15 at 05:27:34, iter: 79, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.30(15) mean: 1524.85, max: 1588.85
Date: 07-15 at 05:28:35, iter: 80, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.30(15) mean: 1524.71, max: 1586.77
Date: 07-15 at 05:29:40, iter: 82, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.30(15) mean: 1547.29, max: 1652.84
Date: 07-15 at 05:30:44, iter: 83, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.30(15) mean: 1526.08, max: 1606.08
Date: 07-15 at 05:31:46, iter: 84, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.30(15) mean: 1557.33, max: 1675.90
Date: 07-15 at 05:32:46, iter: 85, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.30(15) mean: 1539.16, max: 1715.70
Date: 07-15 at 05:34:00, iter: 87, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.30(15) mean: 1552.74, max: 1711.24
Date: 07-15 at 05:34:57, iter: 88, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.30(15) mean: 1538.36, max: 1707.55
Date: 07-15 at 05:35:58, iter: 89, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.30(15) mean: 1528.76, max: 1587.19
Date: 07-15 at 05:37:10, iter: 90, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.30(15) mean: 1541.25, max: 1656.24
Date: 07-15 at 05:38:18, iter: 92, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.30(15) mean: 1561.36, max: 1853.63
Date: 07-15 at 05:39:30, iter: 93, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.30(15) mean: 1549.05, max: 1862.07
Date: 07-15 at 05:40:30, iter: 94, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.30(15) mean: 1535.36, max: 1637.85
Date: 07-15 at 05:41:33, iter: 95, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1506.52(15) mean: 1529.62, max: 1676.55
Date: 07-15 at 05:42:40, iter: 96, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1506.52(15) mean: 1521.91, max: 1631.21
Date: 07-15 at 05:43:53, iter: 97, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1506.52(15) mean: 1520.66, max: 1564.63
Date: 07-15 at 05:44:47, iter: 98, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1506.52(15) mean: 1531.66, max: 1587.87
Date: 07-15 at 05:45:47, iter: 99, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1506.52(15) mean: 1520.34, max: 1576.29
Date: 07-15 at 05:46:56, iter: 101, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1506.52(15) mean: 1576.04, max: 1821.23
Date: 07-15 at 05:47:57, iter: 102, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1506.52(15) mean: 1520.77, max: 1583.27
Date: 07-15 at 05:48:57, iter: 103, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1506.52(15) mean: 1542.37, max: 1603.90
Date: 07-15 at 05:49:59, iter: 104, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1506.52(15) mean: 1516.44, max: 1556.09
Date: 07-15 at 05:51:05, iter: 106, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1506.52(15) mean: 1550.22, max: 1825.30
Date: 07-15 at 05:52:07, iter: 107, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1506.52(15) mean: 1542.08, max: 1860.42
Date: 07-15 at 05:53:07, iter: 108, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1506.52(15) mean: 1544.80, max: 1894.87
Date: 07-15 at 05:54:14, iter: 109, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1506.52(15) mean: 1520.08, max: 1609.30
Date: 07-15 at 05:55:23, iter: 111, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1506.52(15) mean: 1518.18, max: 1592.79
Date: 07-15 at 05:56:37, iter: 112, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1506.52(15) mean: 1521.51, max: 1618.19
Date: 07-15 at 05:57:33, iter: 113, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1506.52(15) mean: 1519.28, max: 1571.67
Date: 07-15 at 05:58:29, iter: 114, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1506.52(15) mean: 1521.44, max: 1580.47
Date: 07-15 at 05:59:49, iter: 116, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1506.52(15) mean: 1549.06, max: 1778.06
