Date: 07-15 at 10:24:09, iter: 1, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1741.26(18) mean: 2699.91, max: 3058.63
Date: 07-15 at 10:25:04, iter: 2, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1699.81(18) mean: 2622.84, max: 2980.49
Date: 07-15 at 10:26:10, iter: 3, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1676.89(18) mean: 2617.37, max: 3033.54
Date: 07-15 at 10:27:16, iter: 4, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1668.61(18) mean: 2607.39, max: 3051.77
Date: 07-15 at 10:28:21, iter: 5, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1638.52(17) mean: 2344.93, max: 3001.31
Date: 07-15 at 10:29:30, iter: 6, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1638.46(17) mean: 1979.30, max: 2928.28
Date: 07-15 at 10:30:25, iter: 7, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1638.46(17) mean: 1892.59, max: 2028.64
Date: 07-15 at 10:31:36, iter: 8, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1638.46(17) mean: 1818.00, max: 1996.08
Date: 07-15 at 10:32:39, iter: 9, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1638.46(17) mean: 1802.93, max: 2023.21
Date: 07-15 at 10:33:37, iter: 10, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1638.46(17) mean: 1834.77, max: 2082.27
Date: 07-15 at 10:34:37, iter: 12, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1638.46(17) mean: 1933.76, max: 2145.26
Date: 07-15 at 10:35:39, iter: 13, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1638.46(17) mean: 1906.01, max: 2186.78
Date: 07-15 at 10:36:44, iter: 14, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1638.46(17) mean: 1749.42, max: 1996.74
Date: 07-15 at 10:37:44, iter: 15, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1597.45(17) mean: 1766.37, max: 1997.42
Date: 07-15 at 10:38:47, iter: 16, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1582.59(17) mean: 1738.36, max: 1842.35
Date: 07-15 at 10:39:45, iter: 17, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1582.59(16) mean: 1824.62, max: 1933.73
Date: 07-15 at 10:40:50, iter: 18, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1582.59(16) mean: 1701.13, max: 1778.38
Date: 07-15 at 10:41:53, iter: 19, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1582.59(16) mean: 1733.24, max: 1807.62
Date: 07-15 at 10:42:57, iter: 20, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1582.59(16) mean: 1703.08, max: 1794.01
Date: 07-15 at 10:43:59, iter: 21, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1582.59(16) mean: 1718.37, max: 1830.35
Date: 07-15 at 10:45:01, iter: 23, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1582.59(16) mean: 1847.99, max: 2268.13
Date: 07-15 at 10:46:00, iter: 24, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1582.59(16) mean: 1797.57, max: 2266.58
Date: 07-15 at 10:47:03, iter: 25, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1569.97(15) mean: 1723.33, max: 2076.00
Date: 07-15 at 10:48:08, iter: 26, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1568.85(15) mean: 1706.01, max: 1857.31
Date: 07-15 at 10:49:16, iter: 27, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1568.85(15) mean: 1690.44, max: 1807.19
Date: 07-15 at 10:50:12, iter: 28, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1568.85(15) mean: 1698.28, max: 1834.58
Date: 07-15 at 10:51:12, iter: 29, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1568.85(15) mean: 1731.03, max: 1873.84
Date: 07-15 at 10:52:16, iter: 30, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1568.85(15) mean: 1634.69, max: 1749.84
Date: 07-15 at 10:53:14, iter: 32, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1568.85(15) mean: 1797.66, max: 1976.82
Date: 07-15 at 10:54:16, iter: 33, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1568.85(15) mean: 1676.33, max: 1881.16
Date: 07-15 at 10:55:19, iter: 34, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1566.22(15) mean: 1656.56, max: 1886.46
Date: 07-15 at 10:56:19, iter: 35, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1565.27(15) mean: 1653.70, max: 1783.78
Date: 07-15 at 10:57:22, iter: 36, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1565.27(15) mean: 1627.79, max: 1791.25
Date: 07-15 at 10:58:29, iter: 37, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1565.27(15) mean: 1618.87, max: 1669.58
Date: 07-15 at 10:59:23, iter: 38, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1565.27(15) mean: 1650.37, max: 1710.12
Date: 07-15 at 11:00:27, iter: 39, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1565.27(15) mean: 1614.69, max: 1668.87
Date: 07-15 at 11:01:26, iter: 41, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1565.27(15) mean: 1690.35, max: 1884.93
Date: 07-15 at 11:02:28, iter: 42, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1563.57(15) mean: 1640.84, max: 1777.49
Date: 07-15 at 11:03:29, iter: 43, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1560.02(15) mean: 1612.28, max: 1695.04
Date: 07-15 at 11:04:37, iter: 44, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1560.02(15) mean: 1631.12, max: 1711.23
Date: 07-15 at 11:05:31, iter: 45, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1560.02(15) mean: 1627.11, max: 1699.94
Date: 07-15 at 11:06:28, iter: 46, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1560.02(15) mean: 1593.42, max: 1637.63
Date: 07-15 at 11:07:26, iter: 47, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1560.02(15) mean: 1617.39, max: 1677.98
Date: 07-15 at 11:08:30, iter: 49, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1557.21(16) mean: 1614.52, max: 1721.08
Date: 07-15 at 11:09:30, iter: 50, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1549.23(16) mean: 1648.80, max: 1789.70
Date: 07-15 at 11:10:38, iter: 51, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1549.23(16) mean: 1601.30, max: 1788.81
Date: 07-15 at 11:11:37, iter: 52, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1549.23(16) mean: 1643.03, max: 1700.87
Date: 07-15 at 11:12:42, iter: 53, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1549.23(16) mean: 1588.16, max: 1690.26
Date: 07-15 at 11:13:43, iter: 54, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1549.23(16) mean: 1622.99, max: 1735.76
Date: 07-15 at 11:14:48, iter: 56, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1549.23(16) mean: 1670.09, max: 1958.68
Date: 07-15 at 11:15:53, iter: 57, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1549.23(16) mean: 1589.40, max: 1643.90
Date: 07-15 at 11:16:46, iter: 58, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1549.23(16) mean: 1634.51, max: 1694.34
Date: 07-15 at 11:17:48, iter: 59, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1549.23(16) mean: 1644.57, max: 1746.07
Date: 07-15 at 11:18:56, iter: 61, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1549.23(16) mean: 1653.47, max: 1792.84
Date: 07-15 at 11:19:59, iter: 62, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1549.23(16) mean: 1653.27, max: 1817.81
Date: 07-15 at 11:21:10, iter: 63, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1545.88(16) mean: 1639.04, max: 1793.14
Date: 07-15 at 11:22:14, iter: 64, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1545.88(16) mean: 1632.78, max: 1791.37
Date: 07-15 at 11:23:18, iter: 65, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1545.88(16) mean: 1642.65, max: 1768.34
Date: 07-15 at 11:24:27, iter: 66, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1545.88(16) mean: 1625.54, max: 1704.49
Date: 07-15 at 11:25:30, iter: 67, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1545.88(16) mean: 1667.49, max: 1757.46
Date: 07-15 at 11:26:31, iter: 69, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1545.88(16) mean: 1698.51, max: 1978.35
Date: 07-15 at 11:27:35, iter: 70, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1545.88(16) mean: 1595.89, max: 1672.76
Date: 07-15 at 11:28:35, iter: 71, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1545.88(16) mean: 1627.78, max: 1742.74
Date: 07-15 at 11:29:48, iter: 72, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1545.88(16) mean: 1629.68, max: 1744.50
Date: 07-15 at 11:30:52, iter: 74, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1545.88(16) mean: 1666.86, max: 1832.14
Date: 07-15 at 11:31:56, iter: 75, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1545.88(16) mean: 1636.35, max: 1810.42
Date: 07-15 at 11:32:57, iter: 76, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1545.88(16) mean: 1606.49, max: 1796.16
Date: 07-15 at 11:34:00, iter: 77, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1545.88(16) mean: 1572.29, max: 1601.77
Date: 07-15 at 11:35:12, iter: 79, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1545.88(16) mean: 1683.57, max: 1888.06
Date: 07-15 at 11:36:11, iter: 80, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1530.23(15) mean: 1624.13, max: 1920.42
Date: 07-15 at 11:37:08, iter: 81, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1518.50(15) mean: 1708.37, max: 1887.85
Date: 07-15 at 11:38:12, iter: 82, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1511.22(15) mean: 1557.93, max: 1616.80
Date: 07-15 at 11:39:18, iter: 83, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.34(15) mean: 1553.22, max: 1614.48
Date: 07-15 at 11:40:13, iter: 84, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.34(15) mean: 1602.36, max: 1696.37
Date: 07-15 at 11:41:20, iter: 85, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.34(15) mean: 1550.36, max: 1620.43
Date: 07-15 at 11:42:20, iter: 86, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.34(15) mean: 1564.26, max: 1726.69
Date: 07-15 at 11:43:22, iter: 87, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1507.34(15) mean: 1553.34, max: 1613.65
Date: 07-15 at 11:44:37, iter: 89, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1506.94(15) mean: 1559.22, max: 1743.83
Date: 07-15 at 11:45:38, iter: 90, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1506.94(15) mean: 1552.50, max: 1684.54
Date: 07-15 at 11:46:42, iter: 91, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1506.94(15) mean: 1541.00, max: 1594.55
Date: 07-15 at 11:47:46, iter: 92, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1506.94(15) mean: 1536.38, max: 1589.04
Date: 07-15 at 11:48:56, iter: 94, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1506.94(15) mean: 1547.54, max: 1692.59
Date: 07-15 at 11:50:02, iter: 95, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1506.94(15) mean: 1535.73, max: 1606.93
Date: 07-15 at 11:51:06, iter: 96, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1506.94(15) mean: 1535.11, max: 1619.95
Date: 07-15 at 11:52:10, iter: 97, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1506.94(15) mean: 1543.00, max: 1623.55
Date: 07-15 at 11:53:15, iter: 99, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1506.94(15) mean: 1588.58, max: 1823.79
