Date: 03-25 at 04:08:57, particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, best obj: 1047.72(8), mean: 1500.60, max: 2052.39
Date: 03-25 at 04:08:59, particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, best obj: 895.47(8), mean: 1507.43, max: 2111.33
Date: 03-25 at 04:09:02, particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, best obj: 895.47(8), mean: 1461.92, max: 2083.26
Date: 03-25 at 04:09:05, particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, best obj: 887.23(9), mean: 1123.51, max: 1869.65
Date: 03-25 at 04:09:10, particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, best obj: 858.57(9), mean: 991.23, max: 1508.73
Date: 03-25 at 04:09:17, particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, best obj: 821.20(8), mean: 889.77, max: 967.62
Date: 03-25 at 04:09:19, particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, best obj: 799.89(8), mean: 969.81, max: 1062.99
Date: 03-25 at 04:09:23, particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, best obj: 799.89(8), mean: 950.59, max: 1057.85
Date: 03-25 at 04:09:36, particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, best obj: 789.69(8), mean: 825.54, max: 973.03
Date: 03-25 at 04:09:39, particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, best obj: 789.25(8), mean: 890.88, max: 1044.32
Date: 03-25 at 04:09:47, particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, best obj: 786.79(8), mean: 840.50, max: 930.11
Date: 03-25 at 04:09:53, particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, best obj: 786.79(8), mean: 821.00, max: 891.76
Date: 03-25 at 04:10:03, particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: true, best obj: 786.79(8), mean: 829.56, max: 936.02
Date: 03-25 at 04:10:14, particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: true, best obj: 786.79(8), mean: 820.59, max: 891.76
Date: 03-25 at 04:10:20, particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: true, best obj: 786.79(8), mean: 856.19, max: 943.61
Date: 03-25 at 04:10:33, particle: 15, iter: 18, fix: false, local: true, cut car: true, new generate: true, best obj: 786.79(8), mean: 1436.37, max: 1839.08
Date: 03-25 at 04:10:36, particle: 15, iter: 19, fix: false, local: true, cut car: true, new generate: true, best obj: 786.79(8), mean: 1328.04, max: 1682.83
Date: 03-25 at 04:10:40, particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: true, best obj: 786.79(8), mean: 1351.24, max: 1749.46
Date: 03-25 at 04:10:46, particle: 15, iter: 21, fix: false, local: true, cut car: true, new generate: true, best obj: 786.79(8), mean: 1096.78, max: 1540.86
Date: 03-25 at 04:10:55, particle: 15, iter: 24, fix: false, local: true, cut car: true, new generate: true, best obj: 786.79(8), mean: 1451.31, max: 1990.43
Date: 03-25 at 04:11:00, particle: 15, iter: 25, fix: false, local: true, cut car: true, new generate: true, best obj: 786.79(8), mean: 1205.99, max: 1789.76
