Date: 12-02 at 03:36:14, #particle: 15, iter: 1, fix: false, local: false, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1606.12(16), mean: 2614.52, max: 3245.04
Date: 12-02 at 03:37:14, #particle: 15, iter: 2, fix: false, local: false, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1563.25(16), mean: 2639.23, max: 3250.76
Date: 12-02 at 03:38:09, #particle: 15, iter: 3, fix: false, local: false, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1546.50(16), mean: 2575.42, max: 3246.95
Date: 12-02 at 03:39:17, #particle: 15, iter: 4, fix: false, local: false, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1537.96(16), mean: 1693.47, max: 1854.39
Date: 12-02 at 03:40:13, #particle: 15, iter: 5, fix: false, local: false, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1537.35(16), mean: 1702.53, max: 1830.53
Date: 12-02 at 03:41:14, #particle: 15, iter: 6, fix: false, local: false, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1537.35(16), mean: 1613.69, max: 1759.18
Date: 12-02 at 03:42:12, #particle: 15, iter: 7, fix: false, local: false, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1504.75(15), mean: 1634.98, max: 1699.48
Date: 12-02 at 03:43:03, #particle: 15, iter: 8, fix: false, local: false, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1503.23(15), mean: 1679.41, max: 1769.48
Date: 12-02 at 03:43:56, #particle: 15, iter: 9, fix: false, local: false, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1502.99(15), mean: 1748.65, max: 1856.97
Date: 12-02 at 03:44:59, #particle: 15, iter: 10, fix: false, local: false, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1502.99(15), mean: 1631.93, max: 1854.44
Date: 12-02 at 03:46:00, #particle: 15, iter: 11, fix: false, local: false, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1502.99(15), mean: 1575.83, max: 1634.46
Date: 12-02 at 03:46:58, #particle: 15, iter: 12, fix: false, local: false, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1502.99(15), mean: 1626.29, max: 1725.71
Date: 12-02 at 03:47:50, #particle: 15, iter: 13, fix: false, local: false, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1502.99(15), mean: 1660.76, max: 1782.82
Date: 12-02 at 03:48:44, #particle: 15, iter: 15, fix: false, local: false, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1502.99(15), mean: 2678.11, max: 3193.94
Date: 12-02 at 03:49:51, #particle: 15, iter: 16, fix: false, local: false, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1502.99(15), mean: 1708.63, max: 1824.08
Date: 12-02 at 03:50:42, #particle: 15, iter: 17, fix: false, local: false, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1502.99(15), mean: 1766.00, max: 1882.85
Date: 12-02 at 03:51:47, #particle: 15, iter: 18, fix: false, local: false, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1502.99(15), mean: 1623.06, max: 1694.27
Date: 12-02 at 03:52:42, #particle: 15, iter: 20, fix: false, local: false, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1502.99(15), mean: 2565.87, max: 3168.89
Date: 12-02 at 03:53:48, #particle: 15, iter: 21, fix: false, local: false, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1502.99(15), mean: 1686.53, max: 1801.70
