Problem,Num_customer,NV,Opt,Our_NV,Our_floor,Our
RC201,25,3,360.2,3,360.2,361.2
RC202,25,3,338.0,3,338.0,338.8
RC203,25,3,326.9,3,326.9,327.7
RC204,25,3,299.7,3,299.7,300.2
RC205,25,3,338.0,3,338.0,338.9
RC206,25,3,324.0,3,324.0,325.1
RC207,25,3,298.3,3,298.3,298.9
RC208,25,2,269.1,2,269.1,269.6
