Date: 06-29 at 13:12:29, iter: 43, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1680.14(21) mean: 1794.51, max: 1991.79
Date: 06-29 at 13:13:55, iter: 44, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1680.14(21) mean: 1760.34, max: 2008.00
Date: 06-29 at 13:15:25, iter: 45, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1679.05(21) mean: 1753.13, max: 2022.18
Date: 06-29 at 13:16:44, iter: 46, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1679.05(21) mean: 1755.94, max: 2042.00
Date: 06-29 at 13:18:21, iter: 47, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1679.05(21) mean: 1750.24, max: 2040.27
Date: 06-29 at 13:19:54, iter: 48, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1679.05(21) mean: 1723.37, max: 1779.21
Date: 06-29 at 13:21:11, iter: 49, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1679.05(21) mean: 1732.21, max: 1772.62
Date: 06-29 at 13:22:33, iter: 51, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1679.05(21) mean: 1791.84, max: 1912.07
Date: 06-29 at 13:23:55, iter: 52, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1679.05(21) mean: 1781.05, max: 1917.84
Date: 06-29 at 13:25:17, iter: 53, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1679.05(21) mean: 1786.78, max: 1973.01
Date: 06-29 at 13:26:43, iter: 54, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1679.05(21) mean: 1794.18, max: 1996.27
Date: 06-29 at 13:28:17, iter: 56, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1677.78(22) mean: 1806.65, max: 2024.08
Date: 06-29 at 13:29:40, iter: 57, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1677.78(22) mean: 1784.91, max: 2026.31
Date: 06-29 at 13:31:01, iter: 58, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1675.21(22) mean: 1730.25, max: 1869.92
Date: 06-29 at 13:32:30, iter: 59, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1675.21(22) mean: 1722.81, max: 1823.64
Date: 06-29 at 13:33:53, iter: 60, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1675.21(22) mean: 1717.41, max: 1779.80
Date: 06-29 at 13:35:19, iter: 61, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1675.21(22) mean: 1720.23, max: 1815.54
Date: 06-29 at 13:36:59, iter: 62, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1675.21(22) mean: 1705.47, max: 1781.52
Date: 06-29 at 13:38:33, iter: 64, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1675.21(22) mean: 1759.41, max: 1966.45
Date: 06-29 at 13:39:55, iter: 65, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1675.21(22) mean: 1763.51, max: 1969.19
Date: 06-29 at 13:41:14, iter: 66, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1675.21(22) mean: 1764.02, max: 2000.92
Date: 06-29 at 13:42:44, iter: 67, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1675.21(22) mean: 1704.30, max: 1767.14
Date: 06-29 at 13:44:07, iter: 69, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1671.72(21) mean: 1760.30, max: 1969.46
Date: 06-29 at 13:45:27, iter: 70, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1671.72(21) mean: 1792.57, max: 1990.00
Date: 06-29 at 13:46:52, iter: 71, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1671.72(21) mean: 1722.32, max: 1798.29
Date: 06-29 at 13:48:11, iter: 72, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1671.72(21) mean: 1721.93, max: 1819.44
Date: 06-29 at 13:49:41, iter: 74, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1671.72(21) mean: 1755.63, max: 1818.94
Date: 06-29 at 13:51:06, iter: 75, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1671.72(21) mean: 1767.36, max: 1854.00
Date: 06-29 at 13:52:36, iter: 76, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1671.72(21) mean: 1707.00, max: 1742.74
Date: 06-29 at 13:53:58, iter: 77, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1671.72(21) mean: 1730.41, max: 1767.90
Date: 06-29 at 13:55:29, iter: 79, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1671.72(21) mean: 1758.39, max: 1925.34
Date: 06-29 at 13:56:51, iter: 80, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1671.72(21) mean: 1732.57, max: 1863.95
Date: 06-29 at 13:58:08, iter: 81, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1660.61(21) mean: 1748.40, max: 1859.67
Date: 06-29 at 13:59:43, iter: 82, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1660.61(21) mean: 1700.83, max: 1801.83
Date: 06-29 at 14:01:13, iter: 83, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1660.61(21) mean: 1686.83, max: 1726.42
Date: 06-29 at 14:02:40, iter: 84, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1660.61(21) mean: 1687.54, max: 1745.91
Date: 06-29 at 14:04:08, iter: 85, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1660.61(21) mean: 1686.59, max: 1770.47
Date: 06-29 at 14:05:38, iter: 87, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1660.61(21) mean: 1713.89, max: 1799.23
Date: 06-29 at 14:06:56, iter: 88, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1660.61(21) mean: 1729.66, max: 1827.27
Date: 06-29 at 14:08:22, iter: 89, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1660.61(21) mean: 1730.94, max: 1828.51
Date: 06-29 at 14:09:54, iter: 90, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1660.61(21) mean: 1676.45, max: 1702.30
Date: 06-29 at 14:11:13, iter: 92, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1660.61(21) mean: 1740.53, max: 1860.55
Date: 06-29 at 14:12:35, iter: 93, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1660.61(21) mean: 1693.15, max: 1778.66
Date: 06-29 at 14:14:12, iter: 94, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1660.61(21) mean: 1683.53, max: 1738.42
Date: 06-29 at 14:15:37, iter: 95, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1658.28(21) mean: 1684.35, max: 1778.43
Date: 06-29 at 14:17:02, iter: 96, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1658.28(21) mean: 1677.91, max: 1735.06
Date: 06-29 at 14:18:18, iter: 97, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1658.28(21) mean: 1687.40, max: 1761.46
Date: 06-29 at 14:19:41, iter: 98, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1658.28(21) mean: 1682.16, max: 1731.91
Date: 06-29 at 14:21:01, iter: 99, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1658.28(21) mean: 1696.29, max: 1749.79
Date: 06-29 at 14:22:19, iter: 101, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1658.28(21) mean: 1713.80, max: 1812.32
Date: 06-29 at 14:23:43, iter: 102, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1672.51, max: 1699.09
Date: 06-29 at 14:25:06, iter: 103, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1674.18, max: 1727.89
Date: 06-29 at 14:26:17, iter: 104, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1674.42, max: 1730.38
Date: 06-29 at 14:27:38, iter: 105, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1679.19, max: 1730.76
Date: 06-29 at 14:28:59, iter: 106, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1673.31, max: 1720.10
Date: 06-29 at 14:30:24, iter: 108, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1710.89, max: 1844.52
Date: 06-29 at 14:31:42, iter: 109, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1681.93, max: 1855.10
Date: 06-29 at 14:33:03, iter: 110, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1676.70, max: 1844.26
Date: 06-29 at 14:34:32, iter: 111, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1669.90, max: 1726.27
Date: 06-29 at 14:35:56, iter: 113, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1674.79, max: 1713.07
Date: 06-29 at 14:37:15, iter: 114, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1664.13, max: 1683.84
Date: 06-29 at 14:38:34, iter: 115, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1665.41, max: 1708.77
Date: 06-29 at 14:39:59, iter: 116, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1665.09, max: 1703.96
Date: 06-29 at 14:41:29, iter: 118, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1667.11, max: 1704.72
Date: 06-29 at 14:42:43, iter: 119, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1670.87, max: 1708.25
Date: 06-29 at 14:44:03, iter: 120, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1663.77, max: 1678.27
Date: 06-29 at 14:45:26, iter: 121, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1662.40, max: 1677.56
Date: 06-29 at 14:46:59, iter: 123, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1683.70, max: 1780.15
Date: 06-29 at 14:48:18, iter: 124, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1680.80, max: 1809.07
Date: 06-29 at 14:49:34, iter: 125, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1675.41, max: 1786.57
Date: 06-29 at 14:51:00, iter: 126, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1665.09, max: 1701.05
Date: 06-29 at 14:52:22, iter: 128, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1693.00, max: 1842.98
Date: 06-29 at 14:53:34, iter: 129, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1682.13, max: 1792.24
Date: 06-29 at 14:54:54, iter: 130, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1666.04, max: 1730.82
Date: 06-29 at 14:56:15, iter: 131, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1675.96, max: 1781.78
Date: 06-29 at 14:57:37, iter: 133, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1697.28, max: 1867.09
Date: 06-29 at 14:58:52, iter: 134, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1688.38, max: 1913.15
Date: 06-29 at 15:00:15, iter: 135, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1665.94, max: 1693.44
Date: 06-29 at 15:01:34, iter: 136, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1668.48, max: 1717.14
Date: 06-29 at 15:03:03, iter: 138, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1679.66, max: 1800.97
Date: 06-29 at 15:04:16, iter: 139, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1665.50, max: 1686.56
Date: 06-29 at 15:05:39, iter: 140, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1664.45, max: 1686.56
Date: 06-29 at 15:07:04, iter: 141, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1673.04, max: 1708.76
Date: 06-29 at 15:08:32, iter: 143, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1687.11, max: 1794.44
Date: 06-29 at 15:09:52, iter: 144, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1665.06, max: 1690.96
Date: 06-29 at 15:11:08, iter: 145, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1679.89, max: 1709.08
Date: 06-29 at 15:12:32, iter: 146, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1665.85, max: 1686.15
Date: 06-29 at 15:13:58, iter: 148, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1668.55, max: 1754.97
