Date: 08-05 at 18:58:57, iter: 1, new3, Khoo: 1054.61, current_best: 1634.62 best obj: 1634.62(13) mean: 3917.03, max: 4758.48
Date: 08-05 at 19:00:32, iter: 2, new3, Khoo: 1054.61, current_best: 1488.02 best obj: 1488.02(12) mean: 3603.51, max: 4720.35
Date: 08-05 at 19:02:05, iter: 3, new3, Khoo: 1054.61, current_best: 1458.35 best obj: 1458.35(12) mean: 3429.69, max: 4638.31
Date: 08-05 at 19:03:35, iter: 4, new3, Khoo: 1054.61, current_best: 1439.11 best obj: 1439.11(12) mean: 2997.98, max: 4329.94
Date: 08-05 at 19:05:01, iter: 5, new3, Khoo: 1054.61, current_best: 1343.63 best obj: 1343.63(9) mean: 1512.95, max: 1803.97
Date: 08-05 at 19:06:21, iter: 6, new3, Khoo: 1054.61, current_best: 1233.06 best obj: 1233.06(8) mean: 1507.13, max: 1838.50
Date: 08-05 at 19:07:39, iter: 7, new3, Khoo: 1054.61, current_best: 1228.76 best obj: 1228.76(8) mean: 1577.43, max: 1834.12
Date: 08-05 at 19:08:57, iter: 8, new3, Khoo: 1054.61, current_best: 1228.76 best obj: 1228.76(8) mean: 1569.45, max: 1901.05
Date: 08-05 at 19:10:23, iter: 9, new3, Khoo: 1054.61, current_best: 1228.76 best obj: 1228.76(8) mean: 1423.74, max: 1532.65
Date: 08-05 at 19:11:49, iter: 10, new3, Khoo: 1054.61, current_best: 1228.76 best obj: 1228.76(8) mean: 1395.23, max: 1492.23
Date: 08-05 at 19:13:04, iter: 12, new3, Khoo: 1054.61, current_best: 1228.76 best obj: 1228.76(8) mean: 1577.58, max: 1792.75
Date: 08-05 at 19:14:24, iter: 13, new3, Khoo: 1054.61, current_best: 1228.76 best obj: 1228.76(8) mean: 1492.94, max: 1834.35
Date: 08-05 at 19:15:50, iter: 14, new3, Khoo: 1054.61, current_best: 1228.76 best obj: 1228.76(8) mean: 1432.83, max: 1746.22
Date: 08-05 at 19:17:07, iter: 15, new3, Khoo: 1054.61, current_best: 1228.76 best obj: 1228.76(8) mean: 1400.73, max: 1524.25
Date: 08-05 at 19:18:24, iter: 17, new3, Khoo: 1054.61, current_best: 1228.76 best obj: 1228.76(8) mean: 1597.95, max: 1792.85
Date: 08-05 at 19:20:02, iter: 19, new3, Khoo: 1054.61, current_best: 1228.76 best obj: 1228.76(9) mean: 1385.95, max: 1695.42
Date: 08-05 at 19:21:27, iter: 20, new3, Khoo: 1054.61, current_best: 1228.76 best obj: 1280.79(9) mean: 1732.83, max: 2172.91
Date: 08-05 at 19:23:00, iter: 21, new3, Khoo: 1054.61, current_best: 1228.76 best obj: 1245.41(9) mean: 1593.40, max: 1905.88
Date: 08-05 at 19:24:31, iter: 23, new3, Khoo: 1054.61, current_best: 1228.76 best obj: 1242.96(9) mean: 1813.48, max: 2308.57
Date: 08-05 at 19:26:07, iter: 24, new3, Khoo: 1054.61, current_best: 1228.76 best obj: 1242.96(9) mean: 1754.12, max: 2154.98
Date: 08-05 at 19:27:40, iter: 25, new3, Khoo: 1054.61, current_best: 1228.76 best obj: 1242.96(9) mean: 1640.00, max: 2113.44
Date: 08-05 at 19:29:06, iter: 26, new3, Khoo: 1054.61, current_best: 1228.76 best obj: 1242.96(9) mean: 1417.10, max: 1834.17
Date: 08-05 at 19:30:33, iter: 28, new3, Khoo: 1054.61, current_best: 1228.76 best obj: 1235.44(10) mean: 1503.60, max: 1808.34
Date: 08-05 at 19:32:03, iter: 29, new3, Khoo: 1054.61, current_best: 1228.76 best obj: 1235.44(10) mean: 1506.01, max: 1743.43
Date: 08-05 at 19:33:59, iter: 31, new3, Khoo: 1054.61, current_best: 1228.76 best obj: 1235.44(11) mean: 1433.03, max: 1684.69
Date: 08-05 at 19:35:31, iter: 32, new3, Khoo: 1054.61, current_best: 1228.76 best obj: 1277.26(11) mean: 1470.28, max: 1700.80
Date: 08-05 at 19:37:13, iter: 34, new3, Khoo: 1054.61, current_best: 1228.76 best obj: 1276.99(11) mean: 1624.22, max: 2056.59
Date: 08-05 at 19:38:49, iter: 35, new3, Khoo: 1054.61, current_best: 1228.76 best obj: 1276.99(11) mean: 1537.82, max: 1968.85
Date: 08-05 at 19:40:32, iter: 36, new3, Khoo: 1054.61, current_best: 1228.76 best obj: 1251.77(10) mean: 1464.08, max: 1853.12
Date: 08-05 at 19:41:43, iter: 37, new3, Khoo: 1054.61, current_best: 1228.76 best obj: 1233.23(9) mean: 1484.24, max: 1780.64
Date: 08-05 at 19:43:07, iter: 38, new3, Khoo: 1054.61, current_best: 1228.37 best obj: 1228.37(9) mean: 1421.12, max: 1761.44
