Date: 07-06 at 03:01:26, iter: 1, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1498.00(5) mean: 3209.27, max: 3889.45
Date: 07-06 at 03:02:45, iter: 2, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1342.39(7) mean: 2717.96, max: 3458.75
Date: 07-06 at 03:04:01, iter: 3, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1271.75(9) mean: 2313.85, max: 3120.14
Date: 07-06 at 03:05:21, iter: 4, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1198.81(9) mean: 2303.86, max: 3048.12
Date: 07-06 at 03:06:38, iter: 5, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1176.40(9) mean: 2016.11, max: 2679.32
Date: 07-06 at 03:07:54, iter: 6, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1173.30(9) mean: 1893.63, max: 2581.97
Date: 07-06 at 03:09:13, iter: 7, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1173.30(9) mean: 1746.87, max: 2297.60
Date: 07-06 at 03:10:28, iter: 8, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1173.30(9) mean: 1284.03, max: 1360.04
Date: 07-06 at 03:11:47, iter: 9, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1173.30(9) mean: 1283.18, max: 1382.47
Date: 07-06 at 03:13:03, iter: 10, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1120.04(9) mean: 1231.42, max: 1304.99
Date: 07-06 at 03:14:16, iter: 11, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1120.04(9) mean: 1263.77, max: 1348.86
Date: 07-06 at 03:15:35, iter: 12, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1120.04(9) mean: 1280.58, max: 1416.58
Date: 07-06 at 03:16:53, iter: 13, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1120.04(9) mean: 1204.94, max: 1319.01
Date: 07-06 at 03:18:10, iter: 14, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1120.04(9) mean: 1237.51, max: 1312.77
Date: 07-06 at 03:19:24, iter: 15, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1120.04(9) mean: 1186.74, max: 1252.21
Date: 07-06 at 03:20:37, iter: 16, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1120.04(9) mean: 1229.15, max: 1329.00
Date: 07-06 at 03:21:56, iter: 17, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1120.04(9) mean: 1186.90, max: 1344.68
