Date: 07-05 at 23:56:24, iter: 1, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1240.19(12) mean: 2847.22, max: 3565.86
Date: 07-05 at 23:57:45, iter: 2, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1165.18(11) mean: 2746.13, max: 3407.16
Date: 07-05 at 23:59:13, iter: 3, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1162.72(11) mean: 2590.31, max: 3143.80
Date: 07-06 at 00:00:41, iter: 4, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1162.72(11) mean: 2465.30, max: 3094.58
Date: 07-06 at 00:02:04, iter: 5, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1162.72(11) mean: 1890.44, max: 2502.77
Date: 07-06 at 00:03:30, iter: 6, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1162.72(11) mean: 1651.11, max: 2220.34
Date: 07-06 at 00:04:53, iter: 7, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1162.72(11) mean: 1616.03, max: 2097.93
Date: 07-06 at 00:06:18, iter: 8, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1162.72(11) mean: 1232.65, max: 1291.04
Date: 07-06 at 00:07:45, iter: 9, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1162.72(11) mean: 1243.43, max: 1322.73
Date: 07-06 at 00:09:09, iter: 10, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1162.02(10) mean: 1256.26, max: 1358.62
Date: 07-06 at 00:10:35, iter: 11, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1154.98(10) mean: 1300.89, max: 1408.66
Date: 07-06 at 00:11:59, iter: 12, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1132.38(9) mean: 1270.08, max: 1431.03
Date: 07-06 at 00:13:24, iter: 13, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1131.94(9) mean: 1213.07, max: 1280.36
Date: 07-06 at 00:14:44, iter: 14, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1131.94(9) mean: 1252.75, max: 1328.30
Date: 07-06 at 00:16:03, iter: 15, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1131.94(9) mean: 1167.72, max: 1256.38
Date: 07-06 at 00:17:28, iter: 16, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1131.94(9) mean: 1176.13, max: 1266.79
Date: 07-06 at 00:18:47, iter: 17, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1131.94(9) mean: 1160.21, max: 1231.56
Date: 07-06 at 00:20:12, iter: 18, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1131.94(9) mean: 1202.14, max: 1264.70
Date: 07-06 at 00:21:31, iter: 19, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1127.85(10) mean: 1164.84, max: 1273.94
Date: 07-06 at 00:22:50, iter: 20, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1126.25(9) mean: 1180.84, max: 1237.56
Date: 07-06 at 00:24:17, iter: 21, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1116.67(9) mean: 1161.39, max: 1260.61
Date: 07-06 at 00:25:43, iter: 22, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1098.46(9) mean: 1174.86, max: 1231.65
Date: 07-06 at 00:26:58, iter: 23, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1096.04(9) mean: 1156.40, max: 1258.22
Date: 07-06 at 00:28:23, iter: 24, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1096.04(9) mean: 1132.50, max: 1263.33
Date: 07-06 at 00:29:43, iter: 25, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1096.04(9) mean: 1132.10, max: 1168.46
Date: 07-06 at 00:31:09, iter: 26, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1094.79(9) mean: 1123.71, max: 1196.70
Date: 07-06 at 00:32:25, iter: 27, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1094.79(9) mean: 1110.09, max: 1162.75
Date: 07-06 at 00:33:43, iter: 28, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1094.79(9) mean: 1100.97, max: 1144.82
Date: 07-06 at 00:35:06, iter: 29, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1094.79(9) mean: 1102.22, max: 1174.80
Date: 07-06 at 00:36:30, iter: 30, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1084.93(9) mean: 1095.84, max: 1109.94
Date: 07-06 at 00:37:47, iter: 31, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1083.14(9) mean: 1132.19, max: 1149.15
Date: 07-06 at 00:39:09, iter: 32, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1082.70(9) mean: 1103.31, max: 1163.24
Date: 07-06 at 00:40:33, iter: 33, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1082.70(9) mean: 1097.77, max: 1110.08
Date: 07-06 at 00:41:50, iter: 34, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1082.70(9) mean: 1097.72, max: 1110.08
Date: 07-06 at 00:43:11, iter: 35, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1082.70(9) mean: 1126.73, max: 1154.94
Date: 07-06 at 00:44:27, iter: 36, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1080.59(9) mean: 1094.81, max: 1110.95
Date: 07-06 at 00:45:43, iter: 37, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1079.03(9) mean: 1097.00, max: 1125.77
Date: 07-06 at 00:47:04, iter: 38, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.68(9) mean: 1091.39, max: 1160.50
Date: 07-06 at 00:48:27, iter: 39, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1081.58, max: 1111.52
Date: 07-06 at 00:49:40, iter: 40, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1081.00, max: 1108.68
Date: 07-06 at 00:50:57, iter: 41, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1079.27, max: 1083.44
Date: 07-06 at 00:52:11, iter: 42, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1080.62, max: 1121.67
Date: 07-06 at 00:53:41, iter: 43, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1079.80, max: 1111.69
Date: 07-06 at 00:54:54, iter: 44, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 00:56:12, iter: 45, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 00:57:26, iter: 46, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 00:58:39, iter: 47, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 00:59:59, iter: 48, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:01:32, iter: 49, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:03:03, iter: 50, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:04:23, iter: 51, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:05:56, iter: 52, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:07:13, iter: 53, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:08:31, iter: 54, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:10:02, iter: 55, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:11:15, iter: 56, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:12:33, iter: 57, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:13:53, iter: 58, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:15:08, iter: 59, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:16:37, iter: 60, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:17:59, iter: 61, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:19:11, iter: 62, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:20:43, iter: 63, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:22:12, iter: 64, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:23:26, iter: 65, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:24:53, iter: 66, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:26:23, iter: 67, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:27:37, iter: 68, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:28:53, iter: 69, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:30:11, iter: 70, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:31:44, iter: 71, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:33:00, iter: 72, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:34:15, iter: 73, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:35:45, iter: 74, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:37:09, iter: 75, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:38:43, iter: 76, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:39:59, iter: 77, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:41:14, iter: 78, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:42:35, iter: 79, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:43:52, iter: 80, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:45:09, iter: 81, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:46:26, iter: 82, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:47:44, iter: 83, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:49:10, iter: 84, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:50:20, iter: 85, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:51:37, iter: 86, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:53:03, iter: 87, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:54:39, iter: 88, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:55:54, iter: 89, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:57:10, iter: 90, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:58:27, iter: 91, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 01:59:54, iter: 92, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:01:06, iter: 93, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:02:21, iter: 94, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:03:39, iter: 95, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:04:50, iter: 96, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:06:06, iter: 97, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:07:19, iter: 98, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:08:40, iter: 99, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:09:57, iter: 100, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:11:12, iter: 101, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:12:25, iter: 102, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:13:59, iter: 103, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:15:10, iter: 104, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:16:43, iter: 105, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:17:55, iter: 106, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:19:21, iter: 107, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:20:34, iter: 108, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:21:44, iter: 109, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:22:53, iter: 110, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:24:19, iter: 111, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:25:41, iter: 112, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:26:51, iter: 113, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:28:12, iter: 114, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:29:40, iter: 115, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:31:03, iter: 116, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:32:13, iter: 117, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:33:38, iter: 118, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:34:49, iter: 119, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:36:01, iter: 120, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:37:18, iter: 121, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:38:27, iter: 122, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:39:38, iter: 123, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:41:01, iter: 124, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:42:10, iter: 125, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:43:29, iter: 126, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:44:38, iter: 127, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:45:49, iter: 128, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:46:55, iter: 129, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:48:03, iter: 130, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:49:27, iter: 131, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:50:40, iter: 132, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:51:52, iter: 133, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:53:05, iter: 134, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:54:14, iter: 135, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:55:25, iter: 136, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:56:34, iter: 137, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
Date: 07-06 at 02:57:45, iter: 138, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1077.50(9) mean: 1077.50, max: 1077.50
