Date: 03-25 at 10:59:34, particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, best obj: 1073.95(10), mean: 1568.67, max: 2036.09
Date: 03-25 at 10:59:37, particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, best obj: 1019.13(10), mean: 1506.79, max: 2056.27
Date: 03-25 at 10:59:40, particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, best obj: 981.78(10), mean: 1470.46, max: 1970.29
Date: 03-25 at 10:59:45, particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, best obj: 981.78(10), mean: 1296.15, max: 1985.80
Date: 03-25 at 10:59:51, particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, best obj: 981.78(10), mean: 1123.59, max: 1294.03
Date: 03-25 at 10:59:55, particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, best obj: 981.78(10), mean: 1133.51, max: 1354.56
Date: 03-25 at 11:00:00, particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, best obj: 981.78(10), mean: 1129.36, max: 1254.70
Date: 03-25 at 11:00:11, particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, best obj: 977.30(10), mean: 1447.15, max: 1961.21
Date: 03-25 at 11:00:13, particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, best obj: 976.36(10), mean: 1483.74, max: 2005.26
Date: 03-25 at 11:00:17, particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, best obj: 976.36(10), mean: 1480.91, max: 1925.25
Date: 03-25 at 11:00:24, particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: true, best obj: 976.36(10), mean: 1221.71, max: 1396.03
Date: 03-25 at 11:00:31, particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: true, best obj: 976.36(10), mean: 1181.75, max: 1441.02
Date: 03-25 at 11:00:38, particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: true, best obj: 976.07(10), mean: 1160.16, max: 1441.23
Date: 03-25 at 11:00:41, particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: true, best obj: 976.07(10), mean: 1128.04, max: 1240.90
Date: 03-25 at 11:00:46, particle: 15, iter: 17, fix: false, local: true, cut car: true, new generate: true, best obj: 976.07(10), mean: 1160.77, max: 1281.38
Date: 03-25 at 11:00:58, particle: 15, iter: 18, fix: false, local: true, cut car: true, new generate: true, best obj: 976.07(10), mean: 1073.25, max: 1254.40
Date: 03-25 at 11:01:09, particle: 15, iter: 19, fix: false, local: true, cut car: true, new generate: true, best obj: 971.85(10), mean: 1024.99, max: 1187.12
Date: 03-25 at 11:01:12, particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: true, best obj: 971.85(10), mean: 1073.03, max: 1249.48
Date: 03-25 at 11:01:19, particle: 15, iter: 21, fix: false, local: true, cut car: true, new generate: true, best obj: 971.85(10), mean: 1040.11, max: 1302.59
Date: 03-25 at 11:01:28, particle: 15, iter: 22, fix: false, local: true, cut car: true, new generate: true, best obj: 971.85(10), mean: 1024.75, max: 1154.68
Date: 03-25 at 11:01:39, particle: 15, iter: 23, fix: false, local: true, cut car: true, new generate: true, best obj: 971.85(10), mean: 1032.31, max: 1210.83
Date: 03-25 at 11:01:43, particle: 15, iter: 26, fix: false, local: true, cut car: true, new generate: true, best obj: 971.85(10), mean: 1406.36, max: 1923.62
Date: 03-25 at 11:01:48, particle: 15, iter: 27, fix: false, local: true, cut car: true, new generate: true, best obj: 971.85(10), mean: 1409.83, max: 1793.49
Date: 03-25 at 11:01:54, particle: 15, iter: 28, fix: false, local: true, cut car: true, new generate: true, best obj: 971.85(10), mean: 1360.05, max: 1819.60
Date: 03-25 at 11:02:03, particle: 15, iter: 29, fix: false, local: true, cut car: true, new generate: true, best obj: 971.85(10), mean: 1186.45, max: 1330.43
Date: 03-25 at 11:02:08, particle: 15, iter: 32, fix: false, local: true, cut car: true, new generate: true, best obj: 971.85(10), mean: 1393.29, max: 1798.94
Date: 03-25 at 11:02:14, particle: 15, iter: 33, fix: false, local: true, cut car: true, new generate: true, best obj: 971.85(10), mean: 1313.86, max: 1799.66
