Date: 12-24 at 20:33:06, #particle: 15, iter: 1, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1157.37(13), mean: 2092.87, max: 2813.06
Date: 12-24 at 20:33:59, #particle: 15, iter: 2, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1101.61(12), mean: 2026.64, max: 2692.69
Date: 12-24 at 20:34:56, #particle: 15, iter: 3, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1089.54(12), mean: 1860.60, max: 2553.80
Date: 12-24 at 20:35:56, #particle: 15, iter: 4, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1086.98(12), mean: 1750.00, max: 2514.06
Date: 12-24 at 20:36:54, #particle: 15, iter: 5, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1082.18(12), mean: 1404.78, max: 2353.98
Date: 12-24 at 20:37:52, #particle: 15, iter: 6, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1082.18(12), mean: 1332.05, max: 2168.89
Date: 12-24 at 20:38:54, #particle: 15, iter: 7, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1082.18(12), mean: 1201.43, max: 1306.67
Date: 12-24 at 20:39:55, #particle: 15, iter: 8, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1082.18(12), mean: 1152.43, max: 1255.11
Date: 12-24 at 20:40:56, #particle: 15, iter: 9, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1082.18(12), mean: 1142.78, max: 1269.83
Date: 12-24 at 20:41:49, #particle: 15, iter: 10, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1079.78(13), mean: 1133.80, max: 1190.62
Date: 12-24 at 20:42:50, #particle: 15, iter: 11, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1068.94(13), mean: 1103.60, max: 1152.58
Date: 12-24 at 20:43:45, #particle: 15, iter: 12, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1068.94(13), mean: 1106.52, max: 1185.81
Date: 12-24 at 20:44:44, #particle: 15, iter: 13, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1068.94(13), mean: 1126.11, max: 1210.39
Date: 12-24 at 20:45:43, #particle: 15, iter: 14, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1054.70(13), mean: 1088.86, max: 1144.45
Date: 12-24 at 20:46:45, #particle: 15, iter: 15, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1047.40(13), mean: 1086.74, max: 1152.80
Date: 12-24 at 20:47:37, #particle: 15, iter: 16, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1047.40(13), mean: 1148.95, max: 1206.71
Date: 12-24 at 20:48:35, #particle: 15, iter: 17, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1047.40(13), mean: 1084.65, max: 1144.91
Date: 12-24 at 20:49:42, #particle: 15, iter: 18, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1047.40(13), mean: 1082.43, max: 1127.88
Date: 12-24 at 20:50:42, #particle: 15, iter: 19, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1047.40(13), mean: 1080.85, max: 1123.44
Date: 12-24 at 20:51:59, #particle: 15, iter: 20, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1047.40(13), mean: 1077.73, max: 1127.28
Date: 12-24 at 20:52:59, #particle: 15, iter: 21, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1047.40(13), mean: 1077.80, max: 1143.55
Date: 12-24 at 20:53:53, #particle: 15, iter: 22, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1047.40(13), mean: 1107.92, max: 1137.83
Date: 12-24 at 20:55:01, #particle: 15, iter: 23, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1046.71(13), mean: 1080.48, max: 1146.77
Date: 12-24 at 20:56:11, #particle: 15, iter: 24, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1046.71(13), mean: 1072.07, max: 1145.26
Date: 12-24 at 20:57:12, #particle: 15, iter: 25, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1046.71(13), mean: 1078.36, max: 1117.64
Date: 12-24 at 20:58:08, #particle: 15, iter: 26, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1046.71(13), mean: 1066.29, max: 1105.63
Date: 12-24 at 20:59:07, #particle: 15, iter: 27, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1046.71(13), mean: 1060.42, max: 1105.63
Date: 12-24 at 21:00:13, #particle: 15, iter: 28, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1046.71(13), mean: 1060.14, max: 1105.63
Date: 12-24 at 21:01:19, #particle: 15, iter: 29, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1046.71(13), mean: 1061.90, max: 1114.57
Date: 12-24 at 21:02:17, #particle: 15, iter: 30, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1046.71(13), mean: 1068.18, max: 1105.63
Date: 12-24 at 21:03:15, #particle: 15, iter: 31, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1046.71(13), mean: 1061.43, max: 1106.30
Date: 12-24 at 21:04:17, #particle: 15, iter: 32, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1042.31(12), mean: 1053.73, max: 1106.30
Date: 12-24 at 21:05:15, #particle: 15, iter: 33, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1040.42(12), mean: 1052.62, max: 1109.56
Date: 12-24 at 21:06:15, #particle: 15, iter: 34, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1040.42(12), mean: 1053.16, max: 1107.76
Date: 12-24 at 21:07:10, #particle: 15, iter: 35, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1040.42(12), mean: 1052.45, max: 1105.48
Date: 12-24 at 21:08:09, #particle: 15, iter: 36, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1040.42(12), mean: 1052.72, max: 1106.15
Date: 12-24 at 21:09:04, #particle: 15, iter: 37, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1040.42(12), mean: 1063.93, max: 1119.10
Date: 12-24 at 21:10:00, #particle: 15, iter: 38, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1040.42(12), mean: 1053.11, max: 1106.15
Date: 12-24 at 21:10:58, #particle: 15, iter: 39, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1040.42(12), mean: 1054.46, max: 1105.48
Date: 12-24 at 21:11:56, #particle: 15, iter: 40, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1040.42(12), mean: 1052.75, max: 1106.15
Date: 12-24 at 21:12:55, #particle: 15, iter: 41, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1040.42(12), mean: 1052.41, max: 1105.48
Date: 12-24 at 21:13:54, #particle: 15, iter: 42, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1038.41(12), mean: 1056.99, max: 1112.69
Date: 12-24 at 21:14:55, #particle: 15, iter: 43, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1038.41(12), mean: 1058.01, max: 1146.44
Date: 12-24 at 21:15:54, #particle: 15, iter: 44, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1038.41(12), mean: 1055.63, max: 1108.37
Date: 12-24 at 21:16:50, #particle: 15, iter: 45, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1038.41(12), mean: 1058.04, max: 1113.16
Date: 12-24 at 21:17:51, #particle: 15, iter: 46, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1038.41(12), mean: 1051.66, max: 1077.97
Date: 12-24 at 21:18:46, #particle: 15, iter: 47, fix: false, local: true, cut car: false, new generate: false, Khoo: 974.24, best obj: 1038.41(12), mean: 1049.48, max: 1076.90
