Date: 01-20 at 12:04:35, #particle: 15, iter: 1, fix: false, local: true, cut car: false, new generate: true, Khoo: 974.24, best obj: 1230.78(13), mean: 2335.09, max: 2880.68
Date: 01-20 at 12:05:37, #particle: 15, iter: 2, fix: false, local: true, cut car: false, new generate: true, Khoo: 974.24, best obj: 1171.03(12), mean: 2244.64, max: 2835.21
Date: 01-20 at 12:06:38, #particle: 15, iter: 3, fix: false, local: true, cut car: false, new generate: true, Khoo: 974.24, best obj: 1160.49(12), mean: 2135.52, max: 2792.95
Date: 01-20 at 12:07:42, #particle: 15, iter: 4, fix: false, local: true, cut car: false, new generate: true, Khoo: 974.24, best obj: 1160.49(12), mean: 1243.08, max: 1308.52
Date: 01-20 at 12:08:43, #particle: 15, iter: 5, fix: false, local: true, cut car: false, new generate: true, Khoo: 974.24, best obj: 1160.49(12), mean: 1300.40, max: 1368.79
Date: 01-20 at 12:09:43, #particle: 15, iter: 6, fix: false, local: true, cut car: false, new generate: true, Khoo: 974.24, best obj: 1125.73(14), mean: 1306.49, max: 1406.37
Date: 01-20 at 12:10:43, #particle: 15, iter: 7, fix: false, local: true, cut car: false, new generate: true, Khoo: 974.24, best obj: 1108.90(14), mean: 1335.23, max: 1442.52
Date: 01-20 at 12:11:45, #particle: 15, iter: 8, fix: false, local: true, cut car: false, new generate: true, Khoo: 974.24, best obj: 1101.66(14), mean: 1160.15, max: 1203.42
Date: 01-20 at 12:12:45, #particle: 15, iter: 9, fix: false, local: true, cut car: false, new generate: true, Khoo: 974.24, best obj: 1098.30(14), mean: 1206.77, max: 1258.56
Date: 01-20 at 12:13:43, #particle: 15, iter: 10, fix: false, local: true, cut car: false, new generate: true, Khoo: 974.24, best obj: 1097.96(14), mean: 1223.80, max: 1304.53
Date: 01-20 at 12:14:44, #particle: 15, iter: 11, fix: false, local: true, cut car: false, new generate: true, Khoo: 974.24, best obj: 1097.70(14), mean: 1268.86, max: 1356.89
Date: 01-20 at 12:15:43, #particle: 15, iter: 12, fix: false, local: true, cut car: false, new generate: true, Khoo: 974.24, best obj: 1097.26(14), mean: 1263.34, max: 1412.01
Date: 01-20 at 12:16:45, #particle: 15, iter: 13, fix: false, local: true, cut car: false, new generate: true, Khoo: 974.24, best obj: 1089.46(14), mean: 1189.32, max: 1420.34
Date: 01-20 at 12:17:43, #particle: 15, iter: 14, fix: false, local: true, cut car: false, new generate: true, Khoo: 974.24, best obj: 1089.38(14), mean: 1157.35, max: 1352.08
Date: 01-20 at 12:18:44, #particle: 15, iter: 15, fix: false, local: true, cut car: false, new generate: true, Khoo: 974.24, best obj: 1089.38(14), mean: 1157.90, max: 1225.70
Date: 01-20 at 12:19:40, #particle: 15, iter: 16, fix: false, local: true, cut car: false, new generate: true, Khoo: 974.24, best obj: 1089.38(14), mean: 1189.99, max: 1270.27
Date: 01-20 at 12:20:40, #particle: 15, iter: 17, fix: false, local: true, cut car: false, new generate: true, Khoo: 974.24, best obj: 1089.38(14), mean: 1159.98, max: 1258.34
Date: 01-20 at 12:21:40, #particle: 15, iter: 18, fix: false, local: true, cut car: false, new generate: true, Khoo: 974.24, best obj: 1089.38(14), mean: 1144.13, max: 1288.89
Date: 01-20 at 12:22:44, #particle: 15, iter: 20, fix: false, local: true, cut car: false, new generate: true, Khoo: 974.24, best obj: 1085.91(14), mean: 1967.60, max: 2470.73
Date: 01-20 at 12:23:47, #particle: 15, iter: 21, fix: false, local: true, cut car: false, new generate: true, Khoo: 974.24, best obj: 1085.91(14), mean: 1246.20, max: 1330.98
Date: 01-20 at 12:24:45, #particle: 15, iter: 22, fix: false, local: true, cut car: false, new generate: true, Khoo: 974.24, best obj: 1085.91(14), mean: 1294.78, max: 1363.88
Date: 01-20 at 12:25:44, #particle: 15, iter: 23, fix: false, local: true, cut car: false, new generate: true, Khoo: 974.24, best obj: 1085.91(14), mean: 1274.03, max: 1386.79
Date: 01-20 at 12:26:43, #particle: 15, iter: 25, fix: false, local: true, cut car: false, new generate: true, Khoo: 974.24, best obj: 1085.91(14), mean: 2056.55, max: 2475.17
Date: 01-20 at 12:27:44, #particle: 15, iter: 26, fix: false, local: true, cut car: false, new generate: true, Khoo: 974.24, best obj: 1085.91(14), mean: 1208.53, max: 1272.73
