Date: 02-08 at 06:24:57, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 1830.05, best obj: 3307.16(9), mean: 10613.56, max: 11694.12
Date: 02-08 at 06:36:47, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 1830.05, best obj: 3012.40(9), mean: 9543.03, max: 10705.01
Date: 02-08 at 06:48:50, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 1830.05, best obj: 2915.85(9), mean: 8939.38, max: 10011.16
Date: 02-08 at 07:01:13, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 1830.05, best obj: 2844.56(9), mean: 8936.09, max: 9948.53
Date: 02-08 at 07:13:03, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 1830.05, best obj: 2822.05(9), mean: 8762.34, max: 9841.46
Date: 02-08 at 07:24:48, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 1830.05, best obj: 2820.95(9), mean: 7507.33, max: 8480.06
Date: 02-08 at 07:37:48, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 1830.05, best obj: 2820.95(9), mean: 6673.28, max: 7796.71
Date: 02-08 at 07:51:56, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 1830.05, best obj: 2814.63(9), mean: 3095.88, max: 3344.84
Date: 02-08 at 08:04:16, #particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 1830.05, best obj: 2809.53(9), mean: 3282.09, max: 3576.33
Date: 02-08 at 08:17:50, #particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 1830.05, best obj: 2798.15(9), mean: 3116.52, max: 3464.54
Date: 02-08 at 08:31:12, #particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 1830.05, best obj: 2785.69(9), mean: 3126.19, max: 3507.31
