Date: 03-25 at 11:03:58, particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, best obj: 556.02(4), mean: 797.52, max: 1109.98
Date: 03-25 at 11:03:59, particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, best obj: 489.41(4), mean: 748.78, max: 1020.69
Date: 03-25 at 11:04:00, particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, best obj: 473.42(4), mean: 535.96, max: 818.96
Date: 03-25 at 11:04:02, particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, best obj: 409.18(4), mean: 468.90, max: 504.96
Date: 03-25 at 11:04:03, particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, best obj: 396.42(4), mean: 446.04, max: 527.09
Date: 03-25 at 11:04:04, particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, best obj: 396.42(4), mean: 503.23, max: 598.74
Date: 03-25 at 11:04:06, particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, best obj: 396.42(4), mean: 463.18, max: 569.59
Date: 03-25 at 11:04:07, particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, best obj: 396.42(4), mean: 438.87, max: 488.88
Date: 03-25 at 11:04:08, particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, best obj: 340.34(3), mean: 392.68, max: 396.42
Date: 03-25 at 11:04:10, particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, best obj: 340.34(3), mean: 392.68, max: 396.42
Date: 03-25 at 11:04:11, particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, best obj: 340.34(3), mean: 392.68, max: 396.42
Date: 03-25 at 11:04:15, particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, best obj: 340.34(3), mean: 392.68, max: 396.42
Date: 03-25 at 11:04:17, particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: true, best obj: 340.34(3), mean: 392.68, max: 396.42
Date: 03-25 at 11:04:21, particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: true, best obj: 340.34(3), mean: 1059.97, max: 1270.70
Date: 03-25 at 11:04:22, particle: 15, iter: 17, fix: false, local: true, cut car: true, new generate: true, best obj: 340.34(3), mean: 603.64, max: 1043.77
Date: 03-25 at 11:04:25, particle: 15, iter: 18, fix: false, local: true, cut car: true, new generate: true, best obj: 340.34(3), mean: 406.51, max: 639.78
Date: 03-25 at 11:04:29, particle: 15, iter: 19, fix: false, local: true, cut car: true, new generate: true, best obj: 340.34(3), mean: 340.34, max: 340.34
Date: 03-25 at 11:04:33, particle: 15, iter: 22, fix: false, local: true, cut car: true, new generate: true, best obj: 340.34(3), mean: 1048.58, max: 1318.30
Date: 03-25 at 11:04:34, particle: 15, iter: 23, fix: false, local: true, cut car: true, new generate: true, best obj: 340.34(3), mean: 679.35, max: 997.74
