Date: 07-23 at 05:25:13, #particle: 35, iter: 1, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48, best obj: 1614.22(7), mean: 3382.31, max: 3849.18
Date: 07-23 at 05:27:12, #particle: 35, iter: 2, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48, best obj: 1409.75(12), mean: 2450.96, max: 3402.32
Date: 07-23 at 05:29:06, #particle: 35, iter: 3, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48, best obj: 1354.61(12), mean: 2446.99, max: 3332.38
Date: 07-23 at 05:30:57, #particle: 35, iter: 4, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48, best obj: 1352.63(12), mean: 2479.77, max: 3366.18
Date: 07-23 at 05:33:05, #particle: 35, iter: 5, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48, best obj: 1324.08(13), mean: 1430.54, max: 1569.62
Date: 07-23 at 05:34:52, #particle: 35, iter: 6, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48, best obj: 1249.71(12), mean: 1402.86, max: 1547.15
Date: 07-23 at 05:36:43, #particle: 35, iter: 7, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48, best obj: 1248.48(13), mean: 1437.98, max: 1604.75
Date: 07-23 at 05:38:34, #particle: 35, iter: 8, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48, best obj: 1248.48(13), mean: 1446.55, max: 1649.16
Date: 07-23 at 05:40:26, #particle: 35, iter: 9, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48, best obj: 1228.07(13), mean: 1458.21, max: 1683.24
Date: 07-23 at 05:42:21, #particle: 35, iter: 10, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48, best obj: 1228.00(13), mean: 1463.92, max: 1647.98
Date: 07-23 at 05:44:25, #particle: 35, iter: 11, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48, best obj: 1228.00(13), mean: 1328.27, max: 1434.63
Date: 07-23 at 05:46:17, #particle: 35, iter: 12, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48, best obj: 1228.00(13), mean: 1358.77, max: 1463.04
Date: 07-23 at 05:48:24, #particle: 35, iter: 13, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48, best obj: 1228.00(13), mean: 1314.08, max: 1405.87
Date: 07-23 at 05:50:23, #particle: 35, iter: 14, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48, best obj: 1228.00(13), mean: 1310.90, max: 1408.03
Date: 07-23 at 05:52:27, #particle: 35, iter: 16, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48, best obj: 1228.00(13), mean: 1424.51, max: 1671.08
Date: 07-23 at 05:54:25, #particle: 35, iter: 17, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48, best obj: 1227.54(11), mean: 1318.66, max: 1583.95
Date: 07-23 at 05:56:20, #particle: 35, iter: 18, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48, best obj: 1225.92(11), mean: 1325.47, max: 1610.76
Date: 07-23 at 05:58:08, #particle: 35, iter: 19, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48, best obj: 1225.43(11), mean: 1375.96, max: 1656.25
Date: 07-23 at 06:00:01, #particle: 35, iter: 20, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48, best obj: 1225.43(11), mean: 1411.46, max: 1694.17
Date: 07-23 at 06:02:00, #particle: 35, iter: 21, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48, best obj: 1225.43(11), mean: 1389.33, max: 1630.34
Date: 07-23 at 06:04:01, #particle: 35, iter: 22, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48, best obj: 1225.43(11), mean: 1360.12, max: 1664.49
Date: 07-23 at 06:06:02, #particle: 35, iter: 23, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48, best obj: 1225.43(11), mean: 1304.84, max: 1445.35
Date: 07-23 at 06:07:59, #particle: 35, iter: 25, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48, best obj: 1225.43(11), mean: 1434.41, max: 1658.51
Date: 07-23 at 06:09:57, #particle: 35, iter: 26, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48, best obj: 1225.43(11), mean: 1338.18, max: 1559.49
Date: 07-23 at 06:11:51, #particle: 35, iter: 27, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48, best obj: 1224.27(10), mean: 1321.88, max: 1429.38
Date: 07-23 at 06:13:51, #particle: 35, iter: 28, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48, best obj: 1216.34(10), mean: 1285.85, max: 1434.58
Date: 07-23 at 06:15:54, #particle: 35, iter: 29, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48, best obj: 1216.34(10), mean: 1271.21, max: 1354.17
Date: 07-23 at 06:17:51, #particle: 35, iter: 30, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48, best obj: 1216.34(10), mean: 1297.75, max: 1380.01
Date: 07-23 at 06:19:54, #particle: 35, iter: 31, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48, best obj: 1216.34(10), mean: 1266.24, max: 1341.14
