Date: 01-01 at 07:05:09, #particle: 15, iter: 1, fix: false, local: false, cut car: true, new generate: false, Khoo: 974.24, best obj: 1228.56(14), mean: 2334.95, max: 2880.68
Date: 01-01 at 07:06:03, #particle: 15, iter: 2, fix: false, local: false, cut car: true, new generate: false, Khoo: 974.24, best obj: 1127.20(13), mean: 2262.64, max: 2857.34
Date: 01-01 at 07:06:54, #particle: 15, iter: 3, fix: false, local: false, cut car: true, new generate: false, Khoo: 974.24, best obj: 1124.35(13), mean: 2251.13, max: 2799.63
Date: 01-01 at 07:07:46, #particle: 15, iter: 4, fix: false, local: false, cut car: true, new generate: false, Khoo: 974.24, best obj: 1114.01(13), mean: 2163.81, max: 2731.06
Date: 01-01 at 07:08:45, #particle: 15, iter: 5, fix: false, local: false, cut car: true, new generate: false, Khoo: 974.24, best obj: 1113.71(13), mean: 1804.70, max: 2578.55
Date: 01-01 at 07:09:39, #particle: 15, iter: 6, fix: false, local: false, cut car: true, new generate: false, Khoo: 974.24, best obj: 1113.71(13), mean: 1611.80, max: 2413.88
Date: 01-01 at 07:10:40, #particle: 15, iter: 7, fix: false, local: false, cut car: true, new generate: false, Khoo: 974.24, best obj: 1113.71(13), mean: 1195.57, max: 1255.19
Date: 01-01 at 07:11:32, #particle: 15, iter: 8, fix: false, local: false, cut car: true, new generate: false, Khoo: 974.24, best obj: 1113.71(13), mean: 1244.78, max: 1326.22
Date: 01-01 at 07:12:26, #particle: 15, iter: 9, fix: false, local: false, cut car: true, new generate: false, Khoo: 974.24, best obj: 1113.71(13), mean: 1173.58, max: 1338.31
Date: 01-01 at 07:13:18, #particle: 15, iter: 11, fix: false, local: false, cut car: true, new generate: false, Khoo: 974.24, best obj: 1113.71(13), mean: 1267.58, max: 1490.83
Date: 01-01 at 07:14:15, #particle: 15, iter: 12, fix: false, local: false, cut car: true, new generate: false, Khoo: 974.24, best obj: 1113.71(13), mean: 1263.70, max: 1522.01
Date: 01-01 at 07:15:07, #particle: 15, iter: 13, fix: false, local: false, cut car: true, new generate: false, Khoo: 974.24, best obj: 1082.78(13), mean: 1220.00, max: 1439.40
Date: 01-01 at 07:15:58, #particle: 15, iter: 14, fix: false, local: false, cut car: true, new generate: false, Khoo: 974.24, best obj: 1073.83(13), mean: 1138.40, max: 1217.57
Date: 01-01 at 07:16:48, #particle: 15, iter: 15, fix: false, local: false, cut car: true, new generate: false, Khoo: 974.24, best obj: 1073.67(13), mean: 1172.68, max: 1255.20
Date: 01-01 at 07:17:41, #particle: 15, iter: 16, fix: false, local: false, cut car: true, new generate: false, Khoo: 974.24, best obj: 1073.67(13), mean: 1212.18, max: 1293.12
Date: 01-01 at 07:18:31, #particle: 15, iter: 17, fix: false, local: false, cut car: true, new generate: false, Khoo: 974.24, best obj: 1073.67(13), mean: 1240.21, max: 1341.14
Date: 01-01 at 07:19:20, #particle: 15, iter: 18, fix: false, local: false, cut car: true, new generate: false, Khoo: 974.24, best obj: 1073.67(13), mean: 1281.26, max: 1374.81
Date: 01-01 at 07:20:15, #particle: 15, iter: 19, fix: false, local: false, cut car: true, new generate: false, Khoo: 974.24, best obj: 1073.67(13), mean: 1173.50, max: 1342.67
Date: 01-01 at 07:21:07, #particle: 15, iter: 21, fix: false, local: false, cut car: true, new generate: false, Khoo: 974.24, best obj: 1073.67(13), mean: 1280.91, max: 1525.01
Date: 01-01 at 07:21:57, #particle: 15, iter: 22, fix: false, local: false, cut car: true, new generate: false, Khoo: 974.24, best obj: 1073.67(13), mean: 1241.53, max: 1448.57
Date: 01-01 at 07:22:56, #particle: 15, iter: 23, fix: false, local: false, cut car: true, new generate: false, Khoo: 974.24, best obj: 1073.67(13), mean: 1157.66, max: 1324.47
Date: 01-01 at 07:23:46, #particle: 15, iter: 24, fix: false, local: false, cut car: true, new generate: false, Khoo: 974.24, best obj: 1073.67(13), mean: 1194.38, max: 1375.79
Date: 01-01 at 07:24:36, #particle: 15, iter: 26, fix: false, local: false, cut car: true, new generate: false, Khoo: 974.24, best obj: 1073.67(13), mean: 1311.18, max: 1489.36
Date: 01-01 at 07:25:33, #particle: 15, iter: 27, fix: false, local: false, cut car: true, new generate: false, Khoo: 974.24, best obj: 1073.67(13), mean: 1172.41, max: 1366.90
