Date: 11-19 at 20:28:10, #particle: 15, iter: 1, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 1096.24(5), mean: 3263.27, max: 3673.69
Date: 11-19 at 20:29:28, #particle: 15, iter: 2, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 984.55(5), mean: 2604.80, max: 2989.13
Date: 11-19 at 20:30:48, #particle: 15, iter: 3, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 910.22(5), mean: 2133.81, max: 2616.35
Date: 11-19 at 20:32:08, #particle: 15, iter: 4, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 876.35(5), mean: 1682.21, max: 2140.90
Date: 11-19 at 20:33:31, #particle: 15, iter: 5, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 845.72(5), mean: 1711.04, max: 2194.29
Date: 11-19 at 20:34:50, #particle: 15, iter: 6, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 840.28(5), mean: 1099.81, max: 1626.90
Date: 11-19 at 20:36:06, #particle: 15, iter: 7, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 810.17(7), mean: 835.95, max: 903.94
Date: 11-19 at 20:37:27, #particle: 15, iter: 8, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 759.38(6), mean: 874.02, max: 949.32
Date: 11-19 at 20:38:42, #particle: 15, iter: 9, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 738.76(5), mean: 839.82, max: 905.38
Date: 11-19 at 20:40:00, #particle: 15, iter: 10, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 691.65(5), mean: 822.09, max: 863.72
Date: 11-19 at 20:41:16, #particle: 15, iter: 11, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 660.07(5), mean: 802.00, max: 854.77
Date: 11-19 at 20:42:33, #particle: 15, iter: 12, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 660.07(5), mean: 771.93, max: 824.29
Date: 11-19 at 20:43:54, #particle: 15, iter: 13, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 660.07(5), mean: 734.75, max: 770.47
Date: 11-19 at 20:45:08, #particle: 15, iter: 14, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 660.07(5), mean: 721.13, max: 774.05
Date: 11-19 at 20:46:25, #particle: 15, iter: 15, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 660.07(5), mean: 711.84, max: 758.83
Date: 11-19 at 20:47:45, #particle: 15, iter: 16, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 660.07(5), mean: 717.39, max: 773.00
Date: 11-19 at 20:48:57, #particle: 15, iter: 17, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 660.07(5), mean: 701.13, max: 746.59
Date: 11-19 at 20:50:12, #particle: 15, iter: 18, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 660.07(5), mean: 696.57, max: 718.67
Date: 11-19 at 20:51:27, #particle: 15, iter: 19, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 633.55(4), mean: 685.44, max: 718.67
Date: 11-19 at 20:52:50, #particle: 15, iter: 20, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 633.55(4), mean: 699.50, max: 771.09
Date: 11-19 at 20:54:08, #particle: 15, iter: 21, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 633.55(5), mean: 656.78, max: 730.38
Date: 11-19 at 20:55:35, #particle: 15, iter: 22, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 633.55(5), mean: 633.55, max: 633.55
Date: 11-19 at 20:57:04, #particle: 15, iter: 23, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 633.55(5), mean: 633.55, max: 633.55
Date: 11-19 at 20:58:34, #particle: 15, iter: 24, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 633.55(5), mean: 633.55, max: 633.55
Date: 11-19 at 21:00:06, #particle: 15, iter: 25, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 633.55(5), mean: 633.55, max: 633.55
Date: 11-19 at 21:01:36, #particle: 15, iter: 26, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 633.55(5), mean: 633.55, max: 633.55
Date: 11-19 at 21:03:07, #particle: 15, iter: 27, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 633.55(5), mean: 633.55, max: 633.55
Date: 11-19 at 21:04:38, #particle: 15, iter: 28, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 633.55(5), mean: 633.55, max: 633.55
Date: 11-19 at 21:06:09, #particle: 15, iter: 29, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 633.55(5), mean: 633.55, max: 633.55
