Date: 08-13 at 23:25:39, #particle: 30, iter: 1, fix: false, local: false, cut car: true, new generate: true, Khoo: 926.82, best obj: 1588.28(4), mean: 2987.87, max: 4102.44
Date: 08-13 at 23:26:55, #particle: 30, iter: 2, fix: false, local: false, cut car: true, new generate: true, Khoo: 926.82, best obj: 1492.16(10), mean: 2653.35, max: 3730.89
Date: 08-13 at 23:28:36, #particle: 30, iter: 3, fix: false, local: false, cut car: true, new generate: true, Khoo: 926.82, best obj: 1241.82(9), mean: 2380.43, max: 3442.14
Date: 08-13 at 23:29:56, #particle: 30, iter: 4, fix: false, local: false, cut car: true, new generate: true, Khoo: 926.82, best obj: 1199.92(8), mean: 2299.66, max: 3392.56
Date: 08-13 at 23:31:26, #particle: 30, iter: 5, fix: false, local: false, cut car: true, new generate: true, Khoo: 926.82, best obj: 1197.08(8), mean: 2029.06, max: 3246.72
Date: 08-13 at 23:32:58, #particle: 30, iter: 6, fix: false, local: false, cut car: true, new generate: true, Khoo: 926.82, best obj: 1197.08(8), mean: 2057.49, max: 3272.90
Date: 08-13 at 23:34:41, #particle: 30, iter: 7, fix: false, local: false, cut car: true, new generate: true, Khoo: 926.82, best obj: 1197.08(8), mean: 1895.91, max: 2941.91
Date: 08-13 at 23:36:06, #particle: 30, iter: 8, fix: false, local: false, cut car: true, new generate: true, Khoo: 926.82, best obj: 1181.17(8), mean: 1509.86, max: 2082.61
Date: 08-13 at 23:37:36, #particle: 30, iter: 9, fix: false, local: false, cut car: true, new generate: true, Khoo: 926.82, best obj: 1165.78(8), mean: 1563.37, max: 2119.49
Date: 08-13 at 23:38:58, #particle: 30, iter: 10, fix: false, local: false, cut car: true, new generate: true, Khoo: 926.82, best obj: 1163.55(8), mean: 1278.72, max: 1486.74
Date: 08-13 at 23:40:24, #particle: 30, iter: 11, fix: false, local: false, cut car: true, new generate: true, Khoo: 926.82, best obj: 1158.26(8), mean: 1314.82, max: 1458.79
Date: 08-13 at 23:42:02, #particle: 30, iter: 12, fix: false, local: false, cut car: true, new generate: true, Khoo: 926.82, best obj: 1158.26(8), mean: 1311.63, max: 1476.68
Date: 08-13 at 23:43:54, #particle: 30, iter: 13, fix: false, local: false, cut car: true, new generate: true, Khoo: 926.82, best obj: 1156.75(8), mean: 1196.70, max: 1344.65
Date: 08-13 at 23:45:38, #particle: 30, iter: 14, fix: false, local: false, cut car: true, new generate: true, Khoo: 926.82, best obj: 1136.21(7), mean: 1177.49, max: 1228.95
Date: 08-13 at 23:47:17, #particle: 30, iter: 15, fix: false, local: false, cut car: true, new generate: true, Khoo: 926.82, best obj: 1132.51(7), mean: 1208.39, max: 1265.74
