Date: 12-23 at 17:18:27, #particle: 15, iter: 1, fix: false, local: true, cut car: false, new generate: false, Khoo: 786.38, best obj: 1284.76(5), mean: 4100.33, max: 4884.12
Date: 12-23 at 17:19:02, #particle: 15, iter: 2, fix: false, local: true, cut car: false, new generate: false, Khoo: 786.38, best obj: 1035.16(5), mean: 2255.72, max: 3811.92
Date: 12-23 at 17:19:36, #particle: 15, iter: 3, fix: false, local: true, cut car: false, new generate: false, Khoo: 786.38, best obj: 1023.35(5), mean: 1786.06, max: 3244.07
Date: 12-23 at 17:20:13, #particle: 15, iter: 4, fix: false, local: true, cut car: false, new generate: false, Khoo: 786.38, best obj: 1008.94(5), mean: 1524.12, max: 3099.05
Date: 12-23 at 17:20:37, #particle: 15, iter: 5, fix: false, local: true, cut car: false, new generate: false, Khoo: 786.38, best obj: 968.60(5), mean: 1063.90, max: 1191.45
Date: 12-23 at 17:21:20, #particle: 15, iter: 6, fix: false, local: true, cut car: false, new generate: false, Khoo: 786.38, best obj: 935.36(5), mean: 1054.49, max: 1222.76
Date: 12-23 at 17:21:58, #particle: 15, iter: 7, fix: false, local: true, cut car: false, new generate: false, Khoo: 786.38, best obj: 932.18(6), mean: 1026.83, max: 1128.31
Date: 12-23 at 17:22:27, #particle: 15, iter: 8, fix: false, local: true, cut car: false, new generate: false, Khoo: 786.38, best obj: 903.81(5), mean: 1006.74, max: 1110.72
Date: 12-23 at 17:22:55, #particle: 15, iter: 9, fix: false, local: true, cut car: false, new generate: false, Khoo: 786.38, best obj: 899.35(5), mean: 976.49, max: 1076.06
Date: 12-23 at 17:23:34, #particle: 15, iter: 10, fix: false, local: true, cut car: false, new generate: false, Khoo: 786.38, best obj: 899.35(5), mean: 983.46, max: 1086.36
Date: 12-23 at 17:24:02, #particle: 15, iter: 11, fix: false, local: true, cut car: false, new generate: false, Khoo: 786.38, best obj: 882.00(5), mean: 942.09, max: 1041.41
Date: 12-23 at 17:24:33, #particle: 15, iter: 12, fix: false, local: true, cut car: false, new generate: false, Khoo: 786.38, best obj: 880.99(5), mean: 902.09, max: 950.08
Date: 12-23 at 17:25:00, #particle: 15, iter: 13, fix: false, local: true, cut car: false, new generate: false, Khoo: 786.38, best obj: 880.02(5), mean: 911.13, max: 952.54
Date: 12-23 at 17:25:34, #particle: 15, iter: 14, fix: false, local: true, cut car: false, new generate: false, Khoo: 786.38, best obj: 879.29(5), mean: 899.25, max: 959.32
Date: 12-23 at 17:26:07, #particle: 15, iter: 15, fix: false, local: true, cut car: false, new generate: false, Khoo: 786.38, best obj: 879.29(5), mean: 890.60, max: 922.99
Date: 12-23 at 17:26:36, #particle: 15, iter: 16, fix: false, local: true, cut car: false, new generate: false, Khoo: 786.38, best obj: 879.29(5), mean: 890.14, max: 910.06
Date: 12-23 at 17:27:05, #particle: 15, iter: 17, fix: false, local: true, cut car: false, new generate: false, Khoo: 786.38, best obj: 879.29(5), mean: 896.41, max: 978.12
Date: 12-23 at 17:27:46, #particle: 15, iter: 18, fix: false, local: true, cut car: false, new generate: false, Khoo: 786.38, best obj: 879.29(5), mean: 890.25, max: 945.70
Date: 12-23 at 17:28:19, #particle: 15, iter: 19, fix: false, local: true, cut car: false, new generate: false, Khoo: 786.38, best obj: 879.29(5), mean: 886.33, max: 909.55
Date: 12-23 at 17:29:05, #particle: 15, iter: 20, fix: false, local: true, cut car: false, new generate: false, Khoo: 786.38, best obj: 879.29(5), mean: 901.14, max: 909.06
Date: 12-23 at 17:29:56, #particle: 15, iter: 21, fix: false, local: true, cut car: false, new generate: false, Khoo: 786.38, best obj: 879.29(5), mean: 900.51, max: 903.01
Date: 12-23 at 17:30:45, #particle: 15, iter: 22, fix: false, local: true, cut car: false, new generate: false, Khoo: 786.38, best obj: 879.29(5), mean: 900.50, max: 902.92
Date: 12-23 at 17:31:14, #particle: 15, iter: 23, fix: false, local: true, cut car: false, new generate: false, Khoo: 786.38, best obj: 879.29(5), mean: 898.09, max: 900.33
Date: 12-23 at 17:31:51, #particle: 15, iter: 24, fix: false, local: true, cut car: false, new generate: false, Khoo: 786.38, best obj: 879.29(5), mean: 896.70, max: 941.11
