Date: 07-12 at 07:11:42, iter: 1, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 1428.87(13) mean: 3392.42, max: 3977.77
Date: 07-12 at 07:12:28, iter: 2, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 1389.23(13) mean: 3350.09, max: 3894.07
Date: 07-12 at 07:13:19, iter: 3, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 1276.21(13) mean: 2956.54, max: 3668.72
Date: 07-12 at 07:14:13, iter: 4, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 1220.89(13) mean: 2853.03, max: 3567.97
Date: 07-12 at 07:15:05, iter: 5, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 1189.42(15) mean: 2776.81, max: 3508.95
Date: 07-12 at 07:15:58, iter: 6, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 1106.04(14) mean: 2738.55, max: 3485.94
Date: 07-12 at 07:16:50, iter: 7, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 976.93(12) mean: 2148.03, max: 2970.27
Date: 07-12 at 07:17:46, iter: 8, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 976.89(12) mean: 1779.37, max: 2802.64
Date: 07-12 at 07:18:41, iter: 9, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 976.89(12) mean: 1157.22, max: 1392.04
Date: 07-12 at 07:19:32, iter: 10, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 976.89(12) mean: 1208.36, max: 1448.90
Date: 07-12 at 07:20:22, iter: 11, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 976.89(12) mean: 1088.67, max: 1247.39
Date: 07-12 at 07:21:09, iter: 12, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 933.36(13) mean: 1025.80, max: 1174.26
Date: 07-12 at 07:21:58, iter: 13, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 931.56(12) mean: 1003.32, max: 1117.34
Date: 07-12 at 07:22:43, iter: 14, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 917.44(12) mean: 997.84, max: 1094.77
Date: 07-12 at 07:23:30, iter: 15, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 885.03(11) mean: 997.39, max: 1074.58
Date: 07-12 at 07:24:18, iter: 16, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 884.11(11) mean: 986.38, max: 1074.58
Date: 07-12 at 07:25:05, iter: 17, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 884.11(11) mean: 955.19, max: 1028.21
Date: 07-12 at 07:25:52, iter: 18, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 884.11(11) mean: 963.66, max: 1059.46
Date: 07-12 at 07:26:37, iter: 19, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 884.11(11) mean: 937.59, max: 1004.55
Date: 07-12 at 07:27:26, iter: 20, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 883.63(12) mean: 928.49, max: 1004.55
Date: 07-12 at 07:28:18, iter: 21, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 861.46(11) mean: 926.04, max: 1004.55
Date: 07-12 at 07:29:01, iter: 22, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 861.46(11) mean: 925.15, max: 1004.55
Date: 07-12 at 07:29:47, iter: 23, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 861.46(11) mean: 933.46, max: 1005.39
Date: 07-12 at 07:30:30, iter: 24, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 861.46(11) mean: 920.65, max: 973.87
Date: 07-12 at 07:31:20, iter: 25, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 861.46(11) mean: 926.99, max: 973.87
Date: 07-12 at 07:32:06, iter: 26, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 861.46(11) mean: 923.01, max: 973.87
Date: 07-12 at 07:32:51, iter: 27, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 861.46(11) mean: 920.51, max: 973.87
Date: 07-12 at 07:33:35, iter: 28, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 861.46(11) mean: 909.25, max: 916.63
Date: 07-12 at 07:34:23, iter: 29, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 861.46(11) mean: 883.23, max: 892.20
Date: 07-12 at 07:35:09, iter: 30, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 861.46(11) mean: 871.28, max: 884.29
Date: 07-12 at 07:35:51, iter: 31, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 861.43, max: 861.46
Date: 07-12 at 07:36:34, iter: 32, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 861.43, max: 861.46
Date: 07-12 at 07:37:20, iter: 33, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 861.43, max: 861.46
Date: 07-12 at 07:38:08, iter: 34, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 861.43, max: 861.46
Date: 07-12 at 07:38:48, iter: 35, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 861.43, max: 861.46
Date: 07-12 at 07:39:32, iter: 36, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 861.43, max: 861.46
Date: 07-12 at 07:40:14, iter: 37, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 861.43, max: 861.46
Date: 07-12 at 07:40:58, iter: 38, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 861.43, max: 861.46
Date: 07-12 at 07:41:44, iter: 39, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 861.43, max: 861.46
Date: 07-12 at 07:42:27, iter: 40, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 890.84, max: 892.97
Date: 07-12 at 07:43:13, iter: 41, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 07:43:57, iter: 42, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 07:44:46, iter: 43, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 07:45:33, iter: 44, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 07:46:18, iter: 45, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 07:47:02, iter: 46, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 07:47:50, iter: 47, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 07:48:37, iter: 48, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 07:49:29, iter: 49, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 07:50:13, iter: 50, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 07:50:57, iter: 51, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 07:51:40, iter: 52, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 07:52:29, iter: 53, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 07:53:13, iter: 54, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 07:53:57, iter: 55, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 07:54:45, iter: 56, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 07:55:28, iter: 57, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 07:56:14, iter: 58, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 07:57:05, iter: 59, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 07:57:47, iter: 60, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 07:58:34, iter: 61, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 07:59:16, iter: 62, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 08:00:01, iter: 63, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 08:00:50, iter: 64, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 08:01:32, iter: 65, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 08:02:15, iter: 66, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 08:03:00, iter: 67, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 08:03:46, iter: 68, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 08:04:32, iter: 69, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 08:05:15, iter: 70, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 08:05:57, iter: 71, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 08:06:41, iter: 72, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 08:07:29, iter: 73, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 08:08:16, iter: 74, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 08:09:00, iter: 75, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 08:09:43, iter: 76, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 08:10:26, iter: 77, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 08:11:16, iter: 78, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 08:12:03, iter: 79, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 08:12:46, iter: 80, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 08:13:32, iter: 81, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 08:14:20, iter: 82, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 08:15:08, iter: 83, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 08:15:56, iter: 84, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
Date: 07-12 at 08:16:39, iter: 85, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94 best obj: 860.98(11) mean: 860.98, max: 860.98
