Date: 03-29 at 17:35:39, particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, best obj: 290.83(1), mean: 309.12, max: 345.52
Date: 03-29 at 17:35:40, particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, best obj: 288.31(1), mean: 288.31, max: 288.31
Date: 03-29 at 17:35:40, particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, best obj: 288.31(1), mean: 288.31, max: 288.31
Date: 03-29 at 17:35:41, particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, best obj: 288.31(1), mean: 288.31, max: 288.31
Date: 03-29 at 17:35:42, particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, best obj: 288.31(1), mean: 288.31, max: 288.31
Date: 03-29 at 17:35:42, particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, best obj: 288.31(1), mean: 288.31, max: 288.31
Date: 03-29 at 17:35:43, particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, best obj: 288.31(1), mean: 562.51, max: 789.02
Date: 03-29 at 17:35:46, particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, best obj: 288.31(1), mean: 288.31, max: 288.31
Date: 03-29 at 17:35:46, particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, best obj: 288.31(1), mean: 288.31, max: 288.31
Date: 03-29 at 17:35:47, particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, best obj: 288.31(1), mean: 288.31, max: 288.31
Date: 03-29 at 17:35:48, particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: true, best obj: 288.31(1), mean: 577.43, max: 794.85
Date: 03-29 at 17:35:51, particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: true, best obj: 288.31(1), mean: 288.31, max: 288.31
