Date: 03-29 at 17:31:57, particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, best obj: 291.65(1), mean: 312.11, max: 350.55
Date: 03-29 at 17:31:57, particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, best obj: 287.34(1), mean: 287.78, max: 288.66
Date: 03-29 at 17:31:58, particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, best obj: 287.34(1), mean: 287.34, max: 287.34
Date: 03-29 at 17:31:58, particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, best obj: 287.34(1), mean: 287.34, max: 287.34
Date: 03-29 at 17:31:59, particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, best obj: 287.34(1), mean: 287.34, max: 287.34
Date: 03-29 at 17:31:59, particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, best obj: 287.34(1), mean: 287.34, max: 287.34
Date: 03-29 at 17:32:00, particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, best obj: 287.34(1), mean: 571.83, max: 801.82
Date: 03-29 at 17:32:03, particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, best obj: 287.34(1), mean: 287.34, max: 287.34
Date: 03-29 at 17:32:04, particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, best obj: 287.34(1), mean: 287.34, max: 287.34
Date: 03-29 at 17:32:04, particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, best obj: 287.34(1), mean: 287.34, max: 287.34
Date: 03-29 at 17:32:05, particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: true, best obj: 287.34(1), mean: 573.69, max: 789.95
Date: 03-29 at 17:32:08, particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: true, best obj: 287.34(1), mean: 287.34, max: 287.34
