Date: 07-30 at 17:13:53, #particle: 15, iter: 1, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1449.74(18), mean: 2433.29, max: 2922.19
Date: 07-30 at 17:14:52, #particle: 15, iter: 2, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1381.55(18), mean: 2341.77, max: 2926.85
Date: 07-30 at 17:15:59, #particle: 15, iter: 3, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1340.47(18), mean: 1687.26, max: 2698.88
Date: 07-30 at 17:17:00, #particle: 15, iter: 4, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1338.96(18), mean: 1720.17, max: 2596.51
Date: 07-30 at 17:17:57, #particle: 15, iter: 5, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1336.89(18), mean: 1723.41, max: 2602.29
Date: 07-30 at 17:18:57, #particle: 15, iter: 6, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1336.89(18), mean: 1665.60, max: 2550.40
Date: 07-30 at 17:20:03, #particle: 15, iter: 7, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1336.89(18), mean: 1586.54, max: 2459.20
Date: 07-30 at 17:21:05, #particle: 15, iter: 8, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1336.89(18), mean: 1442.58, max: 1606.61
Date: 07-30 at 17:22:12, #particle: 15, iter: 9, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1333.30(18), mean: 1395.92, max: 1504.07
Date: 07-30 at 17:23:09, #particle: 15, iter: 10, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1308.30(17), mean: 1405.52, max: 1472.53
Date: 07-30 at 17:24:04, #particle: 15, iter: 11, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1308.24(17), mean: 1472.57, max: 1549.64
Date: 07-30 at 17:25:11, #particle: 15, iter: 12, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1308.24(17), mean: 1398.41, max: 1565.68
Date: 07-30 at 17:26:14, #particle: 15, iter: 13, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1308.24(17), mean: 1364.19, max: 1430.72
Date: 07-30 at 17:27:14, #particle: 15, iter: 14, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1308.24(17), mean: 1400.94, max: 1486.21
Date: 07-30 at 17:28:16, #particle: 15, iter: 15, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1308.24(17), mean: 1400.54, max: 1514.38
Date: 07-30 at 17:29:11, #particle: 15, iter: 17, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1308.24(17), mean: 1545.51, max: 1785.58
Date: 07-30 at 17:30:14, #particle: 15, iter: 18, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1308.24(17), mean: 1477.94, max: 1733.87
Date: 07-30 at 17:31:17, #particle: 15, iter: 19, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1308.24(17), mean: 1403.52, max: 1495.64
Date: 07-30 at 17:32:16, #particle: 15, iter: 20, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1308.24(17), mean: 1404.09, max: 1452.49
Date: 07-30 at 17:33:19, #particle: 15, iter: 22, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1308.24(17), mean: 1505.03, max: 1736.49
Date: 07-30 at 17:34:15, #particle: 15, iter: 24, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1308.24(17), mean: 2464.96, max: 3058.95
Date: 07-30 at 17:35:16, #particle: 15, iter: 25, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1308.24(17), mean: 2389.31, max: 2923.02
Date: 07-30 at 17:36:23, #particle: 15, iter: 26, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1308.24(17), mean: 1863.96, max: 2719.82
Date: 07-30 at 17:37:21, #particle: 15, iter: 28, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1308.24(17), mean: 1829.89, max: 2699.35
Date: 07-30 at 17:38:19, #particle: 15, iter: 29, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1308.24(17), mean: 1775.68, max: 2657.24
Date: 07-30 at 17:39:20, #particle: 15, iter: 30, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1308.24(17), mean: 1726.49, max: 2587.76
Date: 07-30 at 17:40:19, #particle: 15, iter: 31, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1308.24(17), mean: 1593.26, max: 2414.73
Date: 07-30 at 17:41:19, #particle: 15, iter: 33, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1308.24(17), mean: 1604.81, max: 2266.54
Date: 07-30 at 17:42:20, #particle: 15, iter: 34, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1308.24(17), mean: 1538.97, max: 2132.85
Date: 07-30 at 17:43:22, #particle: 15, iter: 36, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1308.24(17), mean: 2466.23, max: 3026.32
Date: 07-30 at 17:44:26, #particle: 15, iter: 37, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1308.24(17), mean: 2248.88, max: 2956.28
Date: 07-30 at 17:45:22, #particle: 15, iter: 39, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1308.24(17), mean: 2133.58, max: 2755.70
Date: 07-30 at 17:46:30, #particle: 15, iter: 40, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1308.24(17), mean: 1438.24, max: 1607.54
Date: 07-30 at 17:47:30, #particle: 15, iter: 41, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1308.24(17), mean: 1448.65, max: 1651.25
Date: 07-30 at 17:48:31, #particle: 15, iter: 42, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1308.24(17), mean: 1399.05, max: 1595.78
Date: 07-30 at 17:49:32, #particle: 15, iter: 44, fix: false, local: false, cut car: true, new generate: true, Khoo: 1213.62, best obj: 1304.75(16), mean: 1473.80, max: 1657.95
