Date: 07-14 at 07:29:25, iter: 1, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94 best obj: 1374.08(15) mean: 3679.40, max: 4059.80
Date: 07-14 at 07:30:11, iter: 2, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94 best obj: 1297.81(15) mean: 3285.45, max: 3775.98
Date: 07-14 at 07:31:04, iter: 3, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94 best obj: 1160.13(14) mean: 2775.99, max: 3534.08
Date: 07-14 at 07:31:56, iter: 4, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94 best obj: 1095.86(12) mean: 2722.80, max: 3386.90
Date: 07-14 at 07:32:44, iter: 5, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94 best obj: 1090.23(12) mean: 2317.75, max: 3245.51
Date: 07-14 at 07:33:31, iter: 6, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94 best obj: 1080.52(15) mean: 1933.09, max: 2876.72
Date: 07-14 at 07:34:21, iter: 7, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94 best obj: 998.18(13) mean: 1840.83, max: 2888.69
Date: 07-14 at 07:35:13, iter: 8, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94 best obj: 998.18(13) mean: 1162.21, max: 1380.40
Date: 07-14 at 07:35:58, iter: 9, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94 best obj: 966.91(12) mean: 1210.75, max: 1457.96
Date: 07-14 at 07:36:48, iter: 10, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94 best obj: 966.91(12) mean: 1110.55, max: 1253.98
Date: 07-14 at 07:37:34, iter: 11, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94 best obj: 964.27(12) mean: 1046.42, max: 1190.72
Date: 07-14 at 07:38:21, iter: 12, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94 best obj: 964.27(12) mean: 1033.33, max: 1163.56
Date: 07-14 at 07:39:07, iter: 13, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94 best obj: 964.27(12) mean: 1006.96, max: 1113.75
Date: 07-14 at 07:39:54, iter: 14, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94 best obj: 964.27(12) mean: 989.83, max: 1039.20
Date: 07-14 at 07:40:40, iter: 15, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94 best obj: 964.27(12) mean: 1007.88, max: 1069.32
Date: 07-14 at 07:41:24, iter: 17, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94 best obj: 934.15(11) mean: 1132.01, max: 1375.09
Date: 07-14 at 07:42:12, iter: 18, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94 best obj: 934.15(11) mean: 1016.91, max: 1146.33
Date: 07-14 at 07:42:54, iter: 19, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94 best obj: 934.15(11) mean: 1002.21, max: 1126.34
