Date: 08-05 at 16:16:20, iter: 1, new3, Khoo: 753.15, current_best: 1140.84 best obj: 1140.84(4) mean: 2192.43, max: 2924.92
Date: 08-05 at 16:17:29, iter: 2, new3, Khoo: 753.15, current_best: 1007.90 best obj: 1007.90(4) mean: 1938.17, max: 2773.36
Date: 08-05 at 16:18:09, iter: 3, new3, Khoo: 753.15, current_best: 990.95 best obj: 990.95(4) mean: 1588.93, max: 2388.71
Date: 08-05 at 16:19:16, iter: 4, new3, Khoo: 753.15, current_best: 985.80 best obj: 985.80(4) mean: 1638.14, max: 2420.28
Date: 08-05 at 16:20:00, iter: 5, new3, Khoo: 753.15, current_best: 985.80 best obj: 985.80(4) mean: 1651.80, max: 2400.46
Date: 08-05 at 16:20:47, iter: 6, new3, Khoo: 753.15, current_best: 985.80 best obj: 985.80(4) mean: 1086.98, max: 1158.93
Date: 08-05 at 16:21:26, iter: 7, new3, Khoo: 753.15, current_best: 977.17 best obj: 977.17(6) mean: 1116.30, max: 1205.44
Date: 08-05 at 16:22:14, iter: 8, new3, Khoo: 753.15, current_best: 953.18 best obj: 953.18(6) mean: 1155.08, max: 1277.10
Date: 08-05 at 16:23:18, iter: 9, new3, Khoo: 753.15, current_best: 948.79 best obj: 948.79(6) mean: 1132.85, max: 1290.04
Date: 08-05 at 16:24:13, iter: 10, new3, Khoo: 753.15, current_best: 948.52 best obj: 948.52(6) mean: 1164.24, max: 1309.35
Date: 08-05 at 16:25:13, iter: 11, new3, Khoo: 753.15, current_best: 924.76 best obj: 924.76(6) mean: 1000.69, max: 1111.14
Date: 08-05 at 16:25:57, iter: 12, new3, Khoo: 753.15, current_best: 885.90 best obj: 885.90(5) mean: 988.06, max: 1182.12
Date: 08-05 at 16:26:42, iter: 13, new3, Khoo: 753.15, current_best: 866.72 best obj: 866.72(5) mean: 921.82, max: 956.50
Date: 08-05 at 16:27:36, iter: 14, new3, Khoo: 753.15, current_best: 865.51 best obj: 865.51(5) mean: 924.46, max: 975.91
Date: 08-05 at 16:28:29, iter: 15, new3, Khoo: 753.15, current_best: 865.51 best obj: 865.51(5) mean: 892.13, max: 915.31
Date: 08-05 at 16:29:22, iter: 16, new3, Khoo: 753.15, current_best: 865.51 best obj: 865.51(5) mean: 940.61, max: 971.34
Date: 08-05 at 16:30:18, iter: 17, new3, Khoo: 753.15, current_best: 865.51 best obj: 865.51(5) mean: 920.02, max: 946.29
Date: 08-05 at 16:31:14, iter: 19, new3, Khoo: 753.15, current_best: 865.51 best obj: 865.51(5) mean: 1120.15, max: 1375.70
Date: 08-05 at 16:32:08, iter: 20, new3, Khoo: 753.15, current_best: 865.51 best obj: 865.51(5) mean: 1012.43, max: 1295.05
Date: 08-05 at 16:32:58, iter: 21, new3, Khoo: 753.15, current_best: 865.51 best obj: 865.51(5) mean: 1039.33, max: 1267.97
Date: 08-05 at 16:33:52, iter: 22, new3, Khoo: 753.15, current_best: 865.51 best obj: 865.51(5) mean: 935.23, max: 1019.23
Date: 08-05 at 16:34:46, iter: 24, new3, Khoo: 753.15, current_best: 865.51 best obj: 865.51(5) mean: 1069.16, max: 1199.01
Date: 08-05 at 16:35:51, iter: 26, new3, Khoo: 753.15, current_best: 865.51 best obj: 865.51(6) mean: 986.78, max: 1173.21
Date: 08-05 at 16:36:43, iter: 27, new3, Khoo: 753.15, current_best: 865.51 best obj: 915.22(5) mean: 965.54, max: 1012.90
