Date: 07-31 at 23:24:29, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 6549.56(24), mean: 9014.25, max: 9437.97
Date: 07-31 at 23:24:43, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 6495.64(24), mean: 9015.33, max: 9542.06
Date: 07-31 at 23:31:19, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 6045.52(24), mean: 8964.63, max: 9536.01
Date: 07-31 at 23:31:33, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5903.47(24), mean: 8961.49, max: 9444.58
Date: 07-31 at 23:39:09, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5839.14(24), mean: 8974.42, max: 9436.65
Date: 07-31 at 23:39:35, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5838.30(24), mean: 9030.52, max: 9641.31
Date: 07-31 at 23:46:46, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5810.42(24), mean: 8952.02, max: 9466.83
Date: 07-31 at 23:47:13, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5636.52(24), mean: 8996.90, max: 9642.52
Date: 07-31 at 23:54:25, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5741.82(24), mean: 8673.21, max: 9386.50
Date: 07-31 at 23:54:44, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5583.38(24), mean: 8940.84, max: 9684.11
Date: 08-01 at 00:02:02, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5717.63(24), mean: 8707.79, max: 9436.49
Date: 08-01 at 00:02:14, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5562.65(24), mean: 8822.02, max: 9590.39
Date: 08-01 at 00:09:47, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5562.65(24), mean: 8822.30, max: 9550.60
Date: 08-01 at 00:10:47, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5717.63(24), mean: 6037.08, max: 6232.74
Date: 08-01 at 00:17:23, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5562.65(24), mean: 8762.28, max: 9589.55
Date: 08-01 at 00:18:08, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5717.63(24), mean: 6243.55, max: 6468.96
